tf,tolerance,transition,partition,direction,n,hi_mean,hi_median,hi_p75,hi_max,hi_ge1,hi_ge2,hi_ge3,hi_ge4,lo_mean,lo_median,lo_p75,lo_max,lo_ge1,lo_ge2,lo_ge3,lo_ge4,hi_raw_mean,hi_raw_median,hi_raw_p75,hi_raw_max,hi_raw_ge1,hi_raw_ge2,hi_raw_ge3,hi_raw_ge4,lo_raw_mean,lo_raw_median,lo_raw_p75,lo_raw_max,lo_raw_ge1,lo_raw_ge2,lo_raw_ge3,lo_raw_ge4,hi_rej_mean,hi_rej_median,hi_rej_p75,hi_rej_max,hi_rej_ge1,hi_rej_ge2,hi_rej_ge3,hi_rej_ge4,lo_rej_mean,lo_rej_median,lo_rej_p75,lo_rej_max,lo_rej_ge1,lo_rej_ge2,lo_rej_ge3,lo_rej_ge4,both_zone_bar_rate,partial_breakout_rate
15m,TOL_0.20,ASIA_TO_LONDON,external,BULL,179,0.9497206703910615,1.0,1.0,4,0.6368715083798883,0.2346368715083799,0.061452513966480445,0.01675977653631285,0.11173184357541899,0.0,0.0,2,0.09497206703910614,0.01675977653631285,0.0,0.0,1.7877094972067038,1.0,2.0,14,0.6368715083798883,0.4022346368715084,0.2346368715083799,0.16201117318435754,0.20670391061452514,0.0,0.0,7,0.09497206703910614,0.0446927374301676,0.0223463687150838,0.0223463687150838,1.0558659217877095,1.0,2.0,8,0.5195530726256983,0.2849162011173184,0.1340782122905028,0.055865921787709494,0.1787709497206704,0.0,0.0,5,0.09497206703910614,0.03910614525139665,0.0223463687150838,0.01675977653631285,0.0,0.0
15m,TOL_0.20,ASIA_TO_LONDON,external,BEAR,171,0.1111111111111111,0.0,0.0,2,0.09941520467836257,0.011695906432748537,0.0,0.0,1.0,1.0,1.5,3,0.6608187134502924,0.25146198830409355,0.08771929824561403,0.0,0.22807017543859648,0.0,0.0,6,0.09941520467836257,0.04678362573099415,0.029239766081871343,0.023391812865497075,1.8070175438596492,1.0,3.0,11,0.6608187134502924,0.42105263157894735,0.26900584795321636,0.19298245614035087,0.1695906432748538,0.0,0.0,4,0.09941520467836257,0.04093567251461988,0.023391812865497075,0.005847953216374269,1.1111111111111112,1.0,2.0,5,0.5555555555555556,0.3216374269005848,0.1286549707602339,0.07017543859649122,0.017543859649122806,0.0
15m,TOL_0.20,ASIA_TO_LONDON,external,NO_BREAK,173,0.6878612716763006,0.0,1.0,5,0.3699421965317919,0.1907514450867052,0.09248554913294797,0.028901734104046242,0.5144508670520231,0.0,1.0,4,0.31213872832369943,0.14450867052023122,0.05202312138728324,0.005780346820809248,1.439306358381503,0.0,2.0,13,0.3699421965317919,0.27167630057803466,0.2138728323699422,0.14450867052023122,0.9884393063583815,0.0,1.0,14,0.31213872832369943,0.18497109826589594,0.1329479768786127,0.09826589595375723,1.0578034682080926,0.0,1.0,8,0.36416184971098264,0.24855491329479767,0.18497109826589594,0.11560693641618497,0.7109826589595376,0.0,1.0,8,0.3063583815028902,0.16184971098265896,0.10982658959537572,0.057803468208092484,0.011560693641618497,0.0
15m,TOL_0.20,ASIA_TO_LONDON,development,BULL,247,1.1336032388663968,1.0,2.0,4,0.7773279352226721,0.27125506072874495,0.06882591093117409,0.016194331983805668,0.1902834008097166,0.0,0.0,3,0.145748987854251,0.032388663967611336,0.012145748987854251,0.0,2.562753036437247,2.0,4.0,16,0.7773279352226721,0.5587044534412956,0.4008097165991903,0.27530364372469635,0.582995951417004,0.0,0.0,16,0.145748987854251,0.10121457489878542,0.06882591093117409,0.044534412955465584,1.291497975708502,1.0,2.0,7,0.6072874493927125,0.3522267206477733,0.18218623481781376,0.0931174089068826,0.3481781376518219,0.0,0.0,7,0.145748987854251,0.08906882591093117,0.05263157894736842,0.03643724696356275,0.020242914979757085,0.0
15m,TOL_0.20,ASIA_TO_LONDON,development,BEAR,197,0.16243654822335024,0.0,0.0,3,0.116751269035533,0.04060913705583756,0.005076142131979695,0.0,1.0456852791878173,1.0,1.0,5,0.7461928934010152,0.2182741116751269,0.050761421319796954,0.02030456852791878,0.4010152284263959,0.0,0.0,11,0.116751269035533,0.08629441624365482,0.06091370558375635,0.050761421319796954,2.7106598984771573,2.0,3.0,15,0.7461928934010152,0.5685279187817259,0.3756345177664975,0.24873096446700507,0.233502538071066,0.0,0.0,4,0.116751269035533,0.07106598984771574,0.030456852791878174,0.015228426395939087,1.1522842639593909,1.0,2.0,8,0.5228426395939086,0.27411167512690354,0.1319796954314721,0.09137055837563451,0.01015228426395939,0.0
15m,TOL_0.20,ASIA_TO_LONDON,development,NO_BREAK,338,0.8313609467455622,0.0,2.0,6,0.4289940828402367,0.25443786982248523,0.09171597633136094,0.03550295857988166,0.7011834319526628,0.0,1.0,7,0.39349112426035504,0.1834319526627219,0.09763313609467456,0.01775147928994083,2.0473372781065087,0.0,3.0,21,0.4289940828402367,0.3609467455621302,0.29289940828402367,0.21893491124260356,1.9349112426035502,0.0,2.0,22,0.39349112426035504,0.29289940828402367,0.21893491124260356,0.16568047337278108,1.316568047337278,0.0,2.0,11,0.42011834319526625,0.32840236686390534,0.21005917159763313,0.1390532544378698,1.1242603550295858,0.0,2.0,9,0.38461538461538464,0.257396449704142,0.1863905325443787,0.12130177514792899,0.03254437869822485,0.0
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,BULL,129,0.9844961240310077,1.0,1.0,4,0.7751937984496124,0.1937984496124031,0.007751937984496124,0.007751937984496124,0.13178294573643412,0.0,0.0,2,0.09302325581395349,0.03875968992248062,0.0,0.0,2.7364341085271318,2.0,4.0,16,0.7751937984496124,0.5271317829457365,0.3643410852713178,0.27906976744186046,0.27906976744186046,0.0,0.0,8,0.09302325581395349,0.07751937984496124,0.046511627906976744,0.015503875968992248,0.8992248062015504,0.0,1.0,7,0.4728682170542636,0.21705426356589147,0.11627906976744186,0.05426356589147287,0.17829457364341086,0.0,0.0,4,0.09302325581395349,0.05426356589147287,0.023255813953488372,0.007751937984496124,0.007751937984496124,0.0
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,BEAR,130,0.23076923076923078,0.0,0.0,5,0.16153846153846155,0.038461538461538464,0.015384615384615385,0.007692307692307693,1.1692307692307693,1.0,1.75,4,0.8153846153846154,0.25384615384615383,0.07692307692307693,0.023076923076923078,0.5307692307692308,0.0,0.0,11,0.16153846153846155,0.1,0.07692307692307693,0.046153846153846156,2.923076923076923,2.0,4.0,14,0.8153846153846154,0.5923076923076923,0.4461538461538462,0.3230769230769231,0.3153846153846154,0.0,0.0,8,0.16153846153846155,0.06923076923076923,0.038461538461538464,0.015384615384615385,1.1923076923076923,1.0,2.0,7,0.5384615384615384,0.3384615384615385,0.16923076923076924,0.08461538461538462,0.007692307692307693,0.0
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,NO_BREAK,152,0.8289473684210527,0.0,1.25,5,0.45394736842105265,0.25,0.08552631578947369,0.02631578947368421,0.618421052631579,0.0,1.0,3,0.40131578947368424,0.16447368421052633,0.05263157894736842,0.0,2.1447368421052633,0.0,4.0,15,0.45394736842105265,0.3618421052631579,0.28289473684210525,0.26973684210526316,1.75,0.0,3.0,17,0.40131578947368424,0.3355263157894737,0.2565789473684211,0.19078947368421054,1.3092105263157894,0.0,2.25,8,0.4407894736842105,0.32894736842105265,0.25,0.14473684210526316,1.013157894736842,0.0,2.0,7,0.3881578947368421,0.2894736842105263,0.16447368421052633,0.09868421052631579,0.006578947368421052,0.0
15m,TOL_0.20,ASIA_TO_LONDON,august,BULL,5,0.6,1.0,1.0,1,0.6,0.0,0.0,0.0,0.2,0.0,0.0,1,0.2,0.0,0.0,0.0,2.2,1.0,5.0,5,0.6,0.4,0.4,0.4,0.4,0.0,0.0,2,0.2,0.2,0.0,0.0,0.4,0.0,1.0,1,0.4,0.0,0.0,0.0,0.2,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0,0.0
15m,TOL_0.20,ASIA_TO_LONDON,august,BEAR,3,0.3333333333333333,0.0,0.5,1,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,1.5,2,0.6666666666666666,0.3333333333333333,0.0,0.0,1.3333333333333333,0.0,2.0,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.0,1.0,3.0,5,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.5,1,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,2,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
15m,TOL_0.20,ASIA_TO_LONDON,august,NO_BREAK,6,0.6666666666666666,1.0,1.0,1,0.6666666666666666,0.0,0.0,0.0,1.3333333333333333,1.5,2.0,3,0.6666666666666666,0.5,0.16666666666666666,0.0,2.8333333333333335,2.0,3.0,10,0.6666666666666666,0.5,0.5,0.16666666666666666,3.8333333333333335,4.5,6.5,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.1666666666666667,1.0,1.75,3,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.0,2.1666666666666665,1.5,3.5,6,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0
