scope,cohort,n,confirmation_close_depth_p25_R,confirmation_close_depth_median_R,confirmation_close_depth_p75_R,entry_depth_p25_R,entry_depth_median_R,entry_depth_p75_R,entry_premium_vs_F85_median_R,confirmation_to_entry_gap_median_R,reward_to_H_median_R,risk_to_F35_median_R,h2_reward_risk_median
POOLED_LONG,ALL,106,0.8635362083420646,0.8782020205937651,0.9043334286785429,0.8632003284685124,0.8779229949373815,0.9045498164454222,0.02792299493738082,0.0,0.1220770050626186,0.5279229949373834,0.23124039767833338
POOLED_LONG,WIN,61,0.8637602179836518,0.8776978417266176,0.9054224464060531,0.8641010222489479,0.8772058823529401,0.9066834804539712,0.02720588235294146,0.0,0.12279411764705978,0.5272058823529372,0.23291492329149588
POOLED_LONG,LOSS,45,0.8634615384615355,0.879806027017664,0.8993963782696172,0.8601398601398587,0.879806027017664,0.8993963782696172,0.029806027017665573,0.0,0.120193972982336,0.5298060270176655,0.22686411035925855
POOLED_LONG,H2,94,0.8632003284685124,0.8792561132392882,0.9051920511923055,0.8638135856499922,0.8789770875829046,0.9062099559838706,0.028977087582904584,0.0,0.12102291241709535,0.5289770875829045,0.22878969893839876
POOLED_LONG,NON_H2,12,0.8656848792002239,0.8714380141010603,0.8893813244656913,0.853808552487793,0.8691539707445486,0.8896295866305372,0.01915397074455239,0.0,0.13084602925545136,0.5191539707445518,0.2520378240424196
ALT_0330,ALL,55,0.8595533891529257,0.8735177865612606,0.9028497273581513,0.8592269390853502,0.8731457800511555,0.9034802443821103,0.023145780051156067,0.0,0.12685421994884452,0.5231457800511561,0.24248350036664734
ALT_0330,WIN,34,0.8615716405588705,0.8769223153587196,0.9057034376884721,0.8607364345864104,0.8734165752213306,0.9072164551816926,0.023416575221336097,0.0,0.12658342477866935,0.5234165752213276,0.24184073465592604
ALT_0330,LOSS,21,0.8534946236559134,0.8681606519208394,0.8909090909090877,0.8523111612175872,0.8682432432432482,0.8909090909090877,0.018243243243243886,0.0,0.1317567567567518,0.5182432432432487,0.254237288135581
ALT_0330,H2,50,0.860285953600716,0.8771822541966414,0.9057034376884721,0.8595926026109377,0.8756078141439391,0.9072164551816926,0.02560781414394042,0.0,0.12439218585606096,0.5256078141439393,0.23668305592032512
ALT_0330,NON_H2,5,0.8544474393530934,0.8664259927797867,0.8681606519208394,0.8518918918918914,0.8544474393530934,0.8682432432432482,0.004447439353086517,0.0,0.14555256064690658,0.5044474393530942,0.2885386053967563
RAW_0530,ALL,51,0.8660685619438171,0.8862275449101821,0.9041659918060232,0.8671674135839209,0.8862275449101821,0.904310250317276,0.0362275449101906,0.0,0.11377245508981791,0.5362275449101735,0.21217197096593865
RAW_0530,WIN,27,0.8650971888794214,0.8860759493670874,0.9041659918060232,0.8665165165165172,0.8851666666666631,0.904310250317276,0.03516666666665932,0.0,0.1148333333333369,0.5351666666666594,0.2145748987854347
RAW_0530,LOSS,24,0.8704341563463867,0.8868796942864667,0.9037675866974306,0.8704341563463867,0.8868796942864667,0.9042160760669509,0.03687969428646498,0.0,0.11312030571353332,0.536879694286466,0.2107001660553109
RAW_0530,H2,44,0.8652490786829229,0.8861517471386348,0.9039985549335033,0.866772374911911,0.8856971057884226,0.9040706841891297,0.03569710578842496,0.0,0.11430289421157741,0.5356971057884164,0.21337343487568666
RAW_0530,NON_H2,7,0.8764667091140642,0.8872651356993729,0.9041563361108003,0.8762052028379139,0.8872651356993729,0.904652860440492,0.037265135699372204,0.0,0.11273486430062706,0.5372651356993722,0.20983096949679622
