side,feature_ts,entry_ts,entry,ret_4h,ret_24h,compression_6_24,breakout_pos_24,rel_quote_volume_24,taker_imbalance_3h,funding_rate,funding_z_30,dgs10_chg,dollar_chg,vix_chg,sp500_ret,active_atoms,discovery80_states_fired,long_reason,short_reason
LONG,2026-08-19 09:00:00+00:00,2026-08-19 10:00:00+00:00,64395.4,0.0028999004813961005,0.003972529057303831,0.32557708352646303,0.38574209696857714,0.6756115983463677,0.05152625417905512,3.815e-05,-0.6884614474317543,-0.009999999999999787,0.0,0.04279131007241599,-0.00688180595114829,COMPRESSED;POS_FLOW;LOW_FUNDING,,TP,SL
SHORT,2026-08-19 09:00:00+00:00,2026-08-19 10:00:00+00:00,64395.4,0.0028999004813961005,0.003972529057303831,0.32557708352646303,0.38574209696857714,0.6756115983463677,0.05152625417905512,3.815e-05,-0.6884614474317543,-0.009999999999999787,0.0,0.04279131007241599,-0.00688180595114829,COMPRESSED;HIGH_FUNDING;VIX_UP;SPX_DOWN,,TP,SL
