partition,scope,zone,n_raw,trades_per_week_raw,wr_raw,pf_raw,expectancy_raw,net_raw,max_drawdown_raw,max_loss_streak_raw,max_win_streak_raw,max_loss_trade_raw,max_win_trade_raw,min_win_trade_raw,avg_win_trade_raw,median_win_trade_raw,avg_loss_trade_raw,median_loss_trade_raw,payoff_ratio_raw,active_days_raw,positive_day_rate_raw,avg_daily_pnl_raw,median_daily_pnl_raw,best_day_raw,worst_day_raw,max_losing_day_streak_raw,avg_trades_per_active_day_raw,avg_wins_per_active_day_raw,median_wins_per_active_day_raw,max_wins_in_day_raw,active_weeks_raw,positive_week_rate_raw,avg_weekly_pnl_raw,median_weekly_pnl_raw,best_week_raw,worst_week_raw,max_losing_week_streak_raw,avg_trades_per_active_week_raw,avg_wins_per_active_week_raw,n_stress,trades_per_week_stress,wr_stress,pf_stress,expectancy_stress,net_stress,max_drawdown_stress,max_loss_streak_stress,max_win_streak_stress,max_loss_trade_stress,max_win_trade_stress,min_win_trade_stress,avg_win_trade_stress,median_win_trade_stress,avg_loss_trade_stress,median_loss_trade_stress,payoff_ratio_stress,active_days_stress,positive_day_rate_stress,avg_daily_pnl_stress,median_daily_pnl_stress,best_day_stress,worst_day_stress,max_losing_day_streak_stress,avg_trades_per_active_day_stress,avg_wins_per_active_day_stress,median_wins_per_active_day_stress,max_wins_in_day_stress,active_weeks_stress,positive_week_rate_stress,avg_weekly_pnl_stress,median_weekly_pnl_stress,best_week_stress,worst_week_stress,max_losing_week_streak_stress,avg_trades_per_active_week_stress,avg_wins_per_active_week_stress
development,ZONE,18UTC_MATURE,833,5.321578585916662,0.4009603841536615,1.3064354291509463,0.538797614351493,448.81841275479366,99.51647999321834,11,8,-46.521893269010185,33.76388627377136,0.0449236298293298,5.728925471925696,5.14958097349999,-2.935155701139056,-0.9122380239520722,1.9518301770847972,572,0.5122377622377622,0.7846475747461428,0.5339657820793431,33.76388627377136,-46.521893269010185,8,1.4562937062937062,0.583916083916084,1.0,2,155,0.6387096774193548,2.895602662934153,3.6841082060304915,62.65398154263341,-46.521893269010185,5,5.374193548387097,2.1548387096774193,833,5.321578585916662,0.3937575030012005,1.151280715633054,0.2887976143514929,240.5684127547936,110.01647999321835,15,8,-46.771893269010185,33.51388627377136,0.1376322510032448,5.581647668111237,4.954323408915579,-3.14893469779345,-1.147324341962158,1.7725511018130862,572,0.5017482517482518,0.42057414817271616,0.09504799548795727,33.51388627377136,-46.771893269010185,9,1.4562937062937062,0.5734265734265734,1.0,2,155,0.6129032258064516,1.552054275837378,2.409762458446125,60.65398154263341,-46.771893269010185,6,5.374193548387097,2.1161290322580646
external,ZONE,18UTC_MATURE,398,3.813904460734991,0.3341708542713568,1.456295391017749,1.1567903161635824,460.4025458331058,137.47343593938834,15,5,-89.97636262513903,54.324734446130506,0.1007124077685439,11.048147620281084,9.531022208758566,-3.8075512742048234,-1.1030035635499202,2.9016411926293495,253,0.45849802371541504,1.8197729084312484,-0.20142481553742098,52.38533408833524,-78.20616178441037,9,1.5731225296442688,0.525691699604743,0.0,2,68,0.6176470588235294,6.7706256740162605,4.951933920516324,99.99637346149616,-57.07929376773946,5,5.852941176470588,1.9558823529411764,398,3.813904460734991,0.32914572864321606,1.3355848212329444,0.9067903161635822,360.9025458331057,146.47343593938842,15,5,-90.22636262513905,54.074734446130506,0.440454466993895,10.964474340647087,9.363534261368017,-4.027878624687875,-1.2638548131043423,2.7221461623602763,253,0.45454545454545453,1.4264922760201808,-0.4751931920542183,52.13533408833524,-78.70616178441038,9,1.5731225296442688,0.5177865612648221,0.0,2,68,0.5735294117647058,5.307390379898614,3.1469995076365,98.24637346149616,-58.82929376773945,6,5.852941176470588,1.9264705882352942
reference_validation,ZONE,18UTC_MATURE,456,5.551304347826087,0.3530701754385965,1.2016521707611343,0.28051772509314565,127.91608264247442,69.26398089694945,10,6,-22.306880249690188,19.24542682926822,0.0193738375697805,4.734511205111582,4.076673866090674,-2.150305835188103,-0.6016847172082285,2.2017850333822024,296,0.47297297297297297,0.4321489278461973,-0.13847678006809183,19.24542682926822,-24.533984373618758,6,1.5405405405405406,0.543918918918919,1.0,2,82,0.573170731707317,1.5599522273472486,2.1750309622764474,25.35062613326067,-21.40742712725713,4,5.560975609756097,1.9634146341463414,456,5.551304347826087,0.34210526315789475,1.0196241756510611,0.03051772509314549,13.916082642474343,100.19317029448854,12,6,-22.556880249690188,18.99542682926822,0.6285468360441584,4.634907834236878,4.001889008334119,-2.3637651316615953,-0.8400420725704902,1.960815722405887,296,0.46283783783783783,0.047013792711061944,-0.41265092726627794,18.99542682926822,-25.033984373618758,6,1.5405405405405406,0.527027027027027,0.0,2,82,0.5487804878048781,0.16970832490822402,0.43207798265322683,24.35062613326067,-23.51711932352285,7,5.560975609756097,1.9024390243902438
