zone,entry_frac,partition,date_utc,signal_ts,entry_start,entry_px,H,L,range,F65,E20_DOWN,session_end,activated,activation_bar_start,ratchets,final_ceiling,exit_bar_start,exit_ts,exit_px,exit_reason,net_pnl_usd,win,trough_extension_r,realized_exit_extension_r,capture_ratio,giveback_r
F15,0.15,august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:50:00+00:00,62618.335,62974.4,62555.5,418.90000000000146,62827.785,62471.72,2026-08-14 20:00:00+00:00,False,,0,,2026-08-14 15:30:00+00:00,2026-08-14 15:35:00+00:00,62871.3,PRE_ACT_CLOSE_INVALIDATION_F65,-2.41989561044702,False,,,,
F05,0.05,development,2022-03-14,2022-03-14 13:35:00+00:00,2022-03-14 17:45:00+00:00,38662.87,39287.4,38630.0,657.4000000000015,39057.31,38498.52,2022-03-14 20:00:00+00:00,True,2022-03-14 18:25:00+00:00,0,38498.52,2022-03-14 18:30:00+00:00,2022-03-14 18:30:00+00:00,38498.52,PROFIT_CEILING_HIT,1.7254242119119194,True,0.34986309704898005,0.20000000000000442,0.5716521739130574,0.14986309704897563
F10,0.1,development,2022-03-14,2022-03-14 13:35:00+00:00,2022-03-14 17:45:00+00:00,38695.74,39287.4,38630.0,657.4000000000015,39057.31,38498.52,2022-03-14 20:00:00+00:00,True,2022-03-14 18:25:00+00:00,0,38498.52,2022-03-14 18:30:00+00:00,2022-03-14 18:30:00+00:00,38498.52,PROFIT_CEILING_HIT,2.1483425307282205,True,0.34986309704898005,0.20000000000000442,0.5716521739130574,0.14986309704897563
F15,0.15,development,2022-03-14,2022-03-14 13:35:00+00:00,2022-03-14 17:45:00+00:00,38728.61,39287.4,38630.0,657.4000000000015,39057.31,38498.52,2022-03-14 20:00:00+00:00,True,2022-03-14 18:25:00+00:00,0,38498.52,2022-03-14 18:30:00+00:00,2022-03-14 18:30:00+00:00,38498.52,PROFIT_CEILING_HIT,2.5705429655234595,True,0.34986309704898005,0.20000000000000442,0.5716521739130574,0.14986309704897563
F10,0.1,development,2022-05-02,2022-05-02 13:40:00+00:00,2022-05-02 17:15:00+00:00,38477.2,39073.0,38411.0,662.0,38841.3,38278.6,2022-05-02 20:00:00+00:00,True,2022-05-02 17:45:00+00:00,0,38278.6,2022-05-02 17:50:00+00:00,2022-05-02 17:50:00+00:00,38278.6,PROFIT_CEILING_HIT,2.180749118958725,True,0.5722054380664696,0.2000000000000022,0.34952481520591455,0.37220543806646744
F15,0.15,development,2022-05-02,2022-05-02 13:40:00+00:00,2022-05-02 17:10:00+00:00,38510.3,39073.0,38411.0,662.0,38841.3,38278.6,2022-05-02 20:00:00+00:00,True,2022-05-02 17:45:00+00:00,0,38278.6,2022-05-02 17:50:00+00:00,2022-05-02 17:50:00+00:00,38278.6,PROFIT_CEILING_HIT,2.608286094888957,True,0.5722054380664696,0.2000000000000022,0.34952481520591455,0.37220543806646744
F05,0.05,development,2022-05-16,2022-05-16 13:55:00+00:00,2022-05-16 16:05:00+00:00,29460.835,30288.0,29417.3,870.7000000000007,29983.255,29243.16,2022-05-16 20:00:00+00:00,True,2022-05-16 16:40:00+00:00,0,29243.16,2022-05-16 16:45:00+00:00,2022-05-16 16:45:00+00:00,29243.16,PROFIT_CEILING_HIT,3.294311447723697,True,0.41920294016308685,0.19999999999999915,0.4770958904109573,0.2192029401630877
F10,0.1,development,2022-05-16,2022-05-16 13:55:00+00:00,2022-05-16 16:05:00+00:00,29504.37,30288.0,29417.3,870.7000000000007,29983.255,29243.16,2022-05-16 20:00:00+00:00,True,2022-05-16 16:40:00+00:00,0,29243.16,2022-05-16 16:45:00+00:00,2022-05-16 16:45:00+00:00,29243.16,PROFIT_CEILING_HIT,4.026632393777607,True,0.41920294016308685,0.19999999999999915,0.4770958904109573,0.2192029401630877
F15,0.15,development,2022-05-16,2022-05-16 13:55:00+00:00,2022-05-16 16:05:00+00:00,29547.905,30288.0,29417.3,870.7000000000007,29983.255,29243.16,2022-05-16 20:00:00+00:00,True,2022-05-16 16:40:00+00:00,0,29243.16,2022-05-16 16:45:00+00:00,2022-05-16 16:45:00+00:00,29243.16,PROFIT_CEILING_HIT,4.75679538024777,True,0.41920294016308685,0.19999999999999915,0.4770958904109573,0.2192029401630877
F05,0.05,development,2022-12-16,2022-12-16 14:20:00+00:00,2022-12-16 16:00:00+00:00,16940.025,17510.5,16910.0,600.5,17300.325,16789.9,2022-12-16 20:00:00+00:00,True,2022-12-16 16:05:00+00:00,0,16789.9,2022-12-16 16:10:00+00:00,2022-12-16 16:10:00+00:00,16858.2,PROFIT_CEILING_GAP_OPEN,2.0151381122519134,True,0.34970857618651124,0.08626144879267156,0.2466666666666632,0.2634471273938397
