clock_block,wib,selected_gate,alternate,reused_confirmed,dev_base_fills,dev_selected_fills,dev_base_t10_fill,dev_selected_t10_fill,dev_base_high_fail,dev_selected_high_fail,ext_base_t10_fill,ext_selected_t10_fill,val_base_t10_fill,val_selected_t10_fill
00-04,07-11,WEAK_C05,True,False,42,25,0.6428571428571429,0.72,0.16666666666666666,0.16,0.8518518518518519,0.8888888888888888,0.71875,0.45454545454545453
04-08,11-15,BASE,False,False,38,38,0.8421052631578947,0.8421052631578947,0.02631578947368421,0.02631578947368421,0.868421052631579,0.868421052631579,0.85,0.85
08-12,15-19,BASE,False,False,50,50,0.78,0.78,0.16,0.16,0.725,0.725,0.875,0.875
12-16,19-23,WEAK_C10,True,False,76,42,0.7236842105263158,0.8333333333333334,0.23684210526315788,0.14285714285714285,0.7419354838709677,0.72,0.7804878048780488,0.8421052631578947
16-20,23-03,BASE,False,False,54,54,0.7777777777777778,0.7777777777777778,0.037037037037037035,0.037037037037037035,0.64,0.64,0.5925925925925926,0.5925925925925926
20-00,03-07,BASE,False,False,37,37,0.7297297297297297,0.7297297297297297,0.05405405405405406,0.05405405405405406,0.6818181818181818,0.6818181818181818,0.7931034482758621,0.7931034482758621
