partition,dev_block,ref_min,hour,execution_start,family,target_R,H,L,R,h1_ts,h1_break_ts,entry_ts,entry_price,entry_F,exit_ts,exit_price,exit_reason,return,pnl,return_5bps,pnl_5bps,won,won_5bps,h1_break_confirmed,invalidation_close_ts,candidate,role,candidate_scope,fill_delay_min,prefill_bar_count,immediate_fill,prefill_last_close_location_R,prefill_last_close_distance_H_R,prefill_min_low_location_R,prefill_max_close_location_R,prefill_close_range_R,prefill_realized_close_path_R,prefill_signed_efficiency,prefill_upstep_fraction,prefill_upper80_close_fraction,prefill_upper90_close_fraction,prefill_nearH10_high_fraction,prefill_nearH05_high_fraction,prefill_nearH05_episode_count,prefill_last30_range_R,prefill_last30_efficiency,prefill_last30_upstep_fraction,prefill_last60_range_R,prefill_last60_efficiency,prefill_last60_upstep_fraction,stress_outcome,raw_outcome,ref_quotevol_perbar_vs_pre6,ref_basevol_perbar_vs_pre6,ref_trades_perbar_vs_pre6,ref_taker_buy_ratio,pre6_taker_buy_ratio,ref_minus_pre6_taker_buy_ratio,ref_last60_quotevol_vs_prior300,ref_last60_trades_vs_prior300,ref_last60_taker_buy_ratio,ref_last30_quotevol_vs_prior330,ref_last30_trades_vs_prior330,ref_last30_taker_buy_ratio,upper80_quotevol_share,upper90_quotevol_share,nearH10_quotevol_share,nearH05_quotevol_share,nearH10_trades_share,nearH05_trades_share,prefill_quotevol_perbar_vs_ref,prefill_trades_perbar_vs_ref,prefill_taker_buy_ratio,prefill_lastbar_quotevol_vs_refavg,prefill_lastbar_trades_vs_refavg,prefill_last30_quotevol_vs_refavg,prefill_last30_trades_vs_refavg,prefill_last30_taker_buy_ratio
development,0.0,360,15,2022-01-01 15:00:00+00:00,E0_RESTING_H,0.4,173.37,170.52,2.8499999999999943,2022-01-01 15:25:00+00:00,2022-01-01 15:25:00+00:00,2022-01-01 15:25:00+00:00,173.37,1.0,2022-01-01 15:50:00+00:00,173.3,FAILED_BREAK,-0.0004037607429197,-0.2018803714598505,-0.0009037607429197,-0.4518803714598505,False,False,True,2022-01-01 15:45:00+00:00,A20_Z1_R360_H15,CANDIDATE,A17,25.0,5.0,0.0,0.9087719298245645,0.0912280701754355,0.6315789473684164,0.9087719298245645,0.143859649122816,0.2350877192982616,0.8805970149253199,0.8,0.4,0.2,0.2,0.0,0.0,,,,,,,FAIL,FAIL,0.9114638261032149,0.9138833154389153,0.9663042397321577,0.4728165816991032,0.512733376409489,-0.03991679471038584,0.6664018389168987,0.7379485463456883,0.508858067289635,0.8217787692218046,0.8057324840764332,0.52296981983705,0.19565985973552125,0.03627719861138223,0.09275655091370018,0.06518993099634347,0.10056431279051817,0.0617656643968371,0.9573963478115193,0.937342412651584,0.594747393744988,1.4084218448005992,1.546182741290887,,,
development,0.0,360,15,2022-01-02 15:00:00+00:00,E0_RESTING_H,0.4,176.75,174.66,2.0900000000000034,2022-01-02 16:10:00+00:00,2022-01-02 16:10:00+00:00,2022-01-02 16:10:00+00:00,176.75,1.0,2022-01-02 16:20:00+00:00,176.53,FAILED_BREAK,-0.0012446958981612,-0.622347949080615,-0.0017446958981612,-0.872347949080615,False,False,True,2022-01-02 16:15:00+00:00,A20_Z1_R360_H15,CANDIDATE,A17,70.0,14.0,0.0,0.9282296650717676,0.0717703349282322,0.2009569377990503,0.9282296650717676,0.6937799043062135,1.2009569377990368,0.5059760956175244,0.7142857142857143,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,1.0,0.5502392344497626,1.0,1.0,0.6555023923444987,0.5789473684210555,0.75,FAIL,FAIL,0.73711020762671,0.7392404430867616,0.8068587550872638,0.49563353560514994,0.44163787935021553,0.05399565625493441,0.9973050985489443,0.9742840768334844,0.46243705649315786,1.0932649302470576,1.074405570652174,0.4495933875483269,0.0,0.0,0.0674509048124692,0.0674509048124692,0.049666568674475095,0.049666568674475095,1.05665234647951,1.1019214574164984,0.48823218377298633,1.677176061191954,1.421485045875818,1.1293121822710022,1.1877272516284756,0.5187784375722989
development,0.0,360,15,2022-01-04 15:00:00+00:00,E0_RESTING_H,0.4,173.43,167.32,6.110000000000014,2022-01-04 15:00:00+00:00,2022-01-04 15:00:00+00:00,2022-01-04 15:00:00+00:00,173.43,1.0,2022-01-04 15:20:00+00:00,173.09,FAILED_BREAK,-0.0019604451363662,-0.9802225681831422,-0.0024604451363662,-1.2302225681831422,False,False,True,2022-01-04 15:15:00+00:00,A20_Z1_R360_H15,CANDIDATE,A17,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,FAIL,FAIL,1.7666776514356495,1.7373439469863505,1.5532629994420002,0.4967384812063166,0.5002434950413487,-0.0035050138350321003,1.319159416231596,1.3084220512279963,0.5313572595591619,1.238496233699374,1.1914850275005093,0.5355693097397666,0.1322385963701044,0.06940429194987068,0.06940429194987068,0.06940429194987068,0.06510660339526801,0.06510660339526801,,,,,,,,
development,0.0,360,15,2022-01-06 15:00:00+00:00,E0_RESTING_H,0.4,151.09,146.22,4.8700000000000045,2022-01-06 17:05:00+00:00,2022-01-06 17:05:00+00:00,2022-01-06 17:05:00+00:00,151.09,1.0,2022-01-06 17:15:00+00:00,150.76,FAILED_BREAK,-0.0021841286650341,-1.0920643325170731,-0.0026841286650341,-1.3420643325170731,False,False,True,2022-01-06 17:10:00+00:00,A20_Z1_R360_H15,CANDIDATE,A17,125.0,25.0,0.0,0.9117043121149884,0.0882956878850115,0.2114989733059548,0.9117043121149884,0.5831622176591378,1.2813141683778355,0.3397435897435868,0.6,0.2,0.04,0.04,0.0,0.0,0.3080082135523611,1.0,1.0,0.3942505133470196,0.3310344827586228,0.75,FAIL,FAIL,1.1202990225821436,1.1285412309269356,1.0471235793149556,0.4899696331578272,0.4780641854571964,0.011905447700630789,1.2445963325955935,1.3101589636073474,0.49284135472370766,1.6883501331328816,1.7134280453643402,0.5134364603057436,0.050394216915265286,0.050394216915265286,0.09101456637050531,0.06789446998397708,0.0864786794195496,0.06444834276575566,0.7951986111761595,0.835562938948569,0.46924921563291105,0.614604571055686,0.6386690056594534,0.514174183134839,0.5998400724013315,0.4791232949719368
development,0.0,360,15,2022-01-09 15:00:00+00:00,E0_RESTING_H,0.4,141.07,137.8,3.269999999999982,2022-01-09 16:05:00+00:00,,2022-01-09 16:05:00+00:00,141.07,1.0,2022-01-09 16:50:00+00:00,142.378,TARGET,0.0092719926277733,4.63599631388667,0.0087719926277733,4.38599631388667,True,True,False,,A20_Z1_R360_H15,CANDIDATE,A17,65.0,13.0,0.0,0.9755351681957234,0.0244648318042766,0.0091743119266059,0.9755351681957234,0.7889908256880817,1.685015290519893,0.2196007259528137,0.4615384615384615,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,1.0,0.5382262996941898,0.4918032786885263,0.6666666666666666,0.9877675840978616,0.2352941176470579,0.5,WIN,WIN,1.0768460384730891,1.0933627809298823,1.0091453475403647,0.49350301961390014,0.46533838005513406,0.02816463955876608,0.9740748255053056,0.9091137434568125,0.5497215929540787,0.9409999623389619,0.895598131872173,0.5681995409065448,0.10711931300949637,0.0,0.08088573735754878,0.050347153367718354,0.07868874757710749,0.05196891896487231,1.4794554580783308,1.4765715122772967,0.4926477946612175,2.7238230121139995,2.3241405107627435,1.2942497056993194,1.3505967966810624,0.5245294538210037
development,0.0,360,15,2022-01-11 15:00:00+00:00,E0_RESTING_H,0.4,137.73,134.23,3.5,2022-01-11 15:05:00+00:00,,2022-01-11 15:05:00+00:00,137.73,1.0,2022-01-11 16:15:00+00:00,139.13,TARGET,0.0101648152181805,5.082407609090289,0.0096648152181805,4.832407609090289,True,True,False,,A20_Z1_R360_H15,CANDIDATE,A17,5.0,1.0,0.0,0.9714285714285732,0.0285714285714269,0.5628571428571425,0.9714285714285732,0.0,0.3457142857142879,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,WIN,WIN,1.2922342206747714,1.2980581509069546,1.2318485344817713,0.48015868502954967,0.47346918690835726,0.006689498121192405,2.1469828633921955,2.041312033521016,0.48479373777898715,2.090829254820531,1.9449502133712657,0.5021324301399277,0.08516985971672003,0.06686141151548915,0.08516985971672003,0.06686141151548915,0.08447312387841821,0.06698342151019536,2.0527334899285448,1.9769221471143386,0.47473800515619247,2.0527334899285448,1.9769221471143386,,,
development,0.0,360,15,2022-01-12 15:00:00+00:00,E0_RESTING_H,0.4,147.67,139.5,8.169999999999987,2022-01-12 15:15:00+00:00,2022-01-12 15:25:00+00:00,2022-01-12 15:15:00+00:00,147.67,1.0,2022-01-12 15:35:00+00:00,147.23,FAILED_BREAK,-0.002979616712941,-1.4898083564705011,-0.003479616712941,-1.7398083564705011,False,False,True,2022-01-12 15:30:00+00:00,A20_Z1_R360_H15,CANDIDATE,A17,15.0,3.0,0.0,0.9265605875153003,0.0734394124846995,0.8249694002448004,0.9265605875153003,0.064871481028152,0.1199510403916792,0.0816326530612067,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,0.0,,,,,,,FAIL,FAIL,3.230459339615435,3.141511434802617,2.834648658598316,0.4889416528246256,0.48375117549370733,0.005190477330918264,1.2161868254759454,1.129511328696379,0.4629169545269349,1.2188151140930754,1.1194827378051235,0.4733370102882356,0.27261391363533766,0.1154599593841752,0.21650289095373493,0.13067485920589225,0.20550002232151915,0.12237468496219546,0.5440841712050236,0.6355545274128548,0.4926412891619299,0.5765916675624398,0.6215284964630537,,,
development,0.0,360,15,2022-01-14 15:00:00+00:00,E0_RESTING_H,0.4,147.32,141.91,5.409999999999997,2022-01-14 15:05:00+00:00,2022-01-14 15:05:00+00:00,2022-01-14 15:05:00+00:00,147.32,1.0,2022-01-14 15:15:00+00:00,147.37,FAILED_BREAK,0.0003393972305185,0.1696986152592838,-0.0001606027694814,-0.0803013847407161,True,False,True,2022-01-14 15:10:00+00:00,A20_Z1_R360_H15,CANDIDATE,A17,5.0,1.0,0.0,0.7837338262476916,0.2162661737523083,0.6894639556377065,0.7837338262476916,0.0,0.0591497227356734,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,FAIL,WIN,1.4310801136409654,1.4654280367974732,1.382043008143889,0.4898604093985376,0.47062860866453377,0.019231800734003823,1.3087057919767044,1.1750124663048427,0.5448418533787945,2.018220039962733,1.69929876236286,0.5419806264560812,0.1451069549713969,0.03811572351213092,0.11440547132407981,0.024291654694893316,0.12683523415510473,0.027549724678303713,1.9593675586913952,1.8951027262992197,0.3776525949052079,1.9593675586913952,1.8951027262992197,,,
development,0.0,360,15,2022-01-15 15:00:00+00:00,E0_RESTING_H,0.4,146.8,143.8,3.0,2022-01-15 15:40:00+00:00,2022-01-15 15:40:00+00:00,2022-01-15 15:40:00+00:00,146.8,1.0,2022-01-15 15:50:00+00:00,148.0,TARGET,0.0081743869209809,4.087193460490468,0.0076743869209809,3.837193460490468,True,True,True,,A20_Z1_R360_H15,CANDIDATE,A17,40.0,8.0,0.0,0.8833333333333258,0.1166666666666742,0.6699999999999969,0.9099999999999966,0.1733333333333367,0.5266666666666803,0.0,0.625,0.625,0.125,0.375,0.125,1.0,0.3100000000000023,0.2473118279569688,0.6666666666666666,,,,WIN,WIN,1.7121912006565976,1.7126503184122666,1.5355597052735195,0.47055717820022946,0.48842084518362805,-0.017863666983398585,1.749403552108343,1.431542313895255,0.4945086137251905,1.9333244795222146,1.5364805483631834,0.5023911822308591,0.140932138818678,0.030859342710626188,0.19756558457559506,0.0926157026648522,0.17664360187786346,0.07863081883142593,0.8615290636727213,0.8921265483889212,0.4527407407407407,0.9830432722770952,1.0296574218970944,0.8685923256681617,0.8594053432379947,0.4519860801956297
development,0.0,360,15,2022-01-18 15:00:00+00:00,E0_RESTING_H,0.4,138.23,134.24,3.9899999999999807,2022-01-18 21:10:00+00:00,2022-01-18 21:10:00+00:00,2022-01-18 21:10:00+00:00,138.23,1.0,2022-01-18 21:15:00+00:00,139.826,TARGET,0.0115459741011358,5.772987050567946,0.0110459741011358,5.522987050567946,True,True,True,,A20_Z1_R360_H15,CANDIDATE,A17,370.0,74.0,0.0,0.8646616541353397,0.1353383458646603,0.3258145363408494,0.8646616541353397,0.4586466165413516,5.203007518797001,0.0761078998073212,0.527027027027027,0.054054054054054,0.0,0.0,0.0,0.0,0.3433583959899706,0.3304347826086901,0.6666666666666666,0.3433583959899706,0.1074766355140205,0.6666666666666666,WIN,WIN,1.5886180214266217,1.6224233372612427,1.5496157783725777,0.46982586436523976,0.468737496917048,0.0010883674481917405,2.241794137882663,1.872346943240996,0.469749974277189,3.373931105184698,2.6366524901076565,0.47626813792315875,0.10869564470264624,0.03963384763280317,0.10156832479936334,0.05836513992052348,0.10675624044829343,0.06353476821192053,0.7458597868612592,0.7256638005810191,0.5213498782326337,0.3501702983957198,0.48312531839021905,0.53538503091158,0.5629775853285787,0.560212413635585
