partition,candidates,accepted,skipped_open,n,wins,wr,pf,expectancy,total_net
external,47,47,0,47,36,0.7659574468085106,2.7450548487530337,1.9460548425137687,91.46457759814713
development,60,60,0,60,42,0.7,1.4051284716003711,0.5546824446083458,33.28094667650075
reference_validation,23,23,0,23,20,0.8695652173913043,2.982540673212619,0.923798350995288,21.247362072891622
august,1,1,0,1,1,1.0,inf,2.6529477668266304,2.6529477668266304
POOLED_MAJOR,130,130,0,130,98,0.7538461538461538,2.0049073948150262,1.1230222026733805,145.99288634753947
