stage,n,conversion_from_prior
A_LIQUIDITY_SWEEP,948,1.0
B_DISPLACEMENT_BOS_ORIGIN,157,0.16561181434599156
C_FIRST_RETURN_TO_BLOCK,136,0.8662420382165605
D_REJECTION_SHORT_ACTIVATION,92,0.6764705882352942
