dev_block,n,delta_net,delta_net_5bps
0,85,-0.42914142536210065,-2.0541414253620998
1,105,5.518248608958887,4.1432486089588885
2,111,17.705129002465426,16.705129002465434
3,94,4.2746659354335454,3.2746659354335463
4,103,12.932379763655854,11.557379763655858
5,103,-4.813569850386554,-6.813569850386554
