partition,regime,clock_block,obs_start,obs_end,reclaim_complete_ts,H,L,R4,F05,target_fraction,target_px,filled,fill_ts,cancel_reason,rebreak_confirmed,rebreak_complete_ts,target_reached,target_ts,high_failure,high_failure_ts,unresolved,minutes_reclaim_to_fill,minutes_fill_to_rebreak,minutes_fill_to_target,event_id,complete_ts,ema20_1h,ema50_1h,ema50_lag3_1h,reclaim_close,ema50_down,ema20_50_down
development,BEAR,00-04,2022-01-03 00:00:00+00:00,2022-01-03 04:00:00+00:00,2022-01-03 03:55:00+00:00,47469.46,46815.75,653.7099999999991,46848.4355,0.05,46783.0645,True,2022-01-03 03:55:00+00:00,,True,2022-01-03 04:00:00+00:00,True,2022-01-03 04:05:00+00:00,False,,False,0.0,5.0,10.0,0,2022-01-03 03:00:00+00:00,47168.298459810896,47201.7825936184,47219.86056852225,46851.49,True,True
development,BEAR,16-20,2022-01-17 16:00:00+00:00,2022-01-17 20:00:00+00:00,2022-01-17 16:25:00+00:00,42768.95,42345.78,423.1699999999983,42366.9385,0.1,42303.463,True,2022-01-17 16:25:00+00:00,,True,2022-01-17 16:30:00+00:00,True,2022-01-17 16:35:00+00:00,False,,False,0.0,5.0,10.0,1,2022-01-17 16:00:00+00:00,42747.608338360296,42881.91367584783,42920.50966327712,42431.5,True,True
development,BEAR,12-16,2022-01-18 12:00:00+00:00,2022-01-18 16:00:00+00:00,2022-01-18 14:40:00+00:00,42040.0,41379.39,660.6100000000006,41412.4205,0.1,41313.329,True,2022-01-18 14:40:00+00:00,,True,2022-01-18 14:55:00+00:00,True,2022-01-18 15:00:00+00:00,False,,False,0.0,15.0,20.0,2,2022-01-18 14:00:00+00:00,42040.26996225078,42366.839250054436,42444.733746474434,41401.41,True,True
development,BEAR,20-00,2022-01-21 20:00:00+00:00,2022-01-22 00:00:00+00:00,2022-01-21 20:20:00+00:00,39045.0,37805.0,1240.0,37867.0,0.15,37619.0,True,2022-01-21 20:20:00+00:00,,True,2022-01-21 20:30:00+00:00,True,2022-01-21 21:35:00+00:00,False,,False,0.0,10.0,75.0,3,2022-01-21 20:00:00+00:00,39101.55222181732,40267.91912956839,40532.683705738054,37955.01,True,True
development,BULL,08-12,2022-01-29 08:00:00+00:00,2022-01-29 12:00:00+00:00,2022-01-29 09:25:00+00:00,37939.0,37575.06,363.9400000000023,37593.257,0.15,37520.469,True,2022-01-29 09:25:00+00:00,,False,,False,,True,2022-01-29 13:35:00+00:00,False,0.0,,,4,2022-01-29 09:00:00+00:00,37473.97521883946,37140.069066604716,37059.30436037859,37634.85,False,False
development,BULL,08-12,2022-02-05 08:00:00+00:00,2022-02-05 12:00:00+00:00,2022-02-05 08:45:00+00:00,41752.46,41352.85,399.6100000000006,41372.8305,0.15,41292.9085,True,2022-02-05 08:45:00+00:00,,True,2022-02-05 09:50:00+00:00,True,2022-02-05 09:55:00+00:00,False,,False,0.0,65.0,70.0,5,2022-02-05 08:00:00+00:00,40499.408627394994,39212.98227423577,38927.412858754855,41400.35,False,False
development,BULL,08-12,2022-02-08 08:00:00+00:00,2022-02-08 12:00:00+00:00,2022-02-08 08:40:00+00:00,45600.0,44063.38,1536.6200000000026,44140.211,0.15,43832.887,True,2022-02-08 08:40:00+00:00,,True,2022-02-08 08:55:00+00:00,True,2022-02-08 09:15:00+00:00,False,,False,0.0,15.0,35.0,6,2022-02-08 08:00:00+00:00,43961.753565992425,42993.604487713696,42759.74832442019,44121.22,False,False
development,BULL,16-20,2022-02-08 16:00:00+00:00,2022-02-08 20:00:00+00:00,2022-02-08 17:40:00+00:00,43978.64,42822.0,1156.6399999999994,42879.832,0.1,42706.336,True,2022-02-08 17:40:00+00:00,,True,2022-02-08 19:30:00+00:00,True,2022-02-08 19:35:00+00:00,False,,False,0.0,110.0,115.0,7,2022-02-08 17:00:00+00:00,43725.66231016571,43178.82039535285,43160.98003063307,42863.83,False,False
development,BEAR,20-00,2022-02-11 20:00:00+00:00,2022-02-12 00:00:00+00:00,2022-02-11 23:15:00+00:00,43746.52,42046.11,1700.4099999999962,42131.1305,0.15,41791.0485,True,2022-02-11 23:15:00+00:00,,False,,False,,False,,True,0.0,,,8,2022-02-11 23:00:00+00:00,43115.12450425637,43481.19870241328,43627.39691347844,42156.22,True,True
development,BEAR,16-20,2022-02-13 16:00:00+00:00,2022-02-13 20:00:00+00:00,2022-02-13 17:20:00+00:00,42755.97,42158.01,597.9599999999991,42187.908,0.1,42098.214,True,2022-02-13 17:20:00+00:00,,True,2022-02-13 18:40:00+00:00,True,2022-02-13 18:45:00+00:00,False,,False,0.0,80.0,85.0,9,2022-02-13 17:00:00+00:00,42403.57068231241,42571.16064775909,42586.56408865261,42175.01,True,True
development,BULL,00-04,2022-02-16 00:00:00+00:00,2022-02-16 04:00:00+00:00,2022-02-16 02:40:00+00:00,44777.0,43939.2,837.8000000000029,43981.09,0.05,43897.31,True,2022-02-16 02:40:00+00:00,,True,2022-02-16 04:10:00+00:00,True,2022-02-16 04:20:00+00:00,False,,False,0.0,90.0,100.0,10,2022-02-16 02:00:00+00:00,43941.419533956185,43407.59966762643,43302.72114603875,43950.0,False,False
development,BEAR,12-16,2022-02-18 12:00:00+00:00,2022-02-18 16:00:00+00:00,2022-02-18 14:55:00+00:00,40938.0,40073.1,864.9000000000015,40116.345,0.1,39986.61,True,2022-02-18 14:55:00+00:00,,True,2022-02-18 15:35:00+00:00,True,2022-02-18 15:40:00+00:00,False,,False,0.0,40.0,45.0,11,2022-02-18 14:00:00+00:00,40922.78785051913,41857.040893743826,42053.07602441169,40297.2,True,True
development,BEAR,00-04,2022-02-20 00:00:00+00:00,2022-02-20 04:00:00+00:00,2022-02-20 03:40:00+00:00,40119.0,39777.0,342.0,39794.1,0.05,39759.9,True,2022-02-20 03:40:00+00:00,,True,2022-02-20 03:45:00+00:00,True,2022-02-20 03:50:00+00:00,False,,False,0.0,5.0,10.0,12,2022-02-20 03:00:00+00:00,40000.71911889659,40425.74392046939,40492.33378434313,39830.7,True,True
development,BULL,16-20,2022-03-01 16:00:00+00:00,2022-03-01 20:00:00+00:00,2022-03-01 17:10:00+00:00,44935.0,43324.8,1610.199999999997,43405.310000000005,0.1,43163.780000000006,True,2022-03-01 17:10:00+00:00,,False,,False,,False,,True,0.0,,,13,2022-03-01 17:00:00+00:00,43056.86953201543,41492.945285932496,41224.8505548218,43370.0,False,False
development,BULL,00-04,2022-03-03 00:00:00+00:00,2022-03-03 04:00:00+00:00,2022-03-03 02:15:00+00:00,44345.0,43661.8,683.1999999999971,43695.96000000001,0.05,43627.64,True,2022-03-03 02:15:00+00:00,,True,2022-03-03 02:35:00+00:00,True,2022-03-03 02:40:00+00:00,False,,False,0.0,20.0,25.0,14,2022-03-03 02:00:00+00:00,43920.52195132914,43318.17418692246,43245.5078621106,43719.1,False,False
