freeze_rank,candidate_id,trades,win_rate,net_pnl,expectancy,pf,max_dd,max_loss_streak,max_win_streak,status
1,DRIVE_UP__STR_B0_20|RAW_RANGE_LB_HIGH|LB30|H960,0,,0.0,,,,0,0,SHADOW_ONLY
2,EFF_HIGH__EXT_LOW|RANGE_72H_HIGH|LB120|H240,10,0.6,49.252644857181366,4.925264485718136,9.571114942320007,2.9810337741026363,2,3,SHADOW_ONLY
3,EFF_HIGH__EXT_LOW|RAW_RANGE_LB_LOW|LB240|H720,34,0.5588235294117647,174.13169726749217,5.121520507867417,6.322136492248689,11.336199910061051,4,3,SHADOW_ONLY
4,EFF_HIGH__EXT_LOW|RANGE_24H_MID|LB120|H360,1,1.0,0.01527823330053879,0.01527823330053879,inf,0.0,0,1,SHADOW_ONLY
