pre_min,loc_min,n,tp,sl,time,wins,wr,wilson_lo,wilson_hi,net_positive_rate,pnl,expectancy,median_risk_pct,avg_target_pct,avg_ret60,avg_ret120,avg_ret240,eligible_for_selection
0.002,0.7,28,14,14,0,14,0.5,0.32633127457293465,0.6736687254270654,0.5,-4.71096514927516,-0.16824875533125572,0.003933167559365843,0.007175878064396526,0.0025351884654422154,0.002631905746380441,0.004019652532456209,True
0.003,0.7,21,11,10,0,11,0.5238095238095238,0.3236953458284443,0.7165599389846583,0.5238095238095238,-0.8249231655758682,-0.03928205550361277,0.003946813520153038,0.007206931275702573,0.0029061673329893903,0.003541139443458972,0.0058665044172838314,True
0.001,0.7,31,15,16,0,15,0.4838709677419355,0.31970251562417307,0.651596045519712,0.4838709677419355,-5.151435863787492,-0.1661753504447578,0.003919521598578649,0.007050169009974595,0.002318569472621934,0.0025728130827037,0.0031624990389564735,True
0.0015,0.7,29,14,15,0,14,0.4827586206896552,0.3138609015268349,0.6556897811800528,0.4827586206896552,-5.773067113830484,-0.19907127978725805,0.003919521598578649,0.007053406542490115,0.002428898075720046,0.002779589877627565,0.0032959617166091046,True
0.0005,0.7,32,15,17,0,15,0.46875,0.30869387108068835,0.6355048288102536,0.46875,-7.270346098146808,-0.22719831556708775,0.0038341600303050246,0.007009158118060344,0.0022498545294373433,0.0023804082500037075,0.003031244735554715,True
0.002,0.75,25,12,13,0,12,0.48,0.30031285954112974,0.6650148304964322,0.48,-6.280504839536524,-0.25122019358146097,0.003919521598578649,0.0071639567061232865,0.0025398305286402066,0.002497249639982288,0.0038587126195632902,True
0.0,0.7,33,15,18,0,15,0.45454545454545453,0.29842938513876116,0.6201406146378254,0.45454545454545453,-10.065034814736595,-0.305001054992018,0.003919521598578649,0.007011589006397292,0.0021049338652360085,0.0021098851903397554,0.0028298139297080376,True
0.001,0.75,28,13,15,0,13,0.4642857142857143,0.29531569982795375,0.641873107655321,0.4642857142857143,-6.720975554048856,-0.24003484121603055,0.0038341600303050246,0.007026056112828282,0.002299504994103682,0.0024462530594542703,0.0029269648138556823,True
0.002,0.8,23,11,12,0,11,0.4782608695652174,0.29237157416646653,0.6703726266357259,0.4782608695652174,-5.464729678966993,-0.2375969425637823,0.003946813520153038,0.007369697118714843,0.0025563473482157974,0.0025478140546495425,0.0037007512932740304,True
0.003,0.75,18,9,9,0,9,0.5,0.29031021505169974,0.7096897849483003,0.5,-2.394462855837232,-0.13302571421317955,0.0038478059910922193,0.007195549368874083,0.0029744444542444634,0.003505656022974625,0.005950785407959382,True
0.001,0.8,26,12,14,0,12,0.46153846153846156,0.2875585353039122,0.6454206125314121,0.46153846153846156,-5.9052003934793245,-0.2271230920568971,0.003933167559365843,0.007197449509098119,0.0022956294472254338,0.002487060304696225,0.0027155568863145973,True
0.0015,0.75,26,12,14,0,12,0.46153846153846156,0.2875585353039122,0.6454206125314121,0.46153846153846156,-7.342606804091848,-0.28240795400353264,0.0038341600303050246,0.007027812368545877,0.0024210973222886347,0.002667153328927086,0.003057709013922017,True
0.0005,0.75,29,13,16,0,13,0.4482758620689655,0.28413168023037194,0.6245203678902909,0.4482758620689655,-8.839885788408173,-0.3048236478761439,0.0037487984620314004,0.006981634194065879,0.00222433900433166,0.0022383084172766725,0.002790254348898596,True
0.003,0.8,16,8,8,0,8,0.5,0.27999563610326017,0.7200043638967398,0.5,-1.578687695267699,-0.09866798095423118,0.004217941989688893,0.007495250294818295,0.003052514123084908,0.003704393166932846,0.005985225099968082,True
0.0015,0.8,24,11,13,0,11,0.4583333333333333,0.2789133373121098,0.6492513464108052,0.4583333333333333,-6.526831643522316,-0.2719513184800965,0.003933167559365843,0.007213634902481336,0.0024270315071859444,0.002729769533728605,0.0028395791090913697,True
0.0005,0.8,27,12,15,0,12,0.4444444444444444,0.27585858177023004,0.6268697548677552,0.4444444444444444,-8.024110627838642,-0.2971892825125423,0.003919521598578649,0.007143389174269249,0.002215039145132456,0.0022622009762372514,0.002576549643491841,True
0.0,0.75,30,13,17,0,13,0.43333333333333335,0.2737748557646652,0.6080269299918639,0.43333333333333335,-11.634574504997959,-0.3878191501665986,0.0038341600303050246,0.00698522563536967,0.002065776791213714,0.001945469712737226,0.0025767134753557886,True
0.0,0.8,28,12,16,0,12,0.42857142857142855,0.26508547124123694,0.6092921437253123,0.42857142857142855,-10.818799344428427,-0.38638569087244384,0.003933167559365843,0.007141460183516046,0.002045483197477486,0.001947591915696395,0.0023553881613176454,True
0.0005,0.9,17,8,9,0,8,0.47058823529411764,0.26165106442409436,0.6903676493999558,0.47058823529411764,-5.887478536769768,-0.3463222668688099,0.004489070459224747,0.007679531541721624,0.002762324570503919,0.0031358876488501415,0.006128776852150922,True
0.001,0.9,17,8,9,0,8,0.47058823529411764,0.26165106442409436,0.6903676493999558,0.47058823529411764,-5.887478536769768,-0.3463222668688099,0.004489070459224747,0.007679531541721624,0.002762324570503919,0.0031358876488501415,0.006128776852150922,True
0.001,0.85,20,9,11,0,9,0.45,0.2581978582556243,0.6579146575496577,0.45,-7.1428958997005365,-0.3571447949850268,0.004537812226043242,0.007617688862575675,0.0023322418199493004,0.002127031151374529,0.004913326170210617,True
0.0,0.9,18,8,10,0,8,0.4444444444444444,0.24559518127005633,0.6628358435795723,0.4444444444444444,-8.682167253359552,-0.4823426251866418,0.004415778868088572,0.007646745202358176,0.0024681661282977734,0.002597957628419205,0.005587401923843336,True
0.0005,0.85,21,9,12,0,9,0.42857142857142855,0.24469968925375957,0.6345344563069328,0.42857142857142855,-9.261806134059853,-0.4410383873361835,0.004489070459224747,0.007528171320011053,0.002226882270938145,0.0018550705458949773,0.0046299468921101195,True
0.0,0.85,22,9,13,0,9,0.4090909090909091,0.2325581619647187,0.6126518152368488,0.4090909090909091,-12.056494850649637,-0.5480224932113471,0.004415778868088572,0.007508226143336897,0.002010545468204288,0.0014731649429494452,0.004255132403496677,True
0.0015,0.85,19,8,11,0,8,0.42105263157894735,0.23141891282454238,0.6372409646574496,0.42105263157894735,-10.205323918971796,-0.5371223115248314,0.004489070459224747,0.007617311642787945,0.0022577534817860576,0.002040234801890348,0.004819893082431735,True
0.002,0.85,19,8,11,0,8,0.42105263157894735,0.23141891282454238,0.6372409646574496,0.42105263157894735,-10.205323918971796,-0.5371223115248314,0.004489070459224747,0.007617311642787945,0.0022577534817860576,0.002040234801890348,0.004819893082431735,True
0.0015,0.9,16,7,9,0,7,0.4375,0.23098652405492354,0.6682144360118811,0.4375,-8.949906556041029,-0.5593691597525643,0.004415778868088572,0.007682948760670319,0.002700749840844732,0.003095870514929903,0.006093790728034767,True
0.002,0.9,16,7,9,0,7,0.4375,0.23098652405492354,0.6682144360118811,0.4375,-8.949906556041029,-0.5593691597525643,0.004415778868088572,0.007682948760670319,0.002700749840844732,0.003095870514929903,0.006093790728034767,True
0.003,0.85,14,6,8,0,6,0.42857142857142855,0.21380798904474121,0.6740935542034926,0.42857142857142855,-5.932752145348388,-0.4237680103820277,0.004537812226043242,0.0077297054154950974,0.0026727982322591703,0.0030935854737935363,0.005505729963376566,True
0.003,0.9,13,5,8,0,5,0.38461538461538464,0.17709707797762575,0.6447710848733431,0.38461538461538464,-9.630478724444473,-0.7408060557264979,0.004489070459224747,0.007640032512210708,0.002460310524598518,0.0031675262726241294,0.005324973195577053,True
0.005,0.7,11,6,5,0,6,0.5454545454545454,0.280091537409322,0.7872872837754024,0.5454545454545454,1.6667847105443587,0.15152588277675988,0.004489070459224747,0.00765181286106952,0.002857404452044664,0.0031957093776283888,0.004095172937095738,False
0.005,0.8,9,5,4,0,5,0.5555555555555556,0.26665129349549305,0.8112214789023355,0.5555555555555556,0.955645451833925,0.10618282798154723,0.0045865539928617366,0.00794669207895156,0.003019236465792278,0.003373995021988727,0.003652171936153815,False
0.005,0.75,10,5,5,0,5,0.5,0.236593090512564,0.7634069094874361,0.5,-1.1012131091110295,-0.11012131091110296,0.004537812226043242,0.007713394583245397,0.0028793993844600098,0.003371979796062889,0.0038513124198930595,False
0.005,0.85,8,4,4,0,4,0.5,0.21521606221387757,0.7847839377861224,0.5,-0.7914441916287087,-0.09893052395358859,0.00517576752357911,0.008315756177954846,0.0021403205213138257,0.0025272870380788426,0.0024963583960943953,False
0.005,0.9,7,3,4,0,3,0.42857142857142855,0.15821985525146975,0.7495416354723428,0.42857142857142855,-4.489170770724796,-0.6413101101035422,0.0045865539928617366,0.008232942323635228,0.0016696322483804222,0.0025837058879478437,0.0017307570319978467,False
0.005,0.95,7,3,4,0,3,0.42857142857142855,0.15821985525146975,0.7495416354723428,0.42857142857142855,-4.489170770724796,-0.6413101101035422,0.0045865539928617366,0.008232942323635228,0.0016696322483804222,0.0025837058879478437,0.0017307570319978467,False
0.0,0.95,11,4,7,0,4,0.36363636363636365,0.15166471095367573,0.6461988254921511,0.36363636363636365,-9.27690602037009,-0.8433550927609172,0.003946813520153038,0.007453544914511382,0.0017085005189714112,0.002777414351320515,0.0053745849651575354,False
