hour_wib,candidate_rank,character_rule,lookback_min,hold_min,trades,wr,net,exp,pf,dd,ls,H1_exp,H1_pf,H2_exp,H2_pf,min_half_exp,positive_anchors,local_cell_count,strict_support_count,economic_support_count,economic_support_ratio,support_floor_exp,support_mean_exp
0,1,EFF_LOW__RANGE_MID,180,360,92,0.6413043478260869,375.4396783997311,4.080866069562295,3.341813230541273,38.9947139281828,8,1.7799557054769437,1.8621461969061524,5.308018263741148,4.378964918229273,1.7799557054769437,4,5,4,5,1.0,2.01125448009974,3.0378918036740883
0,2,DRIVE_UP__RANGE_MID,180,480,138,0.6304347826086957,399.9284225898299,2.89803204775239,2.5016907857642026,42.71181338608199,6,3.348266492782365,4.253618119062322,1.8434922884385472,1.679272042367651,1.8434922884385472,4,4,4,4,1.0,2.256883964774363,2.445133138977167
0,3,DRIVE_UP__RV_MID,180,360,101,0.6435643564356436,155.1601501238218,1.5362391101368496,1.7468577575775752,65.82424814604221,6,2.507209069793908,2.289639108816369,0.7559953925552847,1.352019454429209,0.7559953925552847,4,5,4,4,0.8,1.348335111646732,1.6992347306483528
1,1,EFF_HIGH__RV_LOW,240,360,94,0.7340425531914894,291.1416782061344,3.09725189580994,2.891726646169846,55.84295430666865,4,2.7212282681071525,2.264378917176481,3.3524107860368315,3.603162341647805,2.7212282681071525,4,5,5,5,1.0,1.775122387804058,2.589986970615147
1,2,DRIVE_UP__RANGE_MID,240,360,143,0.5594405594405595,295.33349675935006,2.065269208107343,1.980914790615024,61.16265158476307,6,2.3797830029072884,2.4566164510858384,1.0201606193263482,1.4088658468407924,1.0201606193263482,4,5,4,5,1.0,1.6785771639445557,2.6572209665769644
1,3,DRIVE_UP__STR_B60_80,360,360,75,0.7733333333333333,279.343795576392,3.72458394101856,3.12150398525274,37.64943537283118,3,4.125849229847966,3.0206438886261218,3.4855322795882757,3.1989038599733486,3.4855322795882757,4,4,4,4,1.0,1.705565643758317,3.2015671841303215
2,1,DRIVE_DOWN__RANGE_MID,180,240,145,0.6,200.9179530042996,1.3856410552020664,1.5839453699355617,56.95508526869263,8,0.7334074963234372,1.340648928670761,2.065433778540356,1.7937531779947062,0.7334074963234372,4,5,4,5,1.0,0.5774195273102101,1.1689775757418355
2,2,EFF_MID__EXT_MID,240,480,113,0.6194690265486725,306.8857379586614,2.7158029907846144,1.8543011802455456,58.86574905413113,3,2.638448110234847,2.087715342846157,2.384834287549949,1.6455103544638665,2.384834287549949,4,4,4,4,1.0,1.5501635228195807,2.272156325271438
2,3,EFF_LOW__RANGE_MID,240,120,71,0.5774647887323944,93.93172397279564,1.3229820277858542,2.598405663042563,14.066859902781276,13,1.975144000165313,3.086950556631761,0.9227917265530046,2.222520867736039,0.9227917265530046,4,4,4,4,1.0,0.6254106799927514,1.1491874615170385
3,1,DRIVE_DOWN__EXT_HIGH,180,360,110,0.5636363636363636,143.8332804097859,1.3075752764525992,1.4183456839150312,94.47042799005268,8,1.0195882492759707,1.4252433456816718,0.8899720201458581,1.2234082275148328,0.8899720201458581,3,5,2,3,0.6,1.069748739982337,1.34947591388613
3,2,EFF_MID__RV_MID,60,480,77,0.5974025974025974,176.51443779887174,2.2923952960892438,1.8548691181575063,56.40204868761069,5,1.982678856610241,1.9310137217863412,2.4693761186486736,1.8239511054069644,1.982678856610241,4,3,2,2,0.6666666666666666,2.0001744445094016,2.146284870299323
