family,side,candidate_n,fully_observed_candidate_n,direct_sweep_n,direct_sweep_rate_fully_observed,reclaim_n,reclaim_rate_among_sweeps,structural_event_n,structural_event_rate_among_sweeps,structural_event_rate_among_reclaimed,median_age_to_sweep_hours,median_sweep_depth_range_units,median_displacement_range_units
H1_EQUAL_CLUSTER,BUY_SIDE,775,765,703,0.9124183006535947,449,0.6386913229018493,118,0.1678520625889047,0.26280623608017817,6.0,0.5498281786941457,3.1433858021473773
H1_EQUAL_CLUSTER,SELL_SIDE,710,704,645,0.9119318181818182,446,0.6914728682170542,104,0.16124031007751938,0.23318385650224216,7.0,0.6090108751941988,3.515743978966679
H1_SWING,BUY_SIDE,5132,5087,4686,0.9154708079418125,3200,0.6828851899274434,838,0.17883055911224927,0.261875,6.0,0.49890532069986127,3.3089483997387217
H1_SWING,SELL_SIDE,5182,5139,4675,0.9032885775442693,3342,0.7148663101604278,811,0.173475935828877,0.24266906044284858,6.0,0.524600700388641,3.4256410256410366
H4_SWING,BUY_SIDE,1272,1261,1051,0.8295003965107058,678,0.6450999048525214,141,0.13415794481446242,0.2079646017699115,20.0,0.6439732142857177,3.896911351785003
H4_SWING,SELL_SIDE,1303,1291,1054,0.8109992254066615,749,0.7106261859582542,134,0.127134724857685,0.17890520694259013,20.0,0.689275772170916,4.411722198770818
PREVIOUS_DAY,BUY_SIDE,1563,1563,732,0.4689699296225208,492,0.6721311475409836,108,0.14754098360655737,0.21951219512195122,5.0,0.5524578136463782,3.661481610215864
PREVIOUS_DAY,SELL_SIDE,1563,1563,687,0.43953934740882916,500,0.727802037845706,106,0.15429403202328967,0.212,5.0,0.5909090909090838,3.839562711884633
PREVIOUS_WEEK,BUY_SIDE,220,219,113,0.5159817351598174,71,0.6283185840707964,8,0.07079646017699115,0.11267605633802817,27.0,0.7075978511128119,5.359506051696579
PREVIOUS_WEEK,SELL_SIDE,220,219,95,0.4337899543378995,66,0.6947368421052632,8,0.08421052631578947,0.12121212121212122,27.0,0.9677419354838717,5.913415533344258
