partition,transition,status,n
august,ASIA_TO_LONDON,OK,14
august,LONDON_TO_NEWYORK,OK,14
development,ASIA_TO_LONDON,AMBIGUOUS_BOTH_LEVELS,1
development,ASIA_TO_LONDON,OK,781
development,LONDON_TO_NEWYORK,AMBIGUOUS_BOTH_LEVELS,4
development,LONDON_TO_NEWYORK,OK,778
external,ASIA_TO_LONDON,OK,523
external,LONDON_TO_NEWYORK,AMBIGUOUS_BOTH_LEVELS,1
external,LONDON_TO_NEWYORK,OK,522
reference_validation,ASIA_TO_LONDON,AMBIGUOUS_BOTH_LEVELS,1
reference_validation,ASIA_TO_LONDON,OK,410
reference_validation,LONDON_TO_NEWYORK,OK,411
