event_ts,utc_date,event_hour_utc,event_hour_wib,direction,profile_day,poc,val,vah,event_open,event_high,event_low,event_close,entry_ts,entry_price,signed1h,signed3h,positive1h,positive3h,source_index,poc_eligible,poc_outcome,va_eligible,va_outcome,exec_outcome,exec_net_ret,exec_pnl,exec_risk
2026-08-01 18:00:00+00:00,2026-08-01,18,1,LONG,2026-07-31 00:00:00+00:00,62961.948000000004,62470.116,63990.324,62684.1,62710.7,62228.8,62552.5,2026-08-01 19:00:00+00:00,62552.6,-0.0008073205590175547,0.0037856140272347627,0,1,57714,True,ADVERSE,True,ADVERSE,SL,-0.006676443505145999,-3.3382217525729994,0.005176443505145999
2026-08-01 19:00:00+00:00,2026-08-01,19,2,LONG,2026-07-31 00:00:00+00:00,62961.948000000004,62470.116,63990.324,62552.6,62596.5,62430.8,62502.1,2026-08-01 20:00:00+00:00,62502.1,0.002075130275622783,0.004767839800582596,1,1,57715,True,TARGET,True,ADVERSE,TP,0.0026407616704078045,1.3203808352039021,0.0011407616704078045
2026-08-05 08:00:00+00:00,2026-08-05,8,15,SHORT,2026-08-04 00:00:00+00:00,63797.6205,63632.556,64207.225,64141.0,64257.1,64066.1,64096.3,2026-08-05 09:00:00+00:00,64096.4,-0.0004852066574720926,0.0008081577124456896,0,1,57800,True,ADVERSE,True,ADVERSE,SL,-0.004007161088610236,-2.003580544305118,0.0025071610886102354
2026-08-06 18:00:00+00:00,2026-08-06,18,1,SHORT,2026-08-05 00:00:00+00:00,64405.125,63976.25,64587.25,64583.1,64589.6,64343.7,64388.8,2026-08-06 19:00:00+00:00,64388.8,-0.00037273563104145424,-0.0003572049797480048,0,0,57834,False,INELIGIBLE,True,ADVERSE,SL,-0.004618554779713175,-2.3092773898565873,0.003118554779713174
2026-08-07 08:00:00+00:00,2026-08-07,8,15,LONG,2026-08-06 00:00:00+00:00,64605.9025,64360.603,64808.167,64288.8,64646.6,64268.9,64576.4,2026-08-07 09:00:00+00:00,64576.3,0.003603489205792121,0.0065008369943770905,1,1,57848,True,TARGET,True,TARGET,TP,0.0062602603431909445,3.1301301715954724,0.004760260343190945
2026-08-07 18:00:00+00:00,2026-08-07,18,1,SHORT,2026-08-06 00:00:00+00:00,64605.9025,64360.603,64808.167,64740.2,64857.9,64655.0,64712.1,2026-08-07 19:00:00+00:00,64712.1,-0.003412035770744559,-0.002831000693842567,0,0,57858,True,ADVERSE,True,ADVERSE,SL,-0.00375305622905149,-1.8765281145257449,0.00225305622905149
2026-08-10 08:00:00+00:00,2026-08-10,8,15,SHORT,2026-08-09 00:00:00+00:00,65197.0145,64833.059,65247.89,65183.0,65306.9,65160.2,65220.6,2026-08-10 09:00:00+00:00,65220.6,0.004285455822240158,0.0018859072133651233,1,1,57920,True,TARGET,True,TARGET,TP,0.002823201565149706,1.411600782574853,0.0013232015651497059
2026-08-13 19:00:00+00:00,2026-08-13,19,2,LONG,2026-08-12 00:00:00+00:00,63463.885,63329.68,63994.87,63284.7,63488.0,63284.7,63387.4,2026-08-13 20:00:00+00:00,63387.3,-2.6819252437082497e-05,0.0017416738053206426,0,1,58003,True,TARGET,True,ADVERSE,SL,-0.003118620764727411,-1.5593103823637056,0.001618620764727411
2026-08-15 08:00:00+00:00,2026-08-15,8,15,SHORT,2026-08-14 00:00:00+00:00,62867.4605,62595.28999999999,63050.759,63049.9,63058.4,62902.0,62908.5,2026-08-15 09:00:00+00:00,62908.6,-0.0014385950410595871,-0.0013432185742490166,0,0,58040,True,ADVERSE,True,ADVERSE,SL,-0.003881232454704173,-1.9406162273520864,0.002381232454704173
2026-08-15 18:00:00+00:00,2026-08-15,18,1,SHORT,2026-08-14 00:00:00+00:00,62867.4605,62595.28999999999,63050.759,63043.4,63083.0,63011.6,63026.3,2026-08-15 19:00:00+00:00,63026.3,-0.0010678082007034018,-0.0015453866084473855,0,0,58050,True,ADVERSE,True,ADVERSE,SL,-0.002399624442494595,-1.1998122212472975,0.0008996244424945949
2026-08-16 04:00:00+00:00,2026-08-16,4,11,SHORT,2026-08-15 00:00:00+00:00,63014.710999999996,62990.928,63102.848,63096.5,63122.7,63056.6,63056.7,2026-08-16 05:00:00+00:00,63056.6,0.0004583183996600404,0.0003536505298413761,1,1,58060,True,TARGET,True,TARGET,SL,-0.002548264575000849,-1.2741322875004246,0.0010482645750008492
2026-08-16 19:00:00+00:00,2026-08-16,19,2,SHORT,2026-08-15 00:00:00+00:00,63014.710999999996,62990.928,63102.848,63111.4,63201.7,63063.6,63082.2,2026-08-16 20:00:00+00:00,63082.3,0.0006547002883534603,0.003127660215306083,1,1,58075,True,TARGET,True,TARGET,TP,0.0033927654825520654,1.6963827412760326,0.0018927654825520656
2026-08-18 08:00:00+00:00,2026-08-18,8,15,SHORT,2026-08-17 00:00:00+00:00,63596.658500000005,63249.432,64281.727000000006,64170.8,64310.0,64056.4,64264.5,2026-08-18 09:00:00+00:00,64264.4,0.0019279725633476463,-0.00095854003149487,1,0,58112,True,ADVERSE,True,ADVERSE,SL,-0.0022095685947429453,-1.1047842973714725,0.0007095685947429455
