milestone,block,n,aligned_hit24
M0_IMPULSE_START,2023-H1,401,0.5311720698254364
M0_IMPULSE_START,2023-H2,435,0.5195402298850574
M0_IMPULSE_START,2024-H1,466,0.5107296137339056
M0_IMPULSE_START,2024-H2,467,0.49678800856531047
M1_STRUCTURE_BREAK,2023-H1,1147,0.5152571926765476
M1_STRUCTURE_BREAK,2023-H2,1209,0.532671629445823
M1_STRUCTURE_BREAK,2024-H1,1386,0.5072150072150072
M1_STRUCTURE_BREAK,2024-H2,1414,0.5148514851485149
M2_STRUCTURE_CONFIRM,2023-H1,128,0.4609375
M2_STRUCTURE_CONFIRM,2023-H2,124,0.45161290322580644
M2_STRUCTURE_CONFIRM,2024-H1,120,0.5583333333333333
M2_STRUCTURE_CONFIRM,2024-H2,117,0.42735042735042733
M3_RAW_SCORE_SWITCH,2023-H1,241,0.5684647302904564
M3_RAW_SCORE_SWITCH,2023-H2,222,0.4369369369369369
M3_RAW_SCORE_SWITCH,2024-H1,229,0.4847161572052402
M3_RAW_SCORE_SWITCH,2024-H2,249,0.5060240963855421
M4_FINAL_SWITCH,2023-H1,48,0.3333333333333333
M4_FINAL_SWITCH,2023-H2,46,0.391304347826087
M4_FINAL_SWITCH,2024-H1,46,0.5869565217391305
M4_FINAL_SWITCH,2024-H2,41,0.5609756097560976
