entry_f,entry,exec_min,execution_utc
0.9,F90,960,16:00
0.85,F85,300,05:00
0.85,F85,540,09:00
0.85,F85,600,10:00
0.85,F85,960,16:00
0.8,F80,300,05:00
0.8,F80,540,09:00
0.8,F80,600,10:00
0.75,F75,300,05:00
0.75,F75,540,09:00
0.75,F75,600,10:00
0.7,F70,540,09:00
0.7,F70,600,10:00
0.65,F65,600,10:00
0.6,F60,600,10:00
