entry_ts,exit_ts,clock_utc,clock_wib,rule,lookback_min,hold_min,entry_price,exit_price,drive_return,strength_pct,gross_pnl,net_pnl
2026-08-20 23:45:00+00:00,2026-08-21 01:45:00+00:00,23:45,06:45,DRIVE_DOWN__STR_B80_100,15,120,87.6,88.47,-0.002618695206649254,0.8333333333333334,4.965753424657561,4.215753424657561
2026-08-21 23:45:00+00:00,2026-08-22 01:45:00+00:00,23:45,06:45,DRIVE_DOWN__STR_B80_100,15,120,93.95,93.73,-0.005083130361114094,0.9333333333333333,-1.1708355508249007,-1.9208355508249007
2026-08-25 23:45:00+00:00,2026-08-26 01:45:00+00:00,23:45,06:45,DRIVE_DOWN__STR_B80_100,15,120,96.69,97.03,-0.003504070905905425,0.8333333333333334,1.758196297445462,1.008196297445462
2026-08-27 23:45:00+00:00,2026-08-28 01:45:00+00:00,23:45,06:45,DRIVE_DOWN__STR_B80_100,15,120,109.12,108.34,-0.00664542558033673,0.9833333333333333,-3.5740469208211194,-4.32404692082112
