dev_block,n,baseline_net,hybrid_net,delta_net,baseline_net_5bps,hybrid_net_5bps,delta_net_5bps,cuts,restores
0,85,76.45552036905006,76.02637894368785,-0.4291414253622108,55.20552036905006,53.15137894368787,-2.054141425362201,36,13
1,105,141.23500669469536,146.75325530365416,5.518248608958775,114.98500669469536,119.12825530365417,4.143248608958787,39,11
2,111,66.11586169859092,83.82099070105637,17.705129002465426,38.365861698590905,55.070990701056346,16.705129002465444,38,8
3,94,41.473467501572486,45.74813343700603,4.2746659354335454,17.973467501572465,21.24813343700602,3.2746659354335588,30,8
4,103,-74.37257286634764,-61.440193102691765,12.932379763655854,-100.12257286634764,-88.56519310269175,11.557379763655868,41,11
5,103,88.00333748466836,83.1897676342818,-4.813569850386554,62.25333748466836,55.43976763428183,-6.8135698503865525,35,16
