feature,partition,bucket,bucket_order,n,long_rate,short_rate,none_rate,ambiguous_rate,median_fwd_ret_4h,median_max_up_4h,median_max_down_4h
quotevol_z_24h,development,Q4,4,14035,0.42116138225863914,0.4341289633060207,0.14449590309939436,0.00021375133594584965,0.000461317401497352,0.010497276023310409,-0.010637377843120244
quotevol_z_24h,development,Q5,5,14036,0.43666286691365064,0.4603875748076375,0.10038472499287546,0.002564833285836421,0.00017373711707768802,0.011761734930218148,-0.012106691726392615
quotevol_z_24h,validation_2025,Q1,1,7037,0.35895978399886314,0.3816967457723462,0.2593434702287907,0.0,-0.0001489646953670709,0.008046393620877224,-0.008615228683643839
quotevol_z_24h,validation_2025,Q2,2,6950,0.38532374100719424,0.3856115107913669,0.22848920863309352,0.0005755395683453237,0.00044680771073080106,0.008632416273742116,-0.00854561799347442
quotevol_z_24h,validation_2025,Q3,3,6824,0.4006447831184056,0.4078253223915592,0.19123681125439626,0.00029308323563892143,0.0001720154470472579,0.009011134999818537,-0.009266983171971444
quotevol_z_24h,validation_2025,Q4,4,7213,0.4091224178566477,0.42867045612089283,0.1608207403299598,0.0013863856924996535,5.698330389192208e-05,0.00960344399370805,-0.00986867666485347
quotevol_z_24h,validation_2025,Q5,5,7016,0.42289053591790193,0.4565279361459521,0.11844355758266818,0.002137970353477765,0.0002425582396023973,0.01056875377864186,-0.01138002694463941
quotevol_z_24h,validation_2026,Q1,1,4423,0.2328736151933077,0.29595297309518426,0.471173411711508,0.0,-0.0006151953245153718,0.00529599535693559,-0.006547784898300324
quotevol_z_24h,validation_2026,Q2,2,5506,0.2717035960770069,0.29531420268797676,0.4326189611333091,0.0003632401017072285,-0.00047912133297833837,0.005846909003935363,-0.006550685479653373
quotevol_z_24h,validation_2026,Q3,3,5521,0.28708567288534687,0.30012678862524905,0.41224415866690817,0.0005433798224959246,0.00010681478316598714,0.006307534947153082,-0.00649350649350644
quotevol_z_24h,validation_2026,Q4,4,5218,0.33231123035645843,0.32732847834419315,0.3395937140666922,0.0007665772326561902,0.0005228416644359468,0.0073730258139199645,-0.007006252796731394
quotevol_z_24h,validation_2026,Q5,5,4949,0.3596686199232168,0.36977167104465547,0.2699535259648414,0.0006061830672863204,0.000316280540839875,0.008071490343038334,-0.00820681165367243
trades_ratio_1h,development,Q1,1,14035,0.4092625578909868,0.4272176701104382,0.16330602066262914,0.00021375133594584965,0.00032771663435027243,0.009796728669457577,-0.010090520449313689
trades_ratio_1h,development,Q2,2,14035,0.41346633416458856,0.41638760242251516,0.16993231207695048,0.00021375133594584965,0.00032268473701191347,0.00985509855098532,-0.009836454136051165
trades_ratio_1h,development,Q3,3,14035,0.4064125400783755,0.42436765229782686,0.16914855717848237,7.125044531528322e-05,0.0,0.009730571292652312,-0.010074358359318802
trades_ratio_1h,development,Q4,4,14035,0.40776629853936586,0.4213038831492697,0.17043106519415746,0.0004987531172069825,0.00026086502843414294,0.00972440443330913,-0.01006882055802294
trades_ratio_1h,development,Q5,5,14035,0.4210188813680085,0.4391877449234058,0.1376558603491272,0.0021375133594584966,0.0002874526900780161,0.010794408794707167,-0.011044236242884309
trades_ratio_1h,validation_2025,Q1,1,5376,0.39750744047619047,0.4146205357142857,0.18768601190476192,0.00018601190476190475,0.0004159244754303737,0.009156248845987647,-0.009395867977066985
trades_ratio_1h,validation_2025,Q2,2,7483,0.3904850995590004,0.404383268742483,0.20446345048777229,0.0006681812107443538,6.61244462079047e-05,0.008764810907320175,-0.009115809295557664
trades_ratio_1h,validation_2025,Q3,3,8092,0.3921156697973307,0.4039792387543253,0.20291646070192784,0.0009886307464162135,0.00023438538705178313,0.00901142421406076,-0.009256248224824903
trades_ratio_1h,validation_2025,Q4,4,7788,0.3898305084745763,0.41538263995891117,0.19401643554185927,0.0007704160246533128,-0.00017254088732199246,0.008874494047052872,-0.009516986909388236
trades_ratio_1h,validation_2025,Q5,5,6301,0.4107284558006666,0.4261228376448183,0.16140295191239487,0.0017457546421202983,0.0003010385831117013,0.009897997733282926,-0.01000690131124915
trades_ratio_1h,validation_2026,Q1,1,4327,0.28957707418534784,0.30390570834296277,0.40582389646406286,0.0006933210076265311,0.0,0.006405014990460645,-0.006938159879336325
trades_ratio_1h,validation_2026,Q2,2,5510,0.29382940108892924,0.3201451905626134,0.38602540834845733,0.0,-0.00012166944872593621,0.006336982952811154,-0.00681625711973699
trades_ratio_1h,validation_2026,Q3,3,5715,0.28818897637795277,0.31408573928258965,0.3973753280839895,0.00034995625546806647,-0.00012141816415744966,0.006222101988367257,-0.006764984440535748
trades_ratio_1h,validation_2026,Q4,4,5453,0.29726755914175684,0.30937098844672656,0.3926279112415184,0.0007335411699981661,0.00010801468999788177,0.0066598834520394945,-0.006761948670662377
trades_ratio_1h,validation_2026,Q5,5,4612,0.3219861231569818,0.3401994796183868,0.33716392020815267,0.0006504770164787511,0.0,0.0070646395148367125,-0.00734618929078934
taker_buy_ratio_15m,development,Q1,1,14035,0.3983612397577485,0.41368008550053437,0.1868186676166726,0.0011400071250445315,0.0005707829730141611,0.00941596150655366,-0.00965600482800233
taker_buy_ratio_15m,development,Q2,2,14034,0.42539546814878154,0.4327347869459883,0.14158472281601825,0.0002850220892119139,0.0004973048153305015,0.010682242249521079,-0.010649117982209633
taker_buy_ratio_15m,development,Q3,3,14034,0.4214764144221177,0.4387202508194385,0.1393758016246259,0.00042753313381787086,-7.256332821597988e-05,0.01050952870215538,-0.010989070563329983
taker_buy_ratio_15m,development,Q4,4,14034,0.41912498218611943,0.4301695881430811,0.1499928744477697,0.0007125552230297848,5.618825082753798e-05,0.010366105769082035,-0.01063680235612463
taker_buy_ratio_15m,development,Q5,5,14035,0.39344495903099397,0.4132525828286427,0.1927324545778411,0.0005700035625222658,9.332275675411061e-05,0.009130464574482744,-0.009369717459550841
taker_buy_ratio_15m,validation_2025,Q1,1,9566,0.39013171649592304,0.3994355007317583,0.2098055613631612,0.0006272214091574326,0.0003365243067584567,0.008746787842518589,-0.008918915800553151
taker_buy_ratio_15m,validation_2025,Q2,2,5605,0.4103479036574487,0.42033898305084744,0.16859946476360393,0.0007136485280999108,0.0003274036887481735,0.00975035723291584,-0.009786531286317346
taker_buy_ratio_15m,validation_2025,Q3,3,5314,0.41080165600301094,0.4141889348889725,0.17331576966503576,0.0016936394429808055,0.00023536615008878936,0.009678509443475591,-0.009807680349731784
taker_buy_ratio_15m,validation_2025,Q4,4,5342,0.38674653687757393,0.44084612504679893,0.17128416323474355,0.0011231748408835642,-0.00015190003900250604,0.0092016864410005,-0.010305884650239794
taker_buy_ratio_15m,validation_2025,Q5,5,9213,0.38803864105068925,0.402800390752198,0.20850971453381092,0.0006512536633018561,-5.1184931156189606e-05,0.00864918078897392,-0.009015530402737615
taker_buy_ratio_15m,validation_2026,Q1,1,7247,0.2881192217469298,0.3077135366358493,0.40347730095211815,0.0006899406651028012,0.00010731916720319035,0.006456419170598471,-0.006492663290481704
taker_buy_ratio_15m,validation_2026,Q2,2,3587,0.30861444103707836,0.33063841650404235,0.36046835795929744,0.00027878449958182325,0.00012581781580256468,0.006967406707604873,-0.007335988262418769
taker_buy_ratio_15m,validation_2026,Q3,3,3448,0.3140951276102088,0.3396171693735499,0.345707656612529,0.000580046403712297,0.0,0.0068757196444986235,-0.007414941427693333
taker_buy_ratio_15m,validation_2026,Q4,4,3802,0.31799053129931615,0.3308784850078906,0.3506049447659127,0.0005260389268805891,-0.00011896293025365212,0.006737258085275255,-0.007229289126255867
taker_buy_ratio_15m,validation_2026,Q5,5,7533,0.2838178680472587,0.3033320058409664,0.4125846276383911,0.00026549847338377806,-0.0002677376171351664,0.006123627960716416,-0.006641034603285467
taker_imb_15m,development,Q1,1,14035,0.3983612397577485,0.41368008550053437,0.1868186676166726,0.0011400071250445315,0.0005707829730141611,0.00941596150655366,-0.00965600482800233
taker_imb_15m,development,Q2,2,14034,0.42539546814878154,0.4327347869459883,0.14158472281601825,0.0002850220892119139,0.0004973048153305015,0.010682242249521079,-0.010649117982209633
taker_imb_15m,development,Q3,3,14034,0.4214764144221177,0.4387202508194385,0.1393758016246259,0.00042753313381787086,-7.256332821597988e-05,0.01050952870215538,-0.010989070563329983
taker_imb_15m,development,Q4,4,14034,0.41912498218611943,0.4301695881430811,0.1499928744477697,0.0007125552230297848,5.618825082753798e-05,0.010366105769082035,-0.01063680235612463
taker_imb_15m,development,Q5,5,14035,0.39344495903099397,0.4132525828286427,0.1927324545778411,0.0005700035625222658,9.332275675411061e-05,0.009130464574482744,-0.009369717459550841
taker_imb_15m,validation_2025,Q1,1,9566,0.39013171649592304,0.3994355007317583,0.2098055613631612,0.0006272214091574326,0.0003365243067584567,0.008746787842518589,-0.008918915800553151
taker_imb_15m,validation_2025,Q2,2,5605,0.4103479036574487,0.42033898305084744,0.16859946476360393,0.0007136485280999108,0.0003274036887481735,0.00975035723291584,-0.009786531286317346
taker_imb_15m,validation_2025,Q3,3,5314,0.41080165600301094,0.4141889348889725,0.17331576966503576,0.0016936394429808055,0.00023536615008878936,0.009678509443475591,-0.009807680349731784
taker_imb_15m,validation_2025,Q4,4,5342,0.38674653687757393,0.44084612504679893,0.17128416323474355,0.0011231748408835642,-0.00015190003900250604,0.0092016864410005,-0.010305884650239794
taker_imb_15m,validation_2025,Q5,5,9213,0.38803864105068925,0.402800390752198,0.20850971453381092,0.0006512536633018561,-5.1184931156189606e-05,0.00864918078897392,-0.009015530402737615
taker_imb_15m,validation_2026,Q1,1,7247,0.2881192217469298,0.3077135366358493,0.40347730095211815,0.0006899406651028012,0.00010731916720319035,0.006456419170598471,-0.006492663290481704
taker_imb_15m,validation_2026,Q2,2,3587,0.30861444103707836,0.33063841650404235,0.36046835795929744,0.00027878449958182325,0.00012581781580256468,0.006967406707604873,-0.007335988262418769
taker_imb_15m,validation_2026,Q3,3,3448,0.3140951276102088,0.3396171693735499,0.345707656612529,0.000580046403712297,0.0,0.0068757196444986235,-0.007414941427693333
taker_imb_15m,validation_2026,Q4,4,3802,0.31799053129931615,0.3308784850078906,0.3506049447659127,0.0005260389268805891,-0.00011896293025365212,0.006737258085275255,-0.007229289126255867
taker_imb_15m,validation_2026,Q5,5,7533,0.2838178680472587,0.3033320058409664,0.4125846276383911,0.00026549847338377806,-0.0002677376171351664,0.006123627960716416,-0.006641034603285467
taker_imb_1h,development,Q1,1,14035,0.397221232632704,0.427431421446384,0.1745635910224439,0.0007837548984681154,0.0006150061500616033,0.009589770911028195,-0.010005705901532491
taker_imb_1h,development,Q2,2,14035,0.4116850730317064,0.4354114713216958,0.15226220163876025,0.000641254007837549,0.0002581797628933291,0.01017692187255359,-0.010688135475587224
taker_imb_1h,development,Q3,3,14035,0.4215888849305308,0.4332739579622373,0.14463840399002495,0.0004987531172069825,0.0004910676488021348,0.010642345446837176,-0.010679382937258675
taker_imb_1h,development,Q4,4,14035,0.4185963662272889,0.43555397221232633,0.14520840755254721,0.000641254007837549,-6.869412468957226e-05,0.010255579845086737,-0.010702063134379713
taker_imb_1h,development,Q5,5,14035,0.40883505521909513,0.39679372996081225,0.19380121125757035,0.0005700035625222658,-4.920291281251821e-05,0.009309269749264493,-0.009182928101847176
taker_imb_1h,validation_2025,Q1,1,9851,0.38869150340067,0.40270023347883466,0.20830372551010048,0.00030453761039488374,0.00024382314694393337,0.008704465510045889,-0.009043214137788191
taker_imb_1h,validation_2025,Q2,2,5604,0.40649536045681656,0.42041399000713775,0.17094932191291934,0.0021413276231263384,-6.930457896558995e-05,0.009477224522930427,-0.009865670418592154
taker_imb_1h,validation_2025,Q3,3,5029,0.4060449393517598,0.43050308212368266,0.16265659176774708,0.0007953867568104991,0.00015834059061026196,0.00978615440376962,-0.010242421123063394
taker_imb_1h,validation_2025,Q4,4,5466,0.40761068422978414,0.41785583607757043,0.17361873399195024,0.0009147457006952067,0.00021500923939676841,0.009540699429332777,-0.00970933076409991
taker_imb_1h,validation_2025,Q5,5,9090,0.3827282728272827,0.403960396039604,0.21254125412541255,0.0007700770077007701,0.00021132756440978007,0.008661911242216713,-0.008977795224985374
taker_imb_1h,validation_2026,Q1,1,7186,0.2823545783467854,0.30823824102421377,0.40843306429167825,0.0009741163373225717,0.00023610893807979316,0.006269214399950873,-0.006497976639224634
taker_imb_1h,validation_2026,Q2,2,3589,0.3190303705767623,0.3357481192532739,0.34466425188074673,0.0005572582892170521,0.0003429355281208135,0.007097791798107211,-0.007228044813877954
taker_imb_1h,validation_2026,Q3,3,3280,0.31585365853658537,0.3310975609756098,0.3521341463414634,0.0009146341463414635,0.0,0.007082333572351995,-0.007314513713720994
taker_imb_1h,validation_2026,Q4,4,3574,0.3203693340794628,0.3265249020705092,0.35310576385002795,0.0,0.0,0.006979383448893595,-0.007123498359063951
taker_imb_1h,validation_2026,Q5,5,7988,0.2841762643965949,0.30758637956935403,0.4082373560340511,0.0,-0.00046606536405852106,0.006017968681270358,-0.00682675144948619
taker_imb_change_1h,development,Q1,1,14034,0.40444634459170586,0.40309248966794925,0.19181986603961806,0.0006412997007268063,0.0003905216242888754,0.00933404176696151,-0.009351947119727089
taker_imb_change_1h,development,Q2,2,14034,0.4235428245689041,0.43088214336611086,0.14493373236425822,0.0006412997007268063,0.0003431813322546384,0.010681352780135711,-0.010635477209274935
taker_imb_change_1h,development,Q3,3,14034,0.42297278039048025,0.440501638877013,0.13602679207638593,0.0004987886561208494,9.777372027963693e-05,0.010643643777549228,-0.010967411541099148
taker_imb_change_1h,development,Q4,4,14034,0.4137095624910931,0.4364400741057432,0.14892404161322503,0.0009263217899387203,0.00018767468776847984,0.010199411696465877,-0.010762561373944879
taker_imb_change_1h,development,Q5,5,14035,0.39308870680441754,0.41767011043819025,0.18881368008550053,0.0004275026718916993,0.00016141398652202987,0.009254054054053995,-0.009605453418715104
taker_imb_change_1h,validation_2025,Q1,1,9135,0.3960591133004926,0.39299397920087575,0.21050903119868636,0.0004378762999452655,0.0004565688848305882,0.008869537171424025,-0.00879266332608486
taker_imb_change_1h,validation_2025,Q2,2,5679,0.4009508716323296,0.42560309913717204,0.1722134178552562,0.0012326113752421201,0.0002656606981561449,0.009413750568071144,-0.009944465969262684
taker_imb_change_1h,validation_2025,Q3,3,5212,0.39792785878741366,0.42958557175748274,0.17114351496546432,0.001343054489639294,-5.3429600960996915e-05,0.00957122491746587,-0.010191936131941859
taker_imb_change_1h,validation_2025,Q4,4,5742,0.40055729710902127,0.4205851619644723,0.17746429815395331,0.0013932427725531174,0.00014711189605409736,0.0094936892567411,-0.00987488716272561
taker_imb_change_1h,validation_2025,Q5,5,9272,0.3868636755823986,0.4080025884383089,0.20459447799827438,0.0005392579810181191,-6.538243434262014e-05,0.008607319945313496,-0.009120821254100075
taker_imb_change_1h,validation_2026,Q1,1,7320,0.28210382513661203,0.30505464480874317,0.41270491803278686,0.0001366120218579235,-0.00015063329969289274,0.006288448863794871,-0.006531748581218522
taker_imb_change_1h,validation_2026,Q2,2,3705,0.32469635627530363,0.3271255060728745,0.3468286099865047,0.001349527665317139,0.00031347962382444194,0.007062554050158765,-0.007485226526592337
taker_imb_change_1h,validation_2026,Q3,3,3506,0.31717056474614946,0.34227039361095263,0.3402738163148888,0.0002852253280091272,-0.0002366585029143775,0.006799474178417864,-0.007473661375157981
taker_imb_change_1h,validation_2026,Q4,4,3845,0.31235370611183355,0.33237971391417426,0.35474642392717814,0.0005201560468140442,-0.00011862396204020964,0.006816081330868862,-0.007313045529606099
taker_imb_change_1h,validation_2026,Q5,5,7241,0.2822814528380058,0.30479215577958846,0.412512083966303,0.0004143074161027482,0.0,0.00618313867896747,-0.00654862963861258
loc_24h,development,Q1,1,14035,0.4094763092269327,0.4643391521197007,0.1248307801923762,0.0013537584609903811,0.0014324279654014394,0.010460309479917163,-0.011340056941562482
loc_24h,development,Q2,2,14035,0.37734235838973995,0.42921268257926615,0.19287495546847166,0.0005700035625222658,0.0003051039532753208,0.008890469416785285,-0.009819801579266985
loc_24h,development,Q3,3,14035,0.3907374421090132,0.41474884218026364,0.19437121482009262,0.00014250089063056644,-0.00026799592646187254,0.009353279368438994,-0.009758053736131589
loc_24h,development,Q4,4,14035,0.4207338795867474,0.4022800142500891,0.17677235482721768,0.00021375133594584965,4.752625825776846e-05,0.009898812142542734,-0.009676023247186749
loc_24h,development,Q5,5,14036,0.4596751211171274,0.4178540894841835,0.12161584497007695,0.0008549444286121402,-0.000292618395122235,0.011633356346625656,-0.010561540379492973
loc_24h,validation_2025,Q1,1,9070,0.3938257993384785,0.4398015435501654,0.16582138919514886,0.0005512679162072767,0.0009162167774086072,0.00946207073064953,-0.010200251253848547
loc_24h,validation_2025,Q2,2,5970,0.3700167504187605,0.4134003350083752,0.2154103852596315,0.0011725293132328308,0.0004170701256053233,0.00852485359925681,-0.00911841101250882
loc_24h,validation_2025,Q3,3,6150,0.39772357723577234,0.38926829268292684,0.21284552845528457,0.00016260162601626016,0.000234911396381432,0.00885413994586104,-0.008900195959167856
loc_24h,validation_2025,Q4,4,6328,0.3893805309734513,0.38985461441213654,0.220448798988622,0.0003160556257901391,-5.1267510312758e-05,0.008703316203616751,-0.008882677356579993
loc_24h,validation_2025,Q5,5,7522,0.4207657537888859,0.41558096250997073,0.16152618984312683,0.002127093858016485,-0.000904097108542834,0.00957233616103026,-0.009756794915429967
loc_24h,validation_2026,Q1,1,6412,0.27027448533998755,0.3471615720524017,0.3819401122894573,0.0006238303181534623,0.00010158551506533886,0.00620148008273147,-0.00733991394583644
loc_24h,validation_2026,Q2,2,4743,0.26776301918616907,0.3421884882985452,0.3883617963314358,0.001686696183849884,-0.000483886576986281,0.0060658578856152,-0.007187415242744799
loc_24h,validation_2026,Q3,3,4473,0.3158953722334004,0.29979879275653926,0.3843058350100604,0.0,0.00011738466956212612,0.00659681800543277,-0.0065707488387900526
loc_24h,validation_2026,Q4,4,5021,0.2889862577175861,0.28978291177056364,0.42123083051185023,0.0,0.00034831069313834284,0.006482982171799101,-0.0062187373259429135
loc_24h,validation_2026,Q5,5,4968,0.3538647342995169,0.29891304347826086,0.3472222222222222,0.0,-0.00038877729703828967,0.00736206188181554,-0.007031717534410564
dist_high_24h,development,Q1,1,14035,0.45236907730673315,0.48607053794086214,0.05970787317420734,0.0018525115781973637,0.0017549826542413438,0.013503384428766863,-0.01411054285538238
dist_high_24h,development,Q2,2,14035,0.41710010687566795,0.4492340577128607,0.13330958318489491,0.0003562522265764161,0.0005683694708786824,0.010049129075480057,-0.010802742429225631
dist_high_24h,development,Q3,3,14035,0.39679372996081225,0.4224438902743142,0.18069112931955825,7.125044531528322e-05,-4.977600796418624e-05,0.009093073077838687,-0.009805630610999705
dist_high_24h,development,Q4,4,14035,0.37947987174919845,0.39465621660135375,0.22557890986818668,0.0002850017812611329,-0.00018070112034684893,0.008516454631479542,-0.008998720993970366
dist_high_24h,development,Q5,5,14036,0.4122257053291536,0.3760330578512397,0.21117127386719864,0.0005699629524080935,-0.0003864958599001378,0.009138725859774932,-0.008726758380655897
dist_high_24h,validation_2025,Q1,1,7103,0.43953259186259325,0.4765592003378854,0.08278192313107138,0.0011262846684499507,0.0013177159590043175,0.011762801489235253,-0.012730268084468976
dist_high_24h,validation_2025,Q2,2,6493,0.3845679963037117,0.4292314800554443,0.18527645156322192,0.0009240720776220545,0.00016092693916958112,0.00871764515955431,-0.009682133723054487
dist_high_24h,validation_2025,Q3,3,6088,0.38157030223390276,0.39487516425755587,0.2233902759526938,0.000164257555847569,0.00030801330326535314,0.008488782931865502,-0.00866558041412524
dist_high_24h,validation_2025,Q4,4,7014,0.3788138009694896,0.3721129170230967,0.24907328200741374,0.0,0.000155291502796584,0.008260555175907291,-0.008295756169010016
dist_high_24h,validation_2025,Q5,5,8342,0.3904339486933589,0.3905538240230161,0.21709422200911052,0.0019180052745145048,-0.0007106971856283839,0.00848930473628251,-0.008839861839748386
dist_high_24h,validation_2026,Q1,1,2783,0.36938555515630617,0.4031620553359684,0.22565576715774344,0.0017966223499820337,0.0005773005426625843,0.009208103130755152,-0.010081338068507417
dist_high_24h,validation_2026,Q2,2,4308,0.2999071494893222,0.3686165273909007,0.33147632311977715,0.0,-0.0005447973485563362,0.006483224528209153,-0.007757778744797106
dist_high_24h,validation_2026,Q3,3,4755,0.28454258675078864,0.35036803364879077,0.36424815983175607,0.0008412197686645636,-0.00024670038238550074,0.006173804313848175,-0.007391185327128458
dist_high_24h,validation_2026,Q4,4,5488,0.2909985422740525,0.3092201166180758,0.399234693877551,0.0005466472303206997,0.00019680197992966164,0.00639278252208364,-0.0064927257424552964
dist_high_24h,validation_2026,Q5,5,8283,0.2843172763491489,0.24833997343957503,0.4673427502112761,0.0,0.0,0.005987277036297867,-0.0058621833867935624
dist_low_24h,development,Q1,1,14035,0.3621660135375846,0.41688635553972214,0.22009262557890988,0.0008550053437833986,0.0009616303136441573,0.008514258664585661,-0.009272909856205769
dist_low_24h,development,Q2,2,14035,0.3693623085144282,0.3971499821873887,0.23334520840755255,0.00014250089063056644,0.00019404170683934296,0.008283527314669081,-0.008700801749271236
dist_low_24h,development,Q3,3,14035,0.4124688279301746,0.4167438546490916,0.17021731385821162,0.0005700035625222658,-0.00010593540966741255,0.009632851404241638,-0.00978138381789495
dist_low_24h,development,Q4,4,14035,0.4381189882436765,0.42857142857142855,0.13309583184894905,0.00021375133594584965,4.070169726078099e-05,0.010685076070706012,-0.01027664330978384
dist_low_24h,development,Q5,5,14036,0.47584781989170705,0.4690795098318609,0.05371900826446281,0.001353662011969222,1.7005838755190794e-05,0.014351250372699464,-0.013608966421480018
dist_low_24h,validation_2025,Q1,1,8897,0.3675396200966618,0.40609194110374286,0.22591884905024165,0.00044958974935371473,0.0007676953784740981,0.00830607901157654,-0.008723235527359208
