feature,partition,bucket,bucket_order,n,long_rate,short_rate,none_rate,ambiguous_rate,median_fwd_ret_4h,median_max_up_4h,median_max_down_4h
quotevol_15m,development,Q1,1,14035,0.31535447096544356,0.3473459209120057,0.3372996081225508,0.0,-0.0001436575204711854,0.006779332719965225,-0.007246029080090199
quotevol_15m,development,Q2,2,14035,0.39016743854649094,0.4139650872817955,0.19558247239045243,0.0002850017812611329,0.00015569608124943457,0.008827135267674757,-0.009266701337998229
quotevol_15m,development,Q3,3,14035,0.43420021375133594,0.42707516921980765,0.13865336658354116,7.125044531528322e-05,0.00034912376779838716,0.01019293775027319,-0.010080691510149786
quotevol_15m,development,Q4,4,14035,0.45785536159601,0.44816530103313146,0.09362308514428215,0.0003562522265764161,0.0007652678832059667,0.01169056152927106,-0.011332099907493065
quotevol_15m,development,Q5,5,14036,0.4603875748076375,0.4918780279281847,0.04531205471644343,0.0024223425477343974,0.0004370916528761981,0.014088110481798255,-0.014701996676840079
quotevol_15m,validation_2025,Q1,1,74,0.13513513513513514,0.17567567567567569,0.6891891891891891,0.0,-0.0004116821048573138,0.004017673501280461,-0.00518987718292907
quotevol_15m,validation_2025,Q2,2,2028,0.259861932938856,0.26331360946745563,0.47682445759368836,0.0,0.00030532868876276265,0.006155521629032656,-0.00593757076131185
quotevol_15m,validation_2025,Q3,3,6278,0.350748646065626,0.3601465434851864,0.2886269512583625,0.0004778591908251035,7.318312150439432e-05,0.007543827188215668,-0.0076869695606036625
quotevol_15m,validation_2025,Q4,4,10145,0.396057171020207,0.40413997042878264,0.19891572203055694,0.0008871365204534253,6.597176408495997e-05,0.008655174921812447,-0.00899893503727367
quotevol_15m,validation_2025,Q5,5,16515,0.42985165001513775,0.4563124432334242,0.1126854374810778,0.0011504692703602785,0.00020441537203597093,0.010780562070526356,-0.011324661877952447
quotevol_15m,validation_2026,Q1,1,1736,0.15380184331797234,0.14688940092165897,0.6993087557603687,0.0,0.0,0.0040789902413944645,-0.004102763245023067
quotevol_15m,validation_2026,Q2,2,7081,0.22553311679141363,0.2530716000564892,0.5211128371698912,0.00028244598220590313,-0.000228859137201054,0.005074943939572751,-0.005667251383079219
quotevol_15m,validation_2026,Q3,3,6902,0.2912199362503622,0.32019704433497537,0.3882932483338163,0.0002897710808461316,-0.00011621927860977488,0.006464445549477782,-0.0069978731132762095
quotevol_15m,validation_2026,Q4,4,5583,0.35088662009672217,0.3666487551495612,0.28192727924055166,0.0005373455131649651,0.00010264832683226643,0.007674912629342945,-0.008103347034644881
quotevol_15m,validation_2026,Q5,5,4315,0.4152954808806489,0.4231749710312862,0.16037079953650057,0.0011587485515643105,0.00038451679056650256,0.01001390820584147,-0.01007621754295307
quotevol_ratio_1h,development,Q1,1,14035,0.40534378339864624,0.4247239045244033,0.16978981118631992,0.00014250089063056644,0.00033837274630976744,0.009642321975372958,-0.00993966966669968
quotevol_ratio_1h,development,Q2,2,14035,0.4161738510865693,0.4175276095475597,0.1660135375846099,0.0002850017812611329,0.00024925224327043694,0.009973480917790711,-0.009948834565093878
quotevol_ratio_1h,development,Q3,3,14035,0.4105450659066619,0.42543640897755614,0.16394727467046669,7.125044531528322e-05,0.0001500926822310955,0.009863955002632263,-0.010185427004439918
quotevol_ratio_1h,development,Q4,4,14035,0.4076950480940506,0.42479515496971854,0.16708229426433915,0.0004275026718916993,0.00016734476158597467,0.009814727339526375,-0.010210270926000686
quotevol_ratio_1h,development,Q5,5,14035,0.41816886355539723,0.435981474884218,0.14364089775561098,0.00220876380477378,0.0003005409737528719,0.010606433153765416,-0.010832165158659257
quotevol_ratio_1h,validation_2025,Q1,1,7236,0.39427860696517414,0.4050580431177446,0.2003869541182974,0.0002763957987838585,0.00024236089122153803,0.008935504497469604,-0.009100295965995209
quotevol_ratio_1h,validation_2025,Q2,2,6926,0.38983540282991624,0.4071614207334681,0.20213687554143805,0.0008663008951775916,0.00020788811307959065,0.008847105684141932,-0.009278519172444322
quotevol_ratio_1h,validation_2025,Q3,3,6696,0.3924731182795699,0.4163679808841099,0.18996415770609318,0.0011947431302270011,5.487526885838978e-05,0.009063414737061848,-0.009601602855069169
quotevol_ratio_1h,validation_2025,Q4,4,7140,0.39551820728291315,0.41316526610644255,0.1903361344537815,0.000980392156862745,0.00011007401238471992,0.009036745499022225,-0.00944821703464832
quotevol_ratio_1h,validation_2025,Q5,5,7042,0.4048565748366941,0.4196251065038341,0.17438227776199944,0.001136040897472309,0.000156719629430091,0.009562684371609675,-0.009730488520175717
quotevol_ratio_1h,validation_2026,Q1,1,6195,0.283454398708636,0.3081517352703793,0.40790960451977404,0.00048426150121065375,-0.00012186205215702905,0.006283662477558405,-0.006910283438744336
quotevol_ratio_1h,validation_2026,Q2,2,4773,0.29813534464697256,0.3163628745024094,0.38550178085061804,0.0,-0.0001167815018100482,0.006451612903225934,-0.006797042690197874
quotevol_ratio_1h,validation_2026,Q3,3,4455,0.3021324354657688,0.3176206509539843,0.37957351290684627,0.0006734006734006734,-9.592326139096219e-05,0.006395073424917186,-0.006791609353507533
quotevol_ratio_1h,validation_2026,Q4,4,4857,0.29133209800288246,0.31953880996499895,0.3885114268066708,0.0006176652254478073,0.0,0.006621146285950674,-0.0068286277084702585
quotevol_ratio_1h,validation_2026,Q5,5,5337,0.31572044219599027,0.3267753419524077,0.35694210230466555,0.0005621135469364812,0.00011870845204176028,0.0068846815834768815,-0.00707858428314323
quotevol_z_24h,development,Q1,1,14035,0.4076950480940506,0.3995724973281083,0.1927324545778411,0.0,0.00034521198173265155,0.00942145630148672,-0.009236599036867355
quotevol_z_24h,development,Q2,2,14035,0.39422871392946207,0.40698254364089775,0.19857499109369434,0.00021375133594584965,0.00018908953389429328,0.008992848487728411,-0.009230455403131277
quotevol_z_24h,development,Q3,3,14035,0.3982187388671179,0.42736017100106877,0.17427858924118275,0.00014250089063056644,4.428109640008948e-05,0.009537137822007935,-0.010059982052614158
