structure_id,sweep_i_h1,sweep_time,sweep_close_time,year,liquidity_high,liquidity_pivot_i,liquidity_confirm_i,significant_low,significant_low_pivot_i,significant_low_confirm_i,sweep_open,sweep_high,sweep_low,sweep_close,sweep_depth_pct,bos_i_h1,bos_time,bos_close_time,bos_close,bos_low,bars_sweep_to_bos,displacement_range_units,bear_path_efficiency,origin_i_h1,origin_time,origin_open,origin_high,origin_low,origin_close,zone_low,zone_high,new_low_below_significant_pct,first_return_i_5m,first_return_time,bos_to_return_min,return_open,return_high,return_low,return_close,activation_i_5m,activation_bar_time,signal_time,return_to_activation_min,activation_open,activation_high,activation_low,activation_close,invalidated_before_activation
2020-09-21 04:00:00+00:00__H147__L158,165,2020-09-21 04:00:00+00:00,2020-09-21 05:00:00+00:00,2020,2.98,147,149,2.6972,158,160,2.9912,3.03,2.9071,2.9141,1.6778523489932917,169,2020-09-21 08:00:00+00:00,2020-09-21 09:00:00+00:00,2.6732,2.5961,4,5.141210374639757,0.8637504481893143,166,2020-09-21 05:00:00+00:00,2.9143,2.9379,2.8806,2.9331,2.8806,2.9379,3.7483316031440084,2222,2020-09-22 00:10:00+00:00,910.0,2.829,2.8825,2.8273,2.8776,2226,2020-09-22 00:30:00+00:00,2020-09-22 00:35:00+00:00,20.0,2.8898,2.8975,2.8458,2.8509,0
2020-09-27 01:00:00+00:00__H296__L300,306,2020-09-27 01:00:00+00:00,2020-09-27 02:00:00+00:00,2020,3.1562,296,298,3.0248,300,302,3.1563,3.1728,3.1305,3.1368,0.5259489259235695,314,2020-09-27 09:00:00+00:00,2020-09-27 10:00:00+00:00,3.0063,3.0,8,2.880622837370251,0.7847263980757665,312,2020-09-27 07:00:00+00:00,3.0604,3.0827,3.0515,3.0633,3.0515,3.0827,0.8198889182755863,3788,2020-09-27 10:40:00+00:00,40.0,3.0348,3.0632,3.0347,3.0613,3790,2020-09-27 10:50:00+00:00,2020-09-27 10:55:00+00:00,10.0,3.0547,3.055,3.0471,3.0486,0
2020-09-30 05:00:00+00:00__H376__L378,382,2020-09-30 05:00:00+00:00,2020-09-30 06:00:00+00:00,2020,2.97,376,378,2.8981,378,380,2.977,2.989,2.9347,2.9347,0.639730639730618,388,2020-09-30 11:00:00+00:00,2020-09-30 12:00:00+00:00,2.8505,2.8487,6,3.968481375358151,0.8453815261044133,387,2020-09-30 10:00:00+00:00,2.9101,2.9264,2.9045,2.9145,2.9045,2.9264,1.7045650598668054,4716,2020-09-30 16:00:00+00:00,240.0,2.891,2.907,2.8896,2.8908,4716,2020-09-30 16:00:00+00:00,2020-09-30 16:05:00+00:00,0.0,2.891,2.907,2.8896,2.8908,0
2020-10-05 22:00:00+00:00__H513__L515,519,2020-10-05 22:00:00+00:00,2020-10-05 23:00:00+00:00,2020,2.6623,513,515,2.6009,515,517,2.645,2.6727,2.6446,2.6532,0.39063967246364406,524,2020-10-06 03:00:00+00:00,2020-10-06 04:00:00+00:00,2.5938,2.5929,5,2.132432432432436,0.9398734177215187,523,2020-10-06 02:00:00+00:00,2.6093,2.6339,2.6071,2.6113,2.6071,2.6339,0.30758583567226755,6301,2020-10-06 04:05:00+00:00,5.0,2.6029,2.6074,2.6013,2.6042,6302,2020-10-06 04:10:00+00:00,2020-10-06 04:15:00+00:00,5.0,2.6024,2.6082,2.5989,2.5998,0
2020-10-16 17:00:00+00:00__H772__L774,778,2020-10-16 17:00:00+00:00,2020-10-16 18:00:00+00:00,2020,2.1918,772,774,2.1462,774,776,2.2062,2.2121,2.1674,2.1818,0.9261793959302711,781,2020-10-16 20:00:00+00:00,2020-10-16 21:00:00+00:00,2.1429,2.1413,3,1.877883310719127,0.6860670194003492,779,2020-10-16 18:00:00+00:00,2.1817,2.2093,2.1756,2.1907,2.1756,2.2093,0.22831050228309022,9404,2020-10-16 22:40:00+00:00,100.0,2.163,2.2027,2.163,2.1859,9407,2020-10-16 22:55:00+00:00,2020-10-16 23:00:00+00:00,15.0,2.1791,2.1819,2.1675,2.1709,0
2020-11-04 10:00:00+00:00__H1223__L1224,1227,2020-11-04 10:00:00+00:00,2020-11-04 11:00:00+00:00,2020,1.3697,1223,1225,1.3432,1224,1226,1.3632,1.4001,1.3584,1.3679,2.219464116229841,1231,2020-11-04 14:00:00+00:00,2020-11-04 15:00:00+00:00,1.3038,1.3013,4,4.791044776119366,0.9223021582733831,1229,2020-11-04 12:00:00+00:00,1.3616,1.369,1.3529,1.363,1.3529,1.369,3.1194163192376454,14799,2020-11-04 16:15:00+00:00,75.0,1.3288,1.3539,1.3238,1.3484,14800,2020-11-04 16:20:00+00:00,2020-11-04 16:25:00+00:00,5.0,1.3481,1.3581,1.3338,1.3358,0
2020-11-23 11:00:00+00:00__H1679__L1680,1684,2020-11-23 11:00:00+00:00,2020-11-23 12:00:00+00:00,2020,2.3154,1679,1681,2.2585,1680,1682,2.3595,2.3609,2.2843,2.2878,1.9651032219055065,1688,2020-11-23 15:00:00+00:00,2020-11-23 16:00:00+00:00,2.1996,2.1815,4,2.769098712446352,0.6591928251121051,1685,2020-11-23 12:00:00+00:00,2.29,2.3218,2.2511,2.3106,2.2511,2.3218,3.409342483949522,20279,2020-11-23 16:55:00+00:00,55.0,2.214,2.2711,2.2084,2.2589,20280,2020-11-23 17:00:00+00:00,2020-11-23 17:05:00+00:00,5.0,2.2572,2.2654,2.2144,2.2279,0
2021-01-14 14:00:00+00:00__H2928__L2930,2935,2021-01-14 14:00:00+00:00,2021-01-14 15:00:00+00:00,2021,3.4982,2928,2930,3.3555,2930,2932,3.4867,3.5107,3.4661,3.4871,0.35732662512149016,2937,2021-01-14 16:00:00+00:00,2021-01-14 17:00:00+00:00,3.2888,3.2793,2,3.403374233128835,0.9556626506024102,2936,2021-01-14 15:00:00+00:00,3.487,3.5674,3.46,3.4917,3.46,3.5674,2.2708985248100144,35676,2021-01-16 04:00:00+00:00,2100.0,3.4472,3.4774,3.4446,3.4728,35677,2021-01-16 04:05:00+00:00,2021-01-16 04:10:00+00:00,5.0,3.4727,3.4752,3.449,3.4574,0
2021-01-14 15:00:00+00:00__H2921__L2930,2936,2021-01-14 15:00:00+00:00,2021-01-14 16:00:00+00:00,2021,3.5422,2921,2923,3.3555,2930,2932,3.487,3.5674,3.46,3.4917,0.7114222799390335,2937,2021-01-14 16:00:00+00:00,2021-01-14 17:00:00+00:00,3.2888,3.2793,1,4.312693498452012,1.0,2936,2021-01-14 15:00:00+00:00,3.487,3.5674,3.46,3.4917,3.46,3.5674,2.2708985248100144,35676,2021-01-16 04:00:00+00:00,2100.0,3.4472,3.4774,3.4446,3.4728,35677,2021-01-16 04:05:00+00:00,2021-01-16 04:10:00+00:00,5.0,3.4727,3.4752,3.449,3.4574,0
2021-02-10 09:00:00+00:00__H3570__L3573,3578,2021-02-10 09:00:00+00:00,2021-02-10 10:00:00+00:00,2021,8.43,3570,3572,8.1061,3573,3575,8.4061,8.4551,8.3147,8.3443,0.29774614472124483,3581,2021-02-10 12:00:00+00:00,2021-02-10 13:00:00+00:00,7.9241,7.2879,3,3.992481203007503,1.0,3579,2021-02-10 10:00:00+00:00,8.3417,8.386,8.2617,8.3422,8.2617,8.386,10.093633189820013,43055,2021-02-10 18:55:00+00:00,355.0,8.2252,8.272,8.2113,8.2601,43056,2021-02-10 19:00:00+00:00,2021-02-10 19:05:00+00:00,5.0,8.2598,8.2788,8.1664,8.2522,0
