hour_wib,anchor_utc_min,lookback_min,hold_min,character_rule,entry_ts,exit_ts,gross,net
2,1170,150,300,RV_HIGH__RANGE_MID,2022-05-24 19:30:00+00:00,2022-05-25 00:30:00+00:00,4.50372246448592,3.7537224644859197
2,1185,150,300,RV_HIGH__RANGE_MID,2022-05-27 19:45:00+00:00,2022-05-28 00:45:00+00:00,1.7056992791766805,0.9556992791766805
2,1140,150,300,RV_HIGH__RANGE_MID,2022-06-02 19:00:00+00:00,2022-06-03 00:00:00+00:00,7.122625330545137,6.372625330545137
2,1155,150,300,RV_HIGH__RANGE_MID,2022-06-02 19:15:00+00:00,2022-06-03 00:15:00+00:00,6.358499858884473,5.608499858884473
2,1170,150,300,RV_HIGH__RANGE_MID,2022-06-02 19:30:00+00:00,2022-06-03 00:30:00+00:00,6.762360799318798,6.012360799318798
2,1170,150,300,RV_HIGH__RANGE_MID,2022-06-08 19:30:00+00:00,2022-06-09 00:30:00+00:00,-3.6585026052551224,-4.408502605255123
2,1140,150,300,RV_HIGH__RANGE_MID,2022-06-22 19:00:00+00:00,2022-06-23 00:00:00+00:00,-14.571055869591362,-15.321055869591362
2,1155,150,300,RV_HIGH__RANGE_MID,2022-06-22 19:15:00+00:00,2022-06-23 00:15:00+00:00,-7.223440782593358,-7.973440782593358
2,1185,150,300,RV_HIGH__RANGE_MID,2022-06-22 19:45:00+00:00,2022-06-23 00:45:00+00:00,5.300933527231873,4.550933527231873
2,1155,150,300,RV_HIGH__RANGE_MID,2022-06-24 19:15:00+00:00,2022-06-25 00:15:00+00:00,1.956665018948756,1.206665018948756
2,1170,150,300,RV_HIGH__RANGE_MID,2022-06-24 19:30:00+00:00,2022-06-25 00:30:00+00:00,1.2223133716160863,0.47231337161608633
2,1140,150,300,RV_HIGH__RANGE_MID,2022-06-29 19:00:00+00:00,2022-06-30 00:00:00+00:00,-1.7720532250462646,-2.522053225046265
2,1155,150,300,RV_HIGH__RANGE_MID,2022-06-29 19:15:00+00:00,2022-06-30 00:15:00+00:00,-0.8226806733325636,-1.5726806733325636
2,1170,150,300,RV_HIGH__RANGE_MID,2022-06-29 19:30:00+00:00,2022-06-30 00:30:00+00:00,-6.107110711071079,-6.857110711071079
2,1140,150,300,RV_HIGH__RANGE_MID,2022-07-06 19:00:00+00:00,2022-07-07 00:00:00+00:00,10.486320880558305,9.736320880558305
2,1185,150,300,RV_HIGH__RANGE_MID,2022-07-08 19:45:00+00:00,2022-07-09 00:45:00+00:00,-10.465004255045818,-11.215004255045818
2,1170,150,300,RV_HIGH__RANGE_MID,2022-07-13 19:30:00+00:00,2022-07-14 00:30:00+00:00,11.390666199546313,10.640666199546313
2,1185,150,300,RV_HIGH__RANGE_MID,2022-07-13 19:45:00+00:00,2022-07-14 00:45:00+00:00,15.609461406199134,14.859461406199134
2,1185,150,300,RV_HIGH__RANGE_MID,2022-07-18 19:45:00+00:00,2022-07-19 00:45:00+00:00,29.627231838626077,28.877231838626077
2,1140,150,300,RV_HIGH__RANGE_MID,2022-07-19 19:00:00+00:00,2022-07-20 00:00:00+00:00,-9.51441481575761,-10.26441481575761
2,1155,150,300,RV_HIGH__RANGE_MID,2022-07-19 19:15:00+00:00,2022-07-20 00:15:00+00:00,-20.302171860245515,-21.052171860245515
2,1170,150,300,RV_HIGH__RANGE_MID,2022-07-19 19:30:00+00:00,2022-07-20 00:30:00+00:00,-13.506221432199071,-14.256221432199071
