partition,execution_utc,candidates,accepted,blocked,n,wins,wr,pf,expectancy,net,max_ls,variant
external,05:00,29,28,1,28,16,0.5714285714285714,2.0649495660202217,1.5064479475481662,42.18054253134866,5,S4_FIXED_E25
external,09:00,51,33,18,33,20,0.6060606060606061,1.303016752912061,0.8505003083501949,28.06651017555643,2,S4_FIXED_E25
external,10:00,38,34,4,34,26,0.7647058823529411,1.95028141156803,2.018211701740354,68.61919785917203,2,S4_FIXED_E25
external,16:00,49,49,0,49,30,0.6122448979591837,1.6453786481457868,1.2118715660847894,59.381706738154676,7,S4_FIXED_E25
development,05:00,52,49,3,49,32,0.6530612244897959,1.7557215237869908,0.9777759840925608,47.91102322053548,3,S4_FIXED_E25
development,09:00,89,43,46,43,26,0.6046511627906976,1.2912200864378063,0.5290407520219111,22.74875233694218,4,S4_FIXED_E25
development,10:00,97,91,6,91,57,0.6263736263736264,1.2795463159407758,0.44159805374347816,40.18542289065651,5,S4_FIXED_E25
development,16:00,50,50,0,50,28,0.56,0.8860182269496798,-0.34899639511085534,-17.449819755542766,3,S4_FIXED_E25
reference_validation,05:00,24,24,0,24,15,0.625,1.2855029341195545,0.46906654275957266,11.257597026229744,2,S4_FIXED_E25
reference_validation,09:00,31,14,17,14,10,0.7142857142857143,1.343566717820608,0.666122966210967,9.325721526953538,1,S4_FIXED_E25
reference_validation,10:00,41,39,2,39,26,0.6666666666666666,1.8528885050140127,1.3393254422404632,52.233692247378066,3,S4_FIXED_E25
reference_validation,16:00,24,24,0,24,14,0.5833333333333334,1.4010272664192651,0.886947629107811,21.286743098587465,5,S4_FIXED_E25
POOLED_MAJOR,05:00,105,101,4,101,63,0.6237623762376238,1.7115392727338672,1.0034570572090482,101.34916277811388,5,S4_FIXED_E25
POOLED_MAJOR,09:00,171,90,81,90,56,0.6222222222222222,1.3039222458554904,0.6682331559939126,60.14098403945214,4,S4_FIXED_E25
POOLED_MAJOR,10:00,176,164,12,164,109,0.6646341463414634,1.5809359902411249,0.9819409329097964,161.03831299720662,5,S4_FIXED_E25
POOLED_MAJOR,16:00,123,123,0,123,72,0.5853658536585366,1.21201196479237,0.5139726022861739,63.21863008119939,7,S4_FIXED_E25
external,05:00,29,28,1,28,16,0.5714285714285714,2.0649495660202217,1.5064479475481662,42.18054253134866,5,S10_HYBRID_10_E10_RUNNER
external,09:00,51,33,18,33,20,0.6060606060606061,1.303016752912061,0.8505003083501949,28.06651017555643,2,S10_HYBRID_10_E10_RUNNER
external,10:00,38,34,4,34,26,0.7647058823529411,1.7484764544295974,1.4226648595280729,48.37060522395448,2,S10_HYBRID_10_E10_RUNNER
external,16:00,49,49,0,49,30,0.6122448979591837,1.6453786481457868,1.2118715660847894,59.381706738154676,7,S10_HYBRID_10_E10_RUNNER
development,05:00,52,49,3,49,32,0.6530612244897959,1.7557215237869908,0.9777759840925608,47.91102322053548,3,S10_HYBRID_10_E10_RUNNER
development,09:00,89,43,46,43,26,0.6046511627906976,1.2912200864378063,0.5290407520219111,22.74875233694218,4,S10_HYBRID_10_E10_RUNNER
development,10:00,97,91,6,91,63,0.6923076923076923,1.9496125207366068,1.1085392223307076,100.87706923209439,5,S10_HYBRID_10_E10_RUNNER
development,16:00,50,50,0,50,28,0.56,0.8860182269496798,-0.34899639511085534,-17.449819755542766,3,S10_HYBRID_10_E10_RUNNER
reference_validation,05:00,24,24,0,24,15,0.625,1.2855029341195545,0.46906654275957266,11.257597026229744,2,S10_HYBRID_10_E10_RUNNER
reference_validation,09:00,31,14,17,14,10,0.7142857142857143,1.343566717820608,0.666122966210967,9.325721526953538,1,S10_HYBRID_10_E10_RUNNER
reference_validation,10:00,41,39,2,39,28,0.717948717948718,1.467556108807842,0.5836830601762131,22.76363934687231,2,S10_HYBRID_10_E10_RUNNER
reference_validation,16:00,24,24,0,24,14,0.5833333333333334,1.4010272664192651,0.886947629107811,21.286743098587465,5,S10_HYBRID_10_E10_RUNNER
POOLED_MAJOR,05:00,105,101,4,101,63,0.6237623762376238,1.7115392727338672,1.0034570572090482,101.34916277811388,5,S10_HYBRID_10_E10_RUNNER
POOLED_MAJOR,09:00,171,90,81,90,56,0.6222222222222222,1.3039222458554904,0.6682331559939126,60.14098403945214,4,S10_HYBRID_10_E10_RUNNER
POOLED_MAJOR,10:00,176,164,12,164,117,0.7134146341463414,1.7835022478399987,1.0488494744080559,172.01131380292117,5,S10_HYBRID_10_E10_RUNNER
POOLED_MAJOR,16:00,123,123,0,123,72,0.5853658536585366,1.21201196479237,0.5139726022861739,63.21863008119939,7,S10_HYBRID_10_E10_RUNNER
