SOL R4b Stage A 2022 Component Freeze
commit=9944b9385bbdc585468e35d4a0aae86ee34d9dc6
Stage A 2022 H00 WIB
Stage A 2022 H01 WIB
Stage A 2022 H02 WIB
Stage A 2022 H03 WIB
Stage A 2022 H04 WIB
Stage A 2022 H05 WIB
Stage A 2022 H06 WIB
Stage A 2022 H07 WIB
Stage A 2022 H08 WIB
Stage A 2022 H09 WIB
Stage A 2022 H10 WIB
Stage A 2022 H11 WIB
Stage A 2022 H12 WIB
Stage A 2022 H13 WIB
Stage A 2022 H14 WIB
Stage A 2022 H15 WIB
Stage A 2022 H16 WIB
Stage A 2022 H17 WIB
Stage A 2022 H18 WIB
Stage A 2022 H19 WIB
Stage A 2022 H20 WIB
Stage A 2022 H21 WIB
Stage A 2022 H22 WIB
Stage A 2022 H23 WIB
# SOL R4b — Stage A 2022 Connected-Component Freeze

**2022 ONLY. 2023-2026 were not evaluated by this Stage-A engine.**

Raw SOLUSDT 5m coverage: **99.7698%**.
Grid evaluated: **43,200** cells = 24 WIB hours × 90 characters × 5 lookbacks × 4 holds.
Strict-eligible 2022 cells: **514**.
Connected components with size >=2: **96**.
Frozen top components: **50** across **22** WIB hours.

Stage-A strict eligibility includes positive economics in both 2022 halves and at least two positive quarter-hour anchors. Maximum loss streak is diagnostic only for strict membership, matching ETH R4b.

## Frozen components

| Hour WIB | Rank | Character | Size | Timing cells | Halo | WR min/mean | Exp floor/mean | PF median | DD max |
|---:|---:|---|---:|---|---:|---:|---:|---:|---:|
| H00 | 1 | `EFF_HIGH__RANGE_LOW` | 3 | LB360/H240;LB360/H360;LB360/H480 | 0 | 57.81%/62.50% | $+2.25/$+2.93 | 2.528 | $102.48 |
| H00 | 2 | `DRIVE_DOWN__STR_B40_60` | 2 | LB180/H240;LB240/H240 | 0 | 61.22%/61.60% | $+1.21/$+1.26 | 1.429 | $93.21 |
| H01 | 1 | `RV_LOW__RANGE_MID` | 3 | LB60/H240;LB120/H240;LB180/H240 | 5 | 56.92%/59.26% | $+1.53/$+1.71 | 1.668 | $85.40 |
| H01 | 2 | `EFF_HIGH__EXT_MID` | 3 | LB360/H120;LB360/H240;LB360/H360 | 0 | 56.14%/57.31% | $+1.28/$+1.47 | 1.525 | $119.26 |
| H02 | 1 | `DRIVE_UP__STR_B80_100` | 4 | LB60/H480;LB120/H480;LB180/H360;LB180/H480 | 1 | 59.15%/61.25% | $+4.13/$+5.37 | 2.293 | $98.92 |
| H02 | 2 | `EFF_HIGH__RV_LOW` | 3 | LB240/H240;LB240/H360;LB240/H480 | 3 | 55.66%/56.92% | $+0.93/$+1.26 | 1.457 | $123.52 |
| H02 | 3 | `DRIVE_DOWN__RV_LOW` | 3 | LB120/H120;LB180/H120;LB240/H120 | 1 | 55.25%/56.83% | $+0.56/$+0.70 | 1.411 | $77.98 |
| H03 | 1 | `DRIVE_UP__STR_B60_80` | 2 | LB360/H240;LB360/H360 | 1 | 55.22%/56.72% | $+2.94/$+3.31 | 1.900 | $69.00 |
| H03 | 2 | `DRIVE_UP__STR_B40_60` | 2 | LB360/H360;LB360/H480 | 1 | 62.03%/63.29% | $+2.77/$+2.78 | 1.843 | $104.77 |
| H03 | 3 | `EFF_HIGH__RANGE_LOW` | 2 | LB120/H120;LB120/H240 | 0 | 60.00%/60.00% | $+0.74/$+0.94 | 1.568 | $34.84 |
| H04 | 1 | `EFF_MID__RANGE_MID` | 2 | LB120/H360;LB120/H480 | 0 | 59.18%/59.69% | $+2.74/$+2.91 | 1.721 | $103.52 |
| H05 | 1 | `DRIVE_DOWN__STR_B80_100` | 4 | LB180/H120;LB180/H240;LB240/H120;LB360/H120 | 2 | 57.61%/61.93% | $+7.29/$+8.86 | 4.179 | $102.30 |
| H05 | 2 | `EFF_HIGH__RV_HIGH` | 2 | LB120/H120;LB180/H120 | 2 | 57.66%/57.72% | $+3.53/$+3.77 | 2.323 | $120.77 |
| H05 | 3 | `DRIVE_UP__RANGE_HIGH` | 2 | LB360/H120;LB360/H240 | 1 | 58.04%/58.93% | $+1.27/$+1.63 | 1.562 | $111.98 |
| H06 | 1 | `EFF_LOW__RANGE_LOW` | 3 | LB180/H360;LB240/H240;LB240/H360 | 3 | 55.28%/57.87% | $+1.28/$+1.65 | 1.469 | $122.80 |
| H06 | 2 | `EFF_LOW__RV_LOW` | 3 | LB180/H240;LB180/H360;LB180/H480 | 3 | 55.78%/56.24% | $+0.73/$+1.29 | 1.390 | $111.75 |
| H06 | 3 | `DRIVE_DOWN__STR_B80_100` | 3 | LB180/H120;LB240/H120;LB360/H120 | 1 | 57.30%/59.46% | $+1.52/$+2.17 | 1.779 | $108.58 |
| H07 | 1 | `DRIVE_DOWN__EXT_LOW` | 4 | LB180/H240;LB240/H240;LB240/H360;LB240/H480 | 2 | 56.94%/61.76% | $+1.45/$+3.55 | 2.791 | $106.00 |
| H07 | 2 | `EFF_MID__RANGE_LOW` | 4 | LB120/H240;LB180/H240;LB180/H360;LB240/H240 | 1 | 55.14%/59.05% | $+1.08/$+2.01 | 1.780 | $91.66 |
| H07 | 3 | `EFF_MID__RV_LOW` | 4 | LB120/H240;LB180/H240;LB180/H360;LB180/H480 | 0 | 56.25%/60.64% | $+1.73/$+2.74 | 1.924 | $88.12 |
| H08 | 1 | `DRIVE_DOWN__STR_B40_60` | 5 | LB180/H120;LB180/H240;LB180/H360;LB180/H480;LB240/H360 | 0 | 55.17%/59.22% | $+0.82/$+2.99 | 1.979 | $79.35 |
| H08 | 2 | `DRIVE_DOWN__STR_B20_40` | 4 | LB240/H120;LB240/H240;LB360/H240;LB360/H360 | 0 | 55.00%/58.53% | $+1.05/$+1.31 | 1.491 | $100.43 |
| H08 | 3 | `DRIVE_UP__STR_B0_20` | 4 | LB120/H120;LB120/H240;LB120/H360;LB120/H480 | 0 | 57.32%/59.76% | $+0.77/$+1.41 | 1.604 | $48.97 |
| H09 | 1 | `DRIVE_UP__STR_B20_40` | 2 | LB360/H360;LB360/H480 | 1 | 58.43%/58.99% | $+2.38/$+2.93 | 1.836 | $73.59 |
| H09 | 2 | `EFF_LOW__RANGE_MID` | 2 | LB120/H120;LB120/H240 | 1 | 58.46%/59.23% | $+1.60/$+1.99 | 1.928 | $54.96 |
| H09 | 3 | `DRIVE_UP__STR_B60_80` | 2 | LB180/H360;LB180/H480 | 0 | 55.41%/55.41% | $+3.18/$+3.83 | 2.160 | $73.14 |
| H10 | 1 | `RV_MID__RANGE_LOW` | 2 | LB240/H360;LB360/H360 | 0 | 59.70%/60.26% | $+3.25/$+3.41 | 2.275 | $104.37 |
| H10 | 2 | `DRIVE_DOWN__STR_B0_20` | 2 | LB240/H120;LB240/H240 | 0 | 55.84%/56.49% | $+1.01/$+1.36 | 1.654 | $45.47 |
| H11 | 1 | `DRIVE_UP__STR_B80_100` | 3 | LB60/H480;LB120/H360;LB120/H480 | 2 | 55.29%/57.20% | $+2.39/$+5.21 | 2.269 | $121.06 |
| H11 | 2 | `DRIVE_UP__EXT_HIGH` | 2 | LB60/H480;LB120/H480 | 1 | 55.49%/58.02% | $+2.18/$+2.37 | 1.616 | $99.07 |
| H11 | 3 | `DRIVE_UP__STR_B60_80` | 2 | LB360/H240;LB360/H360 | 1 | 56.96%/58.23% | $+1.73/$+2.37 | 1.659 | $118.39 |
| H12 | 1 | `EFF_HIGH__RV_MID` | 2 | LB180/H360;LB180/H480 | 1 | 56.18%/56.74% | $+1.35/$+1.96 | 1.468 | $110.00 |
| H13 | 1 | `EFF_LOW__RV_HIGH` | 3 | LB120/H360;LB180/H240;LB180/H360 | 3 | 56.06%/57.33% | $+3.68/$+5.45 | 2.077 | $115.29 |
| H13 | 2 | `EFF_HIGH__RV_MID` | 3 | LB240/H120;LB240/H240;LB240/H360 | 0 | 55.70%/59.49% | $+0.80/$+2.68 | 2.835 | $86.42 |
| H13 | 3 | `EFF_LOW__RV_HIGH` | 2 | LB360/H240;LB360/H360 | 2 | 62.50%/62.50% | $+4.82/$+5.59 | 2.581 | $107.07 |
| H14 | 1 | `RV_HIGH__RANGE_MID` | 4 | LB120/H120;LB120/H240;LB180/H240;LB180/H360 | 1 | 56.45%/63.31% | $+3.91/$+5.83 | 3.840 | $122.88 |
| H14 | 2 | `DRIVE_UP__STR_B80_100` | 3 | LB120/H360;LB180/H360;LB240/H360 | 0 | 56.12%/57.42% | $+2.31/$+3.33 | 2.266 | $111.74 |
| H14 | 3 | `EFF_LOW__RV_HIGH` | 2 | LB120/H240;LB180/H240 | 2 | 56.41%/57.97% | $+3.07/$+3.56 | 1.929 | $109.53 |
| H15 | 1 | `RV_HIGH__RANGE_MID` | 3 | LB180/H120;LB180/H240;LB180/H360 | 5 | 60.00%/61.67% | $+2.96/$+3.35 | 2.091 | $85.70 |
| H15 | 2 | `RV_LOW__RANGE_MID` | 3 | LB180/H120;LB180/H240;LB240/H120 | 1 | 56.79%/59.94% | $+1.31/$+1.65 | 2.253 | $37.38 |
| H15 | 3 | `DRIVE_DOWN__EFF_MID` | 3 | LB120/H240;LB180/H120;LB180/H240 | 0 | 55.86%/56.11% | $+0.75/$+1.88 | 1.641 | $114.37 |
| H16 | 1 | `EFF_LOW__RV_LOW` | 3 | LB60/H240;LB120/H240;LB180/H240 | 1 | 55.20%/59.25% | $+1.40/$+1.50 | 1.543 | $116.16 |
| H16 | 2 | `EFF_LOW__RANGE_LOW` | 3 | LB60/H240;LB120/H240;LB180/H240 | 0 | 55.00%/57.67% | $+0.99/$+1.28 | 1.531 | $116.16 |
| H16 | 3 | `DRIVE_DOWN__STR_B20_40` | 2 | LB120/H240;LB180/H240 | 2 | 55.70%/55.85% | $+0.91/$+1.17 | 1.405 | $68.70 |
| H17 | 1 | `EFF_LOW__RANGE_HIGH` | 3 | LB60/H120;LB120/H120;LB120/H240 | 1 | 55.88%/56.94% | $+7.31/$+7.95 | 3.218 | $124.85 |
| H17 | 2 | `EFF_LOW__EXT_MID` | 2 | LB360/H120;LB360/H240 | 0 | 56.25%/57.81% | $+5.44/$+6.54 | 2.848 | $78.23 |
| H18 | 1 | `EFF_LOW__RV_HIGH` | 3 | LB240/H120;LB240/H240;LB360/H120 | 1 | 56.00%/57.01% | $+1.63/$+3.34 | 1.955 | $121.71 |
| H19 | 1 | `EFF_LOW__RV_HIGH` | 2 | LB360/H120;LB360/H240 | 1 | 55.22%/55.97% | $+2.67/$+3.97 | 1.897 | $113.33 |
| H20 | 1 | `DRIVE_DOWN__STR_B80_100` | 4 | LB60/H120;LB120/H120;LB180/H120;LB240/H120 | 1 | 56.00%/58.72% | $+3.87/$+4.91 | 2.072 | $103.55 |
| H23 | 1 | `RV_MID__RANGE_LOW` | 2 | LB360/H240;LB360/H360 | 1 | 60.00%/60.62% | $+1.35/$+1.48 | 1.471 | $87.83 |

Component membership and ranking are now frozen. No 2023 information influenced this result.
