partition,minute_k,feature,fail_n,target_n,fail_median,target_median,gap
development,1,latest_close_H_R,233,63,-0.037313432835821427,-0.03252032520325133,-0.004793107632570098
development,1,cum_max_high_H_R,233,63,-0.015151515151517515,-0.006656804733728058,-0.008494710417789457
development,1,cum_min_low_H_R,233,63,-0.08808933002481566,-0.08593012275731916,-0.0021592072674964935
development,1,cum_rejection_R,233,63,0.019354838709673514,0.03585147247118916,-0.016496633761515646
development,1,cum_path_range_R,233,63,0.06878306878306831,0.0828520657485539,-0.014068996965485595
development,1,latest_body_R,233,63,0.016706443914079525,0.016666666666667326,3.977724741219962e-05
development,1,latest_range_R,233,63,0.06878306878306831,0.0828520657485539,-0.014068996965485595
development,1,count_close_le_H,233,63,1.0,1.0,0.0
development,1,count_close_H05,233,63,0.0,0.0,0.0
development,1,count_close_H10,233,63,0.0,0.0,0.0
development,2,latest_close_H_R,233,63,-0.008368200836820414,-0.01055194805194942,0.0021837472151290064
development,2,cum_max_high_H_R,233,63,0.01937984496123922,0.04761904761904842,-0.0282392026578092
development,2,cum_min_low_H_R,233,63,-0.09374999999999792,-0.09609120521172693,0.0023412052117290083
development,2,cum_rejection_R,233,63,0.03030303030302965,0.036787040161997846,-0.006484009858968194
development,2,cum_path_range_R,233,63,0.1095679012345648,0.11428571428571216,-0.004717813051147365
development,2,latest_body_R,233,63,0.017341040462428386,0.02439024390243994,-0.007049203440011555
development,2,latest_range_R,233,63,0.07091757387247129,0.07480314960629963,-0.0038855757338283475
development,2,count_close_le_H,233,63,2.0,1.0,1.0
development,2,count_close_H05,233,63,0.0,0.0,0.0
development,2,count_close_H10,233,63,0.0,0.0,0.0
development,3,latest_close_H_R,233,63,0.01708074534161703,0.016260162601625664,0.000820582739991367
development,3,cum_max_high_H_R,233,63,0.059888389818973355,0.08058608058608047,-0.02069769076710711
development,3,cum_min_low_H_R,233,63,-0.09374999999999792,-0.09657947686117069,0.0028294768611727694
development,3,cum_rejection_R,233,63,0.042389210019271845,0.049575994781479164,-0.00718678476220732
development,3,cum_path_range_R,233,63,0.14634146341463428,0.15570857396712393,-0.00936711055248965
development,3,latest_body_R,233,63,0.020000000000000757,0.01834862385321382,0.0016513761467869363
development,3,latest_range_R,233,63,0.07095553453169186,0.08530805687203444,-0.01435252234034258
development,3,count_close_le_H,233,63,2.0,2.0,0.0
development,3,count_close_H05,233,63,0.0,0.0,0.0
development,3,count_close_H10,233,63,1.0,1.0,0.0
development,4,latest_close_H_R,233,63,0.024844720496893888,0.04686805864060059,-0.022023338143706703
development,4,cum_max_high_H_R,233,63,0.07641921397380101,0.10526315789473055,-0.028843943920929538
development,4,cum_min_low_H_R,233,63,-0.09374999999999792,-0.09657947686117069,0.0028294768611727694
development,4,cum_rejection_R,233,63,0.04580645161290185,0.05489690721649332,-0.009090455603591466
development,4,cum_path_range_R,233,63,0.17107309486780684,0.19223659889094466,-0.021163504023137825
development,4,latest_body_R,233,63,0.006787330316742337,0.013550135501352326,-0.006762805184609989
development,4,latest_range_R,233,63,0.06881059352093269,0.0746753246753266,-0.005864731154393912
development,4,count_close_le_H,233,63,2.0,2.0,0.0
development,4,count_close_H05,233,63,1.0,0.0,1.0
development,4,count_close_H10,233,63,2.0,1.0,1.0
external,1,latest_close_H_R,133,54,-0.03429101019462496,-0.01671799744945182,-0.017573012745173137
external,1,cum_max_high_H_R,133,54,-0.01532061688311793,0.0043003126447440565,-0.019620929527861986
external,1,cum_min_low_H_R,133,54,-0.06931279620853062,-0.06900793748918285,-0.000304858719347767
external,1,cum_rejection_R,133,54,0.016067062521830017,0.019219137489614325,-0.003152074967784309
external,1,cum_path_range_R,133,54,0.0559631104590224,0.06124764114029438,-0.005284530681271979
external,1,latest_body_R,133,54,0.011584800741426989,0.010239241406047487,0.0013455593353795016
external,1,latest_range_R,133,54,0.0559631104590224,0.06124764114029438,-0.005284530681271979
external,1,count_close_le_H,133,54,1.0,1.0,0.0
external,1,count_close_H05,133,54,0.0,0.0,0.0
external,1,count_close_H10,133,54,0.0,0.0,0.0
external,2,latest_close_H_R,133,54,-0.018652455272174084,-0.022904300902473418,0.004251845630299334
external,2,cum_max_high_H_R,133,54,0.0072127769191153565,0.02832194754380537,-0.02110917062469001
external,2,cum_min_low_H_R,133,54,-0.07707036859741236,-0.07483666336786042,-0.0022337052295519355
external,2,cum_rejection_R,133,54,0.017627118644065236,0.029019499436494837,-0.011392380792429602
external,2,cum_path_range_R,133,54,0.09060864775543864,0.08976761000346266,0.0008410377519759843
external,2,latest_body_R,133,54,0.01703454894434072,0.0022588465077134586,0.014775702436627262
external,2,latest_range_R,133,54,0.05444360156386726,0.06069865962913988,-0.0062550580652726215
external,2,count_close_le_H,133,54,2.0,1.5,0.5
external,2,count_close_H05,133,54,0.0,0.0,0.0
external,2,count_close_H10,133,54,0.0,0.0,0.0
external,3,latest_close_H_R,133,54,0.005062126092958484,0.003658691218227923,0.0014034348747305608
external,3,cum_max_high_H_R,133,54,0.03020496224379686,0.04573278368440531,-0.01552782144060845
external,3,cum_min_low_H_R,133,54,-0.07707036859741236,-0.07971242609361914,0.002642057496206787
external,3,cum_rejection_R,133,54,0.025005606638257197,0.023360483937136255,0.0016451227011209414
external,3,cum_path_range_R,133,54,0.1144740785136344,0.11429532789426414,0.0001787506193702687
external,3,latest_body_R,133,54,0.014321819713563898,0.021383645983091268,-0.007061826269527369
external,3,latest_range_R,133,54,0.055632609030665706,0.05992224998678471,-0.004289640956119008
external,3,count_close_le_H,133,54,2.0,2.0,0.0
external,3,count_close_H05,133,54,0.0,0.0,0.0
external,3,count_close_H10,133,54,1.0,1.0,0.0
external,4,latest_close_H_R,133,54,0.02401205559851654,0.03538823315917227,-0.011376177560655731
external,4,cum_max_high_H_R,133,54,0.056451612903224736,0.07070246653294823,-0.014250853629723496
external,4,cum_min_low_H_R,133,54,-0.08022457891453437,-0.08175373169530842,0.0015291527807740485
external,4,cum_rejection_R,133,54,0.02223719676549947,0.0359422884009077,-0.013705091635408229
external,4,cum_path_range_R,133,54,0.14985014985014888,0.15150338964747515,-0.0016532397973262614
external,4,latest_body_R,133,54,0.017328519855595168,0.018832364681851385,-0.001503844826256217
external,4,latest_range_R,133,54,0.05928035205798577,0.067411492838365,-0.008131140780379235
external,4,count_close_le_H,133,54,2.0,2.0,0.0
external,4,count_close_H05,133,54,1.0,1.0,0.0
external,4,count_close_H10,133,54,1.0,1.5,-0.5
reference_validation,1,latest_close_H_R,134,48,-0.03357309163479369,-0.05911680911680875,0.02554371748201506
reference_validation,1,cum_max_high_H_R,134,48,-0.007337920653696895,-0.03921606612423799,0.031878145470541096
reference_validation,1,cum_min_low_H_R,134,48,-0.07854152897113847,-0.10087341086035326,0.022331881889214783
reference_validation,1,cum_rejection_R,134,48,0.02596874330977892,0.022536997885837334,0.0034317454239415866
reference_validation,1,cum_path_range_R,134,48,0.07142022410118938,0.08354236343366629,-0.012122139332476911
reference_validation,1,latest_body_R,134,48,0.015366541353385563,0.023947548558228927,-0.008581007204843364
reference_validation,1,latest_range_R,134,48,0.07142022410118938,0.08354236343366629,-0.012122139332476911
reference_validation,1,count_close_le_H,134,48,1.0,1.0,0.0
reference_validation,1,count_close_H05,134,48,0.0,0.0,0.0
reference_validation,1,count_close_H10,134,48,0.0,0.0,0.0
reference_validation,2,latest_close_H_R,134,48,-0.01275005673896654,-0.03758793969849022,0.024837882959523678
reference_validation,2,cum_max_high_H_R,134,48,0.021312103788881546,-0.012900282064042104,0.034212385852923646
reference_validation,2,cum_min_low_H_R,134,48,-0.08877173510913683,-0.1142619838633158,0.025490248754178976
reference_validation,2,cum_rejection_R,134,48,0.03459565644439615,0.034133271202237296,0.0004623852421588512
reference_validation,2,cum_path_range_R,134,48,0.1066849391433625,0.11923777710294675,-0.012552837959584257
reference_validation,2,latest_body_R,134,48,0.016547406082289617,0.02074175824175642,-0.004194352159466803
reference_validation,2,latest_range_R,134,48,0.06913340336923786,0.07491496598639588,-0.005781562617158023
reference_validation,2,count_close_le_H,134,48,2.0,2.0,0.0
reference_validation,2,count_close_H05,134,48,0.0,0.0,0.0
reference_validation,2,count_close_H10,134,48,0.0,0.0,0.0
reference_validation,3,latest_close_H_R,134,48,0.009811879297173063,-0.03009324068653548,0.03990511998370855
reference_validation,3,cum_max_high_H_R,134,48,0.05097259848114761,0.01083499199937461,0.040137606481773
reference_validation,3,cum_min_low_H_R,134,48,-0.09119922630560866,-0.1142619838633158,0.023062757557707148
reference_validation,3,cum_rejection_R,134,48,0.039705264263948326,0.051370332305581516,-0.01166506804163319
reference_validation,3,cum_path_range_R,134,48,0.14532979444318922,0.15881044487427576,-0.013480650431086538
reference_validation,3,latest_body_R,134,48,0.020232734927784702,0.0019305019305029263,0.018302232997281776
reference_validation,3,latest_range_R,134,48,0.07350321559820304,0.07853218210361068,-0.005028966505407642
reference_validation,3,count_close_le_H,134,48,2.0,3.0,-1.0
reference_validation,3,count_close_H05,134,48,0.0,0.0,0.0
reference_validation,3,count_close_H10,134,48,1.0,0.0,1.0
reference_validation,4,latest_close_H_R,134,48,0.019848200333539304,0.013140028288544311,0.006708172044994992
reference_validation,4,cum_max_high_H_R,134,48,0.07712457168747877,0.044211040547149506,0.032913531140329265
reference_validation,4,cum_min_low_H_R,134,48,-0.09204097714735537,-0.11841621472562036,0.026375237578264987
reference_validation,4,cum_rejection_R,134,48,0.0385505361084819,0.046427454309839335,-0.007876918201357434
reference_validation,4,cum_path_range_R,134,48,0.16967271981122647,0.18404659616655888,-0.01437387635533241
reference_validation,4,latest_body_R,134,48,0.013784749535552816,0.04003764996171261,-0.02625290042615979
reference_validation,4,latest_range_R,134,48,0.06734900931009416,0.08133392031697453,-0.013984911006880374
reference_validation,4,count_close_le_H,134,48,2.0,3.0,-1.0
reference_validation,4,count_close_H05,134,48,1.0,0.0,1.0
reference_validation,4,count_close_H10,134,48,1.0,1.0,0.0
