tf,feature,coef_standardized
H1,sr_dist,-0.0018453775948016784
H1,sr_sweep,0.042348472717324
H1,sr_room,-0.06569289634938794
H1,pw_dist,-0.1522293876472034
H1,pw_sweep,-0.0045347869026564755
H1,pw_pos,0.14805968504596675
H1,orb_near,0.01320475622199987
H1,orb_state,0.040320888912869675
H1,orb_reclaim,-0.05007113218216225
H1,fvg_dist,0.015307358347936515
H1,fvg_touch,0.014462673253694118
H1,fib_dist,0.00442932867912942
H1,fib_touch,-0.0027892564807378752
H1,body_align,0.005617098857917559
H1,reject_wick,-0.05299480344622593
H4,sr_dist,0.01533097333313396
H4,sr_sweep,0.06945635959419838
H4,sr_room,-0.05703213677420193
H4,pw_dist,-0.09151201066212251
H4,pw_sweep,0.01766273169890976
H4,pw_pos,0.12100206608186448
H4,orb_near,-0.019836831754292943
H4,orb_state,0.012982919016752244
H4,orb_reclaim,-0.04942630564698687
H4,fvg_dist,0.024510677890926837
H4,fvg_touch,0.01822300513975675
H4,fib_dist,0.056731190043555334
H4,fib_touch,0.014661787763937199
H4,body_align,0.03481485068316313
H4,reject_wick,-0.057610487034929006
