partition,mode,depth,depth_name,opportunities,n,exec_rate,wr,pf,exp,net,max_ls,median_actual_f,median_mae_r,median_mfe_r,tp_rate
external,BLIND_LIMIT,0.65,F65,120,30,0.25,0.6666666666666666,1.2462657669220047,0.6337965707000095,19.013897121000284,3,0.6499999999999998,0.28086156417405334,0.4542084766645585,0.5666666666666667
external,BLIND_LIMIT,0.675,F67.5,120,33,0.275,0.696969696969697,1.4861543932845644,1.2239933868432211,40.391781765826295,2,0.6749999999999998,0.24910978274842802,0.4311946902654912,0.6060606060606061
external,BLIND_LIMIT,0.7,F70,120,39,0.325,0.6923076923076923,1.5314422373678807,1.2197061710764918,47.56854067198318,2,0.7,0.21503826303612236,0.41354759967453225,0.6410256410256411
external,BLIND_LIMIT,0.725,F72.5,120,41,0.3416666666666667,0.7073170731707317,1.4231283037602411,0.9961977603940879,40.844108176157604,2,0.7250000000000001,0.19658814958717888,0.3958594449418056,0.6585365853658537
external,BLIND_LIMIT,0.75,F75,120,42,0.35,0.7142857142857143,1.493725254081477,1.08200253975706,45.444106669796525,2,0.75,0.1953134088657346,0.3734218484551506,0.6904761904761905
external,BLIND_LIMIT,0.775,F77.5,120,45,0.375,0.7333333333333333,1.3510125298049913,0.7719708167861733,34.7386867553778,2,0.7750000000000001,0.19660926111190583,0.34585944494180737,0.6666666666666666
external,BLIND_LIMIT,0.8,F80,120,45,0.375,0.7333333333333333,1.1514080522876433,0.3562152287070307,16.02968529181638,2,0.8,0.2216092611119037,0.32085944494180313,0.6666666666666666
external,BLIND_NEXT_OPEN,0.65,F65,120,30,0.25,0.7333333333333333,1.3343900299016365,0.795341560644786,23.86024681934358,3,0.6501229364243035,0.27043513989857876,0.43375614918460437,0.5666666666666667
external,BLIND_NEXT_OPEN,0.675,F67.5,120,33,0.275,0.7575757575757576,1.6469199854770313,1.4174808811320352,46.77686907735716,2,0.667201492537315,0.24180485923641096,0.4272300469483588,0.6060606060606061
external,BLIND_NEXT_OPEN,0.7,F70,120,39,0.325,0.7435897435897436,1.7982172573455775,1.5691129151600551,61.19540369124215,2,0.6786034019695589,0.17703540708141524,0.4056987788331082,0.6410256410256411
external,BLIND_NEXT_OPEN,0.725,F72.5,120,41,0.3416666666666667,0.7560975609756098,1.599272881082634,1.233508324822102,50.57384131770618,2,0.7242152466367723,0.20903010033444852,0.3716029292107408,0.6585365853658537
external,BLIND_NEXT_OPEN,0.75,F75,120,42,0.35,0.7380952380952381,1.6307364080880935,1.2515755205643502,52.566171863702706,2,0.761667213181374,0.20650096679344165,0.3583234557016055,0.6904761904761905
