tolerance,partition,touch_bucket,long_n,short_n,entered,resolved,wins,losses,wr,net_pf,net_exp,total_net,med_risk,med_hold,repeatable_pass
TOL_0.10,external,ALL,31,2,33,33,14,19,0.42424242424242425,1.21342042979393,2.765045551629485,91.246503203773,0.03651350648595694,2175.0,False
TOL_0.10,external,0,15,0,15,15,5,10,0.3333333333333333,1.3361089955584597,4.442354898585074,66.6353234787761,0.041729211080672554,2605.0,False
TOL_0.10,external,1,11,2,13,13,7,6,0.5384615384615384,0.8739969460401951,-1.7858058504428058,-23.215476055756476,0.020718031983662937,925.0,False
TOL_0.10,external,2,4,0,4,4,1,3,0.25,1.038504396531957,0.433588246443529,1.734352985774116,0.032152641152711,1645.0,False
TOL_0.10,external,3,0,0,0,0,0,0,,,,,,,False
TOL_0.10,external,4+,1,0,1,1,1,0,1.0,inf,46.09230279497929,46.09230279497929,0.04649230279497933,7165.0,False
TOL_0.10,development,ALL,14,9,23,23,11,12,0.4782608695652174,1.8996838264540818,7.953871315822728,182.93904026392275,0.033868274582560386,1120.0,False
TOL_0.10,development,0,2,3,5,5,2,3,0.4,1.5555795763876137,5.778285846749288,28.89142923374644,0.03218547416999818,325.0,False
TOL_0.10,development,1,8,4,12,12,6,6,0.5,3.056581751400291,13.000434793697794,156.00521752437353,0.0263938388249507,895.0,False
TOL_0.10,development,2,2,2,4,4,1,3,0.25,0.24589551718525554,-14.229602624828225,-56.9184104993129,0.04697489224050999,2425.0,False
TOL_0.10,development,3,0,0,0,0,0,0,,,,,,,False
TOL_0.10,development,4+,2,0,2,2,2,0,1.0,inf,27.480402002557817,54.960804005115634,0.02788040200255785,2610.0,False
TOL_0.10,reference_validation,ALL,9,7,16,16,5,11,0.3125,0.5988327920706662,-3.8253918101383517,-61.20626896221363,0.022214110391462365,730.0,False
TOL_0.10,reference_validation,0,5,1,6,6,1,5,0.16666666666666666,0.12694125147903842,-10.20711826051672,-61.24270956310033,0.010700254258829159,652.5,False
TOL_0.10,reference_validation,1,2,3,5,5,3,2,0.6,2.3479407159427375,7.507977907271856,37.53988953635928,0.026294967823609985,1215.0,False
TOL_0.10,reference_validation,2,1,1,2,2,0,2,0.0,0.0,-12.335257048363374,-24.670514096726748,0.0238705140967268,1992.5,False
TOL_0.10,reference_validation,3,1,2,3,3,1,2,0.3333333333333333,0.5708457913958532,-4.27764494624861,-12.83293483874583,0.021140859668209527,610.0,False
TOL_0.10,reference_validation,4+,0,0,0,0,0,0,,,,,,,False
TOL_0.10,august,ALL,2,1,3,2,1,1,0.5,4.370050093683761,7.474542609895453,14.949085219790906,0.013928339202329935,11650.0,False
TOL_0.10,august,0,1,1,2,1,0,1,0.0,0.0,-4.43586439495629,-4.43586439495629,0.00807172878991266,315.0,False
TOL_0.10,august,1,1,0,1,1,1,0,1.0,inf,19.384949614747196,19.384949614747196,0.01978494961474721,22985.0,False
TOL_0.10,august,2,0,0,0,0,0,0,,,,,,,False
TOL_0.10,august,3,0,0,0,0,0,0,,,,,,,False
TOL_0.10,august,4+,0,0,0,0,0,0,,,,,,,False
TOL_0.20,external,ALL,31,2,33,33,14,19,0.42424242424242425,1.21342042979393,2.765045551629485,91.246503203773,0.03651350648595694,2175.0,False
TOL_0.20,external,0,15,0,15,15,5,10,0.3333333333333333,1.3361089955584597,4.442354898585074,66.6353234787761,0.041729211080672554,2605.0,False
TOL_0.20,external,1,11,2,13,13,7,6,0.5384615384615384,0.8739969460401951,-1.7858058504428058,-23.215476055756476,0.020718031983662937,925.0,False
TOL_0.20,external,2,3,0,3,3,1,2,0.3333333333333333,1.791768235652785,6.890178884500844,20.67053665350253,0.027232914969965157,960.0,False
TOL_0.20,external,3,1,0,1,1,0,1,0.0,0.0,-18.93618366772841,-18.93618366772841,0.037072367335456845,2330.0,False
TOL_0.20,external,4+,1,0,1,1,1,0,1.0,inf,46.09230279497929,46.09230279497929,0.04649230279497933,7165.0,False
TOL_0.20,development,ALL,14,9,23,23,11,12,0.4782608695652174,1.8996838264540818,7.953871315822728,182.93904026392275,0.033868274582560386,1120.0,False
TOL_0.20,development,0,1,3,4,4,1,3,0.25,1.1121430212007382,1.4579244354814118,5.831697741925647,0.04462342730344368,3195.0,False
TOL_0.20,development,1,8,4,12,12,6,6,0.5,1.8048486730029347,5.087754320996243,61.05305185195492,0.01893957077330842,682.5,False
TOL_0.20,development,2,3,2,5,5,2,3,0.4,1.8094195140140121,12.218697332985306,61.09348666492653,0.05460651347615757,4740.0,False
TOL_0.20,development,3,0,0,0,0,0,0,,,,,,,False
TOL_0.20,development,4+,2,0,2,2,2,0,1.0,inf,27.480402002557817,54.960804005115634,0.02788040200255785,2610.0,False
TOL_0.20,reference_validation,ALL,9,7,16,16,5,11,0.3125,0.5988327920706662,-3.8253918101383517,-61.20626896221363,0.022214110391462365,730.0,False
TOL_0.20,reference_validation,0,3,1,4,4,1,3,0.25,0.15033574283510165,-12.581685178080768,-50.32674071232307,0.031053502646776764,652.5,False
TOL_0.20,reference_validation,1,3,2,5,5,1,4,0.2,0.667985275250576,-2.5741617167012953,-12.870808583506477,0.0232873611147152,1695.0,False
TOL_0.20,reference_validation,2,3,1,4,4,2,2,0.5,1.1393245940290149,0.8593023402533855,3.437209361013542,0.017437529105030908,687.5,False
TOL_0.20,reference_validation,3,0,3,3,3,1,2,0.3333333333333333,0.9516457821030102,-0.4819763424658727,-1.445929027397618,0.02885692309768308,1215.0,False
TOL_0.20,reference_validation,4+,0,0,0,0,0,0,,,,,,,False
TOL_0.20,august,ALL,2,1,3,2,1,1,0.5,4.370050093683761,7.474542609895453,14.949085219790906,0.013928339202329935,11650.0,False
TOL_0.20,august,0,1,1,2,1,0,1,0.0,0.0,-4.43586439495629,-4.43586439495629,0.00807172878991266,315.0,False
TOL_0.20,august,1,1,0,1,1,1,0,1.0,inf,19.384949614747196,19.384949614747196,0.01978494961474721,22985.0,False
TOL_0.20,august,2,0,0,0,0,0,0,,,,,,,False
TOL_0.20,august,3,0,0,0,0,0,0,,,,,,,False
TOL_0.20,august,4+,0,0,0,0,0,0,,,,,,,False
