character_rule,supportive_cells,connected_components,max_component_cells,strict_temporal_cells,best_positive_halves,best_supportive_anchors,median_expectancy,median_pf,min_best_half_concentration,min_best_anchor_concentration,failure_modes,diagnostic_rank
RV_HIGH__RANGE_MID,4,3,2,1,3,4,2.0220132539310196,1.9381008979186083,0.36636905096181693,0.32287862220413277,TIMING_FRAGILITY,1
EFF_MID__EXT_LOW,3,1,3,0,4,4,1.488881408183557,1.6460022806178152,0.4381323277433968,0.3977327818265419,TIMING_FRAGILITY,2
RV_MID__RANGE_LOW,2,1,2,0,3,2,0.7853427009286241,1.2993473958347441,0.5705077385506666,0.8183361833821206,TIMING_FRAGILITY;ANCHOR_FRAGILITY,3
DRIVE_DOWN__STR_B0_20,1,1,1,0,4,3,0.8155267956973943,1.3734087364715548,0.5175565141353349,0.5298685707447258,TIMING_FRAGILITY,4
DRIVE_DOWN__RANGE_MID,1,1,1,0,3,4,0.7233437098445378,1.361267015225782,0.5116513196976862,0.40996776650290745,TIMING_FRAGILITY,5
EFF_HIGH__EXT_MID,1,1,1,0,3,3,0.6801332789519102,1.2788368737570923,0.3941102910668051,0.44604418344473756,TIMING_FRAGILITY,6
EFF_LOW__RV_MID,1,1,1,0,3,3,0.2064676506226656,1.0872700787909024,0.4708052814416558,0.4732255581017115,TIMING_FRAGILITY,7
EFF_MID__RV_HIGH,1,1,1,0,3,1,0.6328874670716863,1.2272296506406124,0.6039842738263315,0.7771656894809924,TIMING_FRAGILITY;ANCHOR_FRAGILITY,8
EFF_MID__RANGE_HIGH,1,1,1,0,2,2,0.4813031299228895,1.187829923096514,0.5528751238122375,0.7408015510493073,TIMING_FRAGILITY;TEMPORAL_FRAGILITY;ANCHOR_FRAGILITY,9
