mechanism,scope,n,wins,wr,pf,expectancy,net,max_loss_streak
H2_ONLY,POOLED_MAJOR,106,82,0.7735849056603774,0.693268456356802,-0.3265799406148663,-34.617473705175826,3
H2_ONLY,ALT_0330,55,45,0.8181818181818182,0.788118817880805,-0.18806181947887324,-10.343400071338028,2
H2_ONLY,RAW_0530,51,37,0.7254901960784313,0.6209675680202547,-0.4759622281144667,-24.2740736338378,4
H2_ONLY,external,25,18,0.72,0.49381887261483615,-1.2274706363229888,-30.686765908074722,2
H2_ONLY,development,55,44,0.8,1.072674821050431,0.04495734887386551,2.472654188062603,2
H2_ONLY,reference_validation,26,20,0.7692307692307693,0.6483905585191111,-0.2462831532755271,-6.403361985163705,3
H2_50_E10_CONFIRM_E20,POOLED_MAJOR,106,70,0.660377358490566,0.5534020068516574,-0.5191928121363166,-55.03443808644956,3
H2_50_E10_CONFIRM_E20,ALT_0330,55,36,0.6545454545454545,0.553666054027116,-0.46874159822477157,-25.780787902362437,3
H2_50_E10_CONFIRM_E20,RAW_0530,51,34,0.6666666666666666,0.5531690470542632,-0.5736009840017083,-29.253650184087125,3
H2_50_E10_CONFIRM_E20,external,25,16,0.64,0.3833591836332348,-1.5439688156961728,-38.59922039240432,2
H2_50_E10_CONFIRM_E20,development,55,37,0.6727272727272727,0.8091998976056836,-0.13753239336373504,-7.564281635005427,3
H2_50_E10_CONFIRM_E20,reference_validation,26,17,0.6538461538461539,0.5773603317856486,-0.34118984842460887,-8.870936059039831,2
