family,variant,parameter,scope,year,horizon_min,events,resolved,win_rate,mean_close_r,median_close_r,mean_mfe,mean_mae,median_mfe_mae_ratio
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_4,4,ALL,ALL,60,1660,1109,0.5067628494138864,-0.020459774092200157,-0.11070536229099016,1.0207648812511798,0.9372449808622975,0.9497518610421559
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_4,4,ALL,ALL,120,1660,1467,0.49147920927062033,-0.0312108781999032,-0.10085547050877522,1.472915111607359,1.3613457953266457,0.9754385964912501
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_4,4,ALL,ALL,240,1660,1623,0.492298213185459,-0.07481779687925752,-0.1634344929681696,2.093645288816648,2.0132440205784095,0.9712643678161015
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_4,4,ALL,ALL,480,1660,1657,0.49064574532287264,-0.1847224560501229,-0.3232323232323159,2.980686961892872,3.077652588131952,0.8480954566314985
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_6,6,ALL,ALL,60,1596,1086,0.509208103130755,-0.03459680422995452,-0.10509325404488333,1.0588130542505483,0.9593874709263406,0.9545454545454317
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_6,6,ALL,ALL,120,1596,1420,0.4866197183098592,-0.04260397458991071,-0.14957163063025739,1.516982145208425,1.3871288398810149,0.9454466790078093
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_6,6,ALL,ALL,240,1596,1559,0.48749198203976907,0.004819178784246717,-0.092389421411252,2.165723924112414,2.023502166862943,0.9340974212034393
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_6,6,ALL,ALL,480,1596,1592,0.48743718592964824,-0.05330355583542162,-0.23966712898750742,3.1197028001864693,2.982814337551093,0.9856115107913596
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_8,8,ALL,ALL,60,1447,996,0.5261044176706827,0.05121993854191852,-0.050049438202240816,1.138505811537421,0.9511512109485383,1.0540540540540557
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_8,8,ALL,ALL,120,1447,1289,0.5027152831652444,0.00910875038321325,-0.0976271186440716,1.6110022167754026,1.3752165854559921,1.0
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_8,8,ALL,ALL,240,1447,1414,0.5035360678925035,0.009775113049413317,-0.13086078051480926,2.2616134087547546,2.0140814927106088,1.0384615384615585
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_8,8,ALL,ALL,480,1447,1443,0.5017325017325017,-0.12798550913376405,-0.2639434406912814,3.144082117532757,3.01207436183503,1.0000000000000169
IMPULSE_PULLBACK,IMPULSE_PULLBACK_3,3,ALL,ALL,60,2834,2022,0.5182987141444114,0.010301751354121343,-0.038646935330328896,1.0769533254888894,1.0044025262387632,1.0000000000000409
