config,tp,sl,rr,partition,entered,resolved,wins,losses,wr,gross_pf,gross_expectancy_pct,net_expectancy_usd,total_net_usd,median_hold_min,samebar,repeatable_positive_net,min_major_net_expectancy,min_major_wr,mean_major_net_expectancy
TP0.50_SL0.50,0.005,0.005,1.0,external,210,210,108,102,0.5142857142857142,1.0588235294117647,0.0001428571428571429,-0.32857142857142857,-69.0,35.0,0.004761904761904762,False,-0.32857142857142857,0.5142857142857142,-0.2552536397724683
TP0.50_SL0.50,0.005,0.005,1.0,development,239,239,125,114,0.5230125523012552,1.0964912280701755,0.00023012552301255234,-0.28493723849372404,-68.10000000000005,70.0,0.0041841004184100415,False,-0.32857142857142857,0.5142857142857142,-0.2552536397724683
TP0.50_SL0.50,0.005,0.005,1.0,reference_validation,111,111,61,50,0.5495495495495496,1.22,0.0004954954954954955,-0.1522522522522523,-16.900000000000006,110.0,0.0,False,-0.32857142857142857,0.5142857142857142,-0.2552536397724683
TP0.50_SL0.50,0.005,0.005,1.0,august,2,2,1,1,0.5,1.0,0.0,-0.3999999999999999,-0.7999999999999998,490.0,0.0,False,-0.32857142857142857,0.5142857142857142,-0.2552536397724683
TP0.75_SL0.75,0.0075,0.0075,1.0,external,210,210,109,101,0.5190476190476191,1.0792079207920793,0.0002857142857142857,-0.2571428571428574,-54.00000000000006,85.0,0.0,False,-0.6364864864864866,0.46846846846846846,-0.43643990673279404
TP0.75_SL0.75,0.0075,0.0075,1.0,development,239,239,119,120,0.497907949790795,0.9916666666666667,-3.138075313807528e-05,-0.415690376569038,-99.35000000000008,135.0,0.0,False,-0.6364864864864866,0.46846846846846846,-0.43643990673279404
TP0.75_SL0.75,0.0075,0.0075,1.0,reference_validation,111,111,52,59,0.46846846846846846,0.8813559322033898,-0.00047297297297297297,-0.6364864864864866,-70.65000000000002,220.0,0.0,False,-0.6364864864864866,0.46846846846846846,-0.43643990673279404
TP0.75_SL0.75,0.0075,0.0075,1.0,august,2,2,1,1,0.5,1.0,0.0,-0.40000000000000013,-0.8000000000000003,515.0,0.0,False,-0.6364864864864866,0.46846846846846846,-0.43643990673279404
TP1.00_SL0.50,0.01,0.005,2.0,external,210,210,70,140,0.3333333333333333,1.0,1.3216940769347103e-19,-0.40000000000000013,-84.00000000000003,60.0,0.0,False,-0.40000000000000013,0.3333333333333333,-0.25572392476158184
TP1.00_SL0.50,0.01,0.005,2.0,development,239,239,87,152,0.36401673640167365,1.144736842105263,0.0004602510460251048,-0.16987447698744804,-40.60000000000008,120.0,0.0,False,-0.40000000000000013,0.3333333333333333,-0.25572392476158184
TP1.00_SL0.50,0.01,0.005,2.0,reference_validation,111,111,40,71,0.36036036036036034,1.1267605633802817,0.0004054054054054053,-0.19729729729729742,-21.900000000000013,200.0,0.0,False,-0.40000000000000013,0.3333333333333333,-0.25572392476158184
TP1.00_SL0.50,0.01,0.005,2.0,august,2,2,0,2,0.0,0.0,-0.005,-2.9,-5.8,950.0,0.0,False,-0.40000000000000013,0.3333333333333333,-0.25572392476158184
TP1.00_SL0.75,0.01,0.0075,1.3333333333333335,external,210,210,95,115,0.4523809523809524,1.1014492753623188,0.00041666666666666696,-0.19166666666666687,-40.25000000000004,100.0,0.0,False,-0.4450450450450452,0.42342342342342343,-0.32639344365285816
TP1.00_SL0.75,0.01,0.0075,1.3333333333333335,development,239,239,104,135,0.4351464435146444,1.0271604938271606,0.0001150627615062766,-0.3424686192468624,-81.85000000000011,185.0,0.0,False,-0.4450450450450452,0.42342342342342343,-0.32639344365285816
TP1.00_SL0.75,0.01,0.0075,1.3333333333333335,reference_validation,111,111,47,64,0.42342342342342343,0.9791666666666666,-9.00900900900896e-05,-0.4450450450450452,-49.40000000000002,290.0,0.0,False,-0.4450450450450452,0.42342342342342343,-0.32639344365285816
TP1.00_SL0.75,0.01,0.0075,1.3333333333333335,august,2,2,0,2,0.0,0.0,-0.0075,-4.15,-8.3,1027.5,0.0,False,-0.4450450450450452,0.42342342342342343,-0.32639344365285816
TP1.50_SL1.00,0.015,0.01,1.5,external,210,210,94,116,0.44761904761904764,1.2155172413793103,0.00119047619047619,0.1952380952380951,40.99999999999997,210.0,0.0,False,-0.10720720720720751,0.42342342342342343,0.02502005891127204
TP1.50_SL1.00,0.015,0.01,1.5,development,239,239,103,136,0.4309623430962343,1.1360294117647058,0.0007740585774058572,-0.012970711297071462,-3.1000000000000796,315.0,0.0,False,-0.10720720720720751,0.42342342342342343,0.02502005891127204
TP1.50_SL1.00,0.015,0.01,1.5,reference_validation,111,111,47,64,0.42342342342342343,1.1015625,0.0005855855855855852,-0.10720720720720751,-11.900000000000034,545.0,0.0,False,-0.10720720720720751,0.42342342342342343,0.02502005891127204
TP1.50_SL1.00,0.015,0.01,1.5,august,2,2,0,2,0.0,0.0,-0.01,-5.4,-10.8,1040.0,0.0,False,-0.10720720720720751,0.42342342342342343,0.02502005891127204
TP2.00_SL1.00,0.02,0.01,2.0,external,210,210,80,130,0.38095238095238093,1.2307692307692308,0.0014285714285714284,0.31428571428571445,66.00000000000003,240.0,0.0,False,-0.12972972972972988,0.35135135135135137,0.06068184143497945
TP2.00_SL1.00,0.02,0.01,2.0,development,239,239,86,153,0.3598326359832636,1.1241830065359477,0.0007949790794979078,-0.0025104602510462393,-0.6000000000000512,380.0,0.0041841004184100415,False,-0.12972972972972988,0.35135135135135137,0.06068184143497945
TP2.00_SL1.00,0.02,0.01,2.0,reference_validation,111,111,39,72,0.35135135135135137,1.0833333333333333,0.0005405405405405403,-0.12972972972972988,-14.400000000000016,655.0,0.0,False,-0.12972972972972988,0.35135135135135137,0.06068184143497945
TP2.00_SL1.00,0.02,0.01,2.0,august,2,2,0,2,0.0,0.0,-0.01,-5.4,-10.8,1040.0,0.0,False,-0.12972972972972988,0.35135135135135137,0.06068184143497945
TP2.00_SL1.50,0.02,0.015,1.3333333333333335,external,210,210,102,108,0.4857142857142857,1.2592592592592593,0.002000000000000001,0.6000000000000001,126.00000000000003,375.0,0.0,False,-1.120720720720721,0.38738738738738737,-0.19533089574930598
