partition,date_utc,signal_ts,window_status,entry_name,entry_fraction,planned_entry_px,H,L,range,eligible_start,h2_bar_start,opposite_break_bar_start,session_end,filled,fill_bar_start,entry_px,h2_after_fill,minutes_fill_to_h2,terminal
august,2026-08-14,2026-08-14 14:05:00+00:00,H2_ARRIVAL,F05,0.05,62576.445,62974.4,62555.5,418.90000000000146,2026-08-14 14:10:00+00:00,2026-08-14 14:15:00+00:00,,2026-08-14 20:00:00+00:00,True,2026-08-14 14:10:00+00:00,62576.445,True,5.0,H2_ARRIVAL
august,2026-08-14,2026-08-14 14:05:00+00:00,H2_ARRIVAL,F10,0.1,62597.39,62974.4,62555.5,418.90000000000146,2026-08-14 14:10:00+00:00,2026-08-14 14:15:00+00:00,,2026-08-14 20:00:00+00:00,True,2026-08-14 14:10:00+00:00,62597.39,True,5.0,H2_ARRIVAL
august,2026-08-14,2026-08-14 14:05:00+00:00,H2_ARRIVAL,F15,0.15,62618.335,62974.4,62555.5,418.90000000000146,2026-08-14 14:10:00+00:00,2026-08-14 14:15:00+00:00,,2026-08-14 20:00:00+00:00,True,2026-08-14 14:10:00+00:00,62618.335,True,5.0,H2_ARRIVAL
august,2026-08-14,2026-08-14 14:05:00+00:00,H2_ARRIVAL,F20,0.2,62639.28,62974.4,62555.5,418.90000000000146,2026-08-14 14:10:00+00:00,2026-08-14 14:15:00+00:00,,2026-08-14 20:00:00+00:00,True,2026-08-14 14:10:00+00:00,62639.28,True,5.0,H2_ARRIVAL
august,2026-08-14,2026-08-14 14:05:00+00:00,H2_ARRIVAL,F25,0.25,62660.225,62974.4,62555.5,418.90000000000146,2026-08-14 14:10:00+00:00,2026-08-14 14:15:00+00:00,,2026-08-14 20:00:00+00:00,True,2026-08-14 14:10:00+00:00,62660.225,True,5.0,H2_ARRIVAL
august,2026-08-18,2026-08-18 13:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,F05,0.05,64043.225,64380.0,64025.5,354.5,2026-08-18 13:45:00+00:00,,2026-08-18 14:15:00+00:00,2026-08-18 20:00:00+00:00,False,,,False,,OPPOSITE_BREAK_BEFORE_H2
august,2026-08-18,2026-08-18 13:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,F10,0.1,64060.95,64380.0,64025.5,354.5,2026-08-18 13:45:00+00:00,,2026-08-18 14:15:00+00:00,2026-08-18 20:00:00+00:00,False,,,False,,OPPOSITE_BREAK_BEFORE_H2
august,2026-08-18,2026-08-18 13:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,F15,0.15,64078.675,64380.0,64025.5,354.5,2026-08-18 13:45:00+00:00,,2026-08-18 14:15:00+00:00,2026-08-18 20:00:00+00:00,False,,,False,,OPPOSITE_BREAK_BEFORE_H2
august,2026-08-18,2026-08-18 13:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,F20,0.2,64096.4,64380.0,64025.5,354.5,2026-08-18 13:45:00+00:00,,2026-08-18 14:15:00+00:00,2026-08-18 20:00:00+00:00,True,2026-08-18 13:55:00+00:00,64096.4,False,,OPPOSITE_BREAK_BEFORE_H2
august,2026-08-18,2026-08-18 13:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,F25,0.25,64114.125,64380.0,64025.5,354.5,2026-08-18 13:45:00+00:00,,2026-08-18 14:15:00+00:00,2026-08-18 20:00:00+00:00,True,2026-08-18 13:50:00+00:00,64114.125,False,,OPPOSITE_BREAK_BEFORE_H2
development,2022-01-03,2022-01-03 15:10:00+00:00,H2_ARRIVAL,F05,0.05,46816.911,47575.22,46777.0,798.2200000000012,2022-01-03 15:15:00+00:00,2022-01-03 15:50:00+00:00,,2022-01-03 20:00:00+00:00,False,,,False,,H2_ARRIVAL
development,2022-01-03,2022-01-03 15:10:00+00:00,H2_ARRIVAL,F10,0.1,46856.822,47575.22,46777.0,798.2200000000012,2022-01-03 15:15:00+00:00,2022-01-03 15:50:00+00:00,,2022-01-03 20:00:00+00:00,True,2022-01-03 15:20:00+00:00,46856.822,True,30.0,H2_ARRIVAL
