kind,parameter,n,wr,mean,pf,supportive_years,gate
boundary,0.6,1712,0.5730140186915887,0.0007087702584458167,1.3050449610389816,3,True
boundary,0.625,1591,0.5776241357636707,0.0007511145727621928,1.3246127003857044,3,True
boundary,0.6666666666666666,1448,0.5732044198895028,0.0006905149953666959,1.2912670164166862,3,True
boundary,0.7,1317,0.574791192103265,0.0006930270260590494,1.289029847508541,3,True
boundary,0.75,1109,0.5779981965734896,0.0006663259916990479,1.2707142392320359,3,True
window,40.0,1461,0.5735797399041752,0.0007282270783031241,1.3023592187786108,3,True
window,60.0,1448,0.5732044198895028,0.0006905149953666959,1.2912670164166862,3,True
window,90.0,1442,0.5762829403606102,0.0007812181986808083,1.33096634395333,3,True
window,120.0,1432,0.5768156424581006,0.000774802847562215,1.3277464143020563,3,True
