partition,date_utc,signal_bar_start,signal_ts,session_end,H,L,range,k1_episode_bars,window_status,leave_bar_start,leave_ts,eligible_start,h2_bar_start,h2_ts,opposite_break_bar_start,opposite_break_ts,terminal_bar_start
august,2026-08-14,2026-08-14 14:00:00+00:00,2026-08-14 14:05:00+00:00,2026-08-14 20:00:00+00:00,62974.4,62555.5,418.90000000000146,1,H2_ARRIVAL,2026-08-14 14:05:00+00:00,2026-08-14 14:10:00+00:00,2026-08-14 14:10:00+00:00,2026-08-14 14:15:00+00:00,2026-08-14 14:20:00+00:00,,,2026-08-14 14:15:00+00:00
august,2026-08-18,2026-08-18 13:30:00+00:00,2026-08-18 13:35:00+00:00,2026-08-18 20:00:00+00:00,64380.0,64025.5,354.5,2,OPPOSITE_BREAK_BEFORE_H2,2026-08-18 13:40:00+00:00,2026-08-18 13:45:00+00:00,2026-08-18 13:45:00+00:00,,,2026-08-18 14:15:00+00:00,2026-08-18 14:20:00+00:00,2026-08-18 14:15:00+00:00
development,2022-01-03,2022-01-03 15:05:00+00:00,2022-01-03 15:10:00+00:00,2022-01-03 20:00:00+00:00,47575.22,46777.0,798.2200000000012,1,H2_ARRIVAL,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,2022-01-03 15:15:00+00:00,2022-01-03 15:50:00+00:00,2022-01-03 15:55:00+00:00,,,2022-01-03 15:50:00+00:00
development,2022-01-07,2022-01-07 13:35:00+00:00,2022-01-07 13:40:00+00:00,2022-01-07 20:00:00+00:00,42960.0,41601.96,1358.0400000000009,1,NO_WINDOW_LOW_BREAK_DURING_K1,,,,,,,,
development,2022-01-10,2022-01-10 13:50:00+00:00,2022-01-10 13:55:00+00:00,2022-01-10 20:00:00+00:00,42098.52,40726.16,1372.3599999999933,2,NO_WINDOW_LOW_BREAK_DURING_K1,,,,,,,,
development,2022-01-17,2022-01-17 15:10:00+00:00,2022-01-17 15:15:00+00:00,2022-01-17 20:00:00+00:00,42887.63,42420.0,467.6299999999974,1,H2_ARRIVAL,2022-01-17 15:15:00+00:00,2022-01-17 15:20:00+00:00,2022-01-17 15:20:00+00:00,2022-01-17 15:55:00+00:00,2022-01-17 16:00:00+00:00,,,2022-01-17 15:55:00+00:00
development,2022-01-18,2022-01-18 14:25:00+00:00,2022-01-18 14:30:00+00:00,2022-01-18 20:00:00+00:00,42040.0,41379.39,660.6100000000006,1,NO_WINDOW_LOW_BREAK_DURING_K1,,,,,,,,
development,2022-02-08,2022-02-08 15:05:00+00:00,2022-02-08 15:10:00+00:00,2022-02-08 20:00:00+00:00,44910.0,43123.38,1786.6200000000026,1,NO_WINDOW_LOW_BREAK_DURING_K1,,,,,,,,
development,2022-02-23,2022-02-23 17:50:00+00:00,2022-02-23 17:55:00+00:00,2022-02-23 20:00:00+00:00,39250.0,38052.8,1197.199999999997,2,NO_WINDOW_LOW_BREAK_DURING_K1,,,,,,,,
development,2022-03-02,2022-03-02 13:30:00+00:00,2022-03-02 13:35:00+00:00,2022-03-02 20:00:00+00:00,44344.5,43500.0,844.5,1,NO_WINDOW_LOW_BREAK_DURING_K1,,,,,,,,
