clock_block,wib,partition,bad_total,bad_too_late_by15,bad_flagged,bad_capture,good_total,good_resolved_before15,good_flagged,good_sacrifice,flagged_n,flag_precision_bad
00-04,07-11,development,7,0,5,0.7142857142857143,30,15,1,0.03333333333333333,6,0.8333333333333334
00-04,07-11,external,2,0,0,0.0,23,10,2,0.08695652173913043,2,0.0
00-04,07-11,reference_validation,4,0,0,0.0,23,8,3,0.13043478260869565,3,0.0
00-04,07-11,POOLED_MAJOR,13,0,5,0.38461538461538464,76,33,6,0.07894736842105263,11,0.45454545454545453
04-08,11-15,development,1,0,1,1.0,10,3,0,0.0,1,1.0
04-08,11-15,external,2,0,0,0.0,18,9,0,0.0,0,
04-08,11-15,reference_validation,2,0,0,0.0,8,4,0,0.0,0,
04-08,11-15,POOLED_MAJOR,5,0,1,0.2,36,16,0,0.0,1,1.0
08-12,15-19,development,8,1,4,0.5,26,12,1,0.038461538461538464,5,0.8
08-12,15-19,external,7,1,3,0.42857142857142855,19,10,5,0.2631578947368421,8,0.375
08-12,15-19,reference_validation,2,0,1,0.5,10,3,2,0.2,3,0.3333333333333333
08-12,15-19,POOLED_MAJOR,17,2,8,0.47058823529411764,55,25,8,0.14545454545454545,16,0.5
12-16,19-23,development,18,1,12,0.6666666666666666,49,17,1,0.02040816326530612,13,0.9230769230769231
12-16,19-23,external,2,0,0,0.0,18,5,3,0.16666666666666666,3,0.0
12-16,19-23,reference_validation,5,0,2,0.4,28,8,4,0.14285714285714285,6,0.3333333333333333
12-16,19-23,POOLED_MAJOR,25,1,14,0.56,95,30,8,0.08421052631578947,22,0.6363636363636364
16-20,23-03,development,2,1,0,0.0,29,9,0,0.0,0,
16-20,23-03,external,6,0,1,0.16666666666666666,10,3,0,0.0,1,1.0
16-20,23-03,reference_validation,0,0,0,,11,4,0,0.0,0,
16-20,23-03,POOLED_MAJOR,8,1,1,0.125,50,16,0,0.0,1,1.0
20-00,03-07,development,2,0,0,0.0,15,6,0,0.0,0,
20-00,03-07,external,4,0,3,0.75,10,5,1,0.1,4,0.75
20-00,03-07,reference_validation,4,1,1,0.25,11,3,0,0.0,1,1.0
20-00,03-07,POOLED_MAJOR,10,1,4,0.4,36,14,1,0.027777777777777776,5,0.8
