partition,date_utc,signal_ts,window_status,H,L,range,F15,F65,E20_DOWN,eligible_start,h2_bar_start,opposite_break_bar_start,session_end,blind_filled,blind_touch_bar_start,blind_entry_px,h2_after_fill,minutes_fill_to_h2,max_pre_h2_frac,adverse_excursion_r,rule,entry_executed,confirmation_kind,confirmation_bar_start,entry_start,entry_px,entry_fraction,entry_on_h2_bar_open,entry_status,fixed_exit_reason,fixed_exit_px,fixed_net_pnl_usd,fixed_hold_minutes,fixed_h2_seen,fixed_breakdown_accepted,fixed_e20_reached,confirmed,minutes_touch_to_confirmation,minutes_touch_to_entry,actual_entry_fraction,nominal_rr
development,2022-04-15,2022-04-15 14:00:00+00:00,H2_ARRIVAL,40400.0,40005.6,394.40000000000146,40064.76,40261.96,39926.72,2022-04-15 14:10:00+00:00,2022-04-15 14:25:00+00:00,,2022-04-15 20:00:00+00:00,True,2022-04-15 14:10:00+00:00,40064.76,True,15.0,0.2674949290060842,0.11749492900608419,EARLY_REJECT,True,LATER_REJECT,2022-04-15 14:20:00+00:00,2022-04-15 14:25:00+00:00,40011.8,0.01572008113591365,True,EXECUTED,TP_E20_DOWN,39926.72,0.6631863600238378,0.0,True,False,True,True,15.0,15.0,0.01572008113591365,0.34010233450592836
development,2022-04-15,2022-04-15 14:00:00+00:00,H2_ARRIVAL,40400.0,40005.6,394.40000000000146,40064.76,40261.96,39926.72,2022-04-15 14:10:00+00:00,2022-04-15 14:25:00+00:00,,2022-04-15 20:00:00+00:00,True,2022-04-15 14:10:00+00:00,40064.76,True,15.0,0.2674949290060842,0.11749492900608419,SAME_BAR_REJECTION,False,,,,,,False,NO_CONFIRMATION_PRE_H2,NO_TRADE,,,,False,False,False,False,,,,
development,2022-05-03,2022-05-03 13:35:00+00:00,H2_ARRIVAL,38659.7,38250.0,409.6999999999971,38311.455,38516.305,38168.06,2022-05-03 13:40:00+00:00,2022-05-03 13:45:00+00:00,,2022-05-03 20:00:00+00:00,True,2022-05-03 13:40:00+00:00,38311.455,True,5.0,0.30436905052476926,0.15436905052476926,BLIND_F15,True,,,2022-05-03 13:40:00+00:00,38311.455,0.15,False,EXECUTED,TP_E20_DOWN,38168.06,1.4714376679246914,5.0,True,False,True,True,0.0,0.0,0.15,0.7000000000000248
development,2022-05-03,2022-05-03 13:35:00+00:00,H2_ARRIVAL,38659.7,38250.0,409.6999999999971,38311.455,38516.305,38168.06,2022-05-03 13:40:00+00:00,2022-05-03 13:45:00+00:00,,2022-05-03 20:00:00+00:00,True,2022-05-03 13:40:00+00:00,38311.455,True,5.0,0.30436905052476926,0.15436905052476926,EARLY_REJECT,True,SAME_BAR,2022-05-03 13:40:00+00:00,2022-05-03 13:45:00+00:00,38296.6,0.11374176226506925,True,EXECUTED,TP_E20_DOWN,38168.06,1.2782168652047514,0.0,True,False,True,True,5.0,5.0,0.11374176226506925,0.5850572358389652
development,2022-05-03,2022-05-03 13:35:00+00:00,H2_ARRIVAL,38659.7,38250.0,409.6999999999971,38311.455,38516.305,38168.06,2022-05-03 13:40:00+00:00,2022-05-03 13:45:00+00:00,,2022-05-03 20:00:00+00:00,True,2022-05-03 13:40:00+00:00,38311.455,True,5.0,0.30436905052476926,0.15436905052476926,SAME_BAR_REJECTION,True,SAME_BAR,2022-05-03 13:40:00+00:00,2022-05-03 13:45:00+00:00,38296.6,0.11374176226506925,True,EXECUTED,TP_E20_DOWN,38168.06,1.2782168652047514,0.0,True,False,True,True,5.0,5.0,0.11374176226506925,0.5850572358389652
development,2022-05-16,2022-05-16 13:55:00+00:00,H2_ARRIVAL,30288.0,29417.3,870.7000000000007,29547.905,29983.255,29243.16,2022-05-16 14:00:00+00:00,2022-05-16 15:35:00+00:00,,2022-05-16 20:00:00+00:00,True,2022-05-16 14:00:00+00:00,29547.905,True,95.0,0.4826002067302175,0.3326002067302175,BLIND_F15,True,,,2022-05-16 14:00:00+00:00,29547.905,0.15,False,EXECUTED,TP_E20_DOWN,29243.16,4.75679538024777,160.0,True,True,True,True,0.0,0.0,0.15,0.6999999999999942
development,2022-05-16,2022-05-16 13:55:00+00:00,H2_ARRIVAL,30288.0,29417.3,870.7000000000007,29547.905,29983.255,29243.16,2022-05-16 14:00:00+00:00,2022-05-16 15:35:00+00:00,,2022-05-16 20:00:00+00:00,True,2022-05-16 14:00:00+00:00,29547.905,True,95.0,0.4826002067302175,0.3326002067302175,EARLY_REJECT,True,LATER_REJECT,2022-05-16 14:45:00+00:00,2022-05-16 14:50:00+00:00,29540.0,0.14092109796715357,False,EXECUTED,TP_E20_DOWN,29243.16,4.624373730534881,110.0,True,True,True,True,50.0,50.0,0.14092109796715357,0.6696822370870029
development,2022-05-16,2022-05-16 13:55:00+00:00,H2_ARRIVAL,30288.0,29417.3,870.7000000000007,29547.905,29983.255,29243.16,2022-05-16 14:00:00+00:00,2022-05-16 15:35:00+00:00,,2022-05-16 20:00:00+00:00,True,2022-05-16 14:00:00+00:00,29547.905,True,95.0,0.4826002067302175,0.3326002067302175,SAME_BAR_REJECTION,False,,,,,,False,NO_CONFIRMATION_PRE_H2,NO_TRADE,,,,False,False,False,False,,,,
development,2022-06-10,2022-06-10 13:35:00+00:00,H2_ARRIVAL,30177.4,29284.0,893.4000000000015,29418.010000000002,29864.71,29105.32,2022-06-10 13:45:00+00:00,2022-06-10 14:00:00+00:00,,2022-06-10 20:00:00+00:00,True,2022-06-10 13:45:00+00:00,29418.010000000002,True,15.0,0.32348332214013825,0.17348332214013826,BLIND_F15,True,,,2022-06-10 13:45:00+00:00,29418.010000000002,0.15,False,EXECUTED,TP_E20_DOWN,29105.32,4.914601497518056,160.0,True,False,True,True,0.0,0.0,0.15,0.7000000000000097
development,2022-06-10,2022-06-10 13:35:00+00:00,H2_ARRIVAL,30177.4,29284.0,893.4000000000015,29418.010000000002,29864.71,29105.32,2022-06-10 13:45:00+00:00,2022-06-10 14:00:00+00:00,,2022-06-10 20:00:00+00:00,True,2022-06-10 13:45:00+00:00,29418.010000000002,True,15.0,0.32348332214013825,0.17348332214013826,EARLY_REJECT,True,SAME_BAR,2022-06-10 13:45:00+00:00,2022-06-10 13:50:00+00:00,29413.7,0.1451757331542428,False,EXECUTED,TP_E20_DOWN,29105.32,4.842115068828489,155.0,True,False,True,True,5.0,5.0,0.1451757331542428,0.6837542404824773
development,2022-06-10,2022-06-10 13:35:00+00:00,H2_ARRIVAL,30177.4,29284.0,893.4000000000015,29418.010000000002,29864.71,29105.32,2022-06-10 13:45:00+00:00,2022-06-10 14:00:00+00:00,,2022-06-10 20:00:00+00:00,True,2022-06-10 13:45:00+00:00,29418.010000000002,True,15.0,0.32348332214013825,0.17348332214013826,SAME_BAR_REJECTION,True,SAME_BAR,2022-06-10 13:45:00+00:00,2022-06-10 13:50:00+00:00,29413.7,0.1451757331542428,False,EXECUTED,TP_E20_DOWN,29105.32,4.842115068828489,155.0,True,False,True,True,5.0,5.0,0.1451757331542428,0.6837542404824773
development,2022-06-13,2022-06-13 13:45:00+00:00,H2_ARRIVAL,24934.3,23339.9,1594.3999999999978,23579.06,24376.26,23021.02,2022-06-13 13:50:00+00:00,2022-06-13 14:10:00+00:00,,2022-06-13 20:00:00+00:00,True,2022-06-13 13:50:00+00:00,23579.06,True,20.0,0.2747742097340687,0.12477420973406869,BLIND_F15,True,,,2022-06-13 13:50:00+00:00,23579.06,0.15,False,EXECUTED,TP_E20_DOWN,23021.02,11.433380974474838,50.0,True,True,True,True,0.0,0.0,0.15,0.7000000000000036
development,2022-06-13,2022-06-13 13:45:00+00:00,H2_ARRIVAL,24934.3,23339.9,1594.3999999999978,23579.06,24376.26,23021.02,2022-06-13 13:50:00+00:00,2022-06-13 14:10:00+00:00,,2022-06-13 20:00:00+00:00,True,2022-06-13 13:50:00+00:00,23579.06,True,20.0,0.2747742097340687,0.12477420973406869,EARLY_REJECT,True,LATER_REJECT,2022-06-13 14:00:00+00:00,2022-06-13 14:05:00+00:00,23530.0,0.1192298043151021,False,EXECUTED,TP_E20_DOWN,23021.02,10.415554611134704,35.0,True,True,True,True,15.0,15.0,0.1192298043151021,0.6014463640016077
development,2022-06-13,2022-06-13 13:45:00+00:00,H2_ARRIVAL,24934.3,23339.9,1594.3999999999978,23579.06,24376.26,23021.02,2022-06-13 13:50:00+00:00,2022-06-13 14:10:00+00:00,,2022-06-13 20:00:00+00:00,True,2022-06-13 13:50:00+00:00,23579.06,True,20.0,0.2747742097340687,0.12477420973406869,SAME_BAR_REJECTION,False,,,,,,False,NO_CONFIRMATION_PRE_H2,NO_TRADE,,,,False,False,False,False,,,,
development,2022-07-05,2022-07-05 13:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,20209.2,19300.0,909.2000000000007,19436.38,19890.98,19118.16,2022-07-05 13:40:00+00:00,,2022-07-05 19:00:00+00:00,2022-07-05 20:00:00+00:00,True,2022-07-05 13:40:00+00:00,19436.38,False,,0.9125604927408711,0.7625604927408711,BLIND_F15,True,,,2022-07-05 13:40:00+00:00,19436.38,0.15,False,EXECUTED,CLOSE_INVALIDATION_F65,19918.5,-12.802515283195692,300.0,False,False,False,True,0.0,0.0,0.15,0.7000000000000048
development,2022-07-05,2022-07-05 13:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,20209.2,19300.0,909.2000000000007,19436.38,19890.98,19118.16,2022-07-05 13:40:00+00:00,,2022-07-05 19:00:00+00:00,2022-07-05 20:00:00+00:00,True,2022-07-05 13:40:00+00:00,19436.38,False,,0.9125604927408711,0.7625604927408711,EARLY_REJECT,True,LATER_REJECT,2022-07-05 13:50:00+00:00,2022-07-05 13:55:00+00:00,19429.3,0.14221293444786534,False,EXECUTED,CLOSE_INVALIDATION_F65,19918.5,-12.989233786086007,285.0,False,False,False,True,15.0,15.0,0.14221293444786534,0.6739299948015925
development,2022-07-05,2022-07-05 13:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,20209.2,19300.0,909.2000000000007,19436.38,19890.98,19118.16,2022-07-05 13:40:00+00:00,,2022-07-05 19:00:00+00:00,2022-07-05 20:00:00+00:00,True,2022-07-05 13:40:00+00:00,19436.38,False,,0.9125604927408711,0.7625604927408711,SAME_BAR_REJECTION,False,,,,,,False,NO_CONFIRMATION_PRE_H2,NO_TRADE,,,,False,False,False,False,,,,
development,2022-07-15,2022-07-15 16:05:00+00:00,H2_ARRIVAL,21090.0,20711.3,378.7000000000007,20768.105,20957.454999999998,20635.559999999998,2022-07-15 16:10:00+00:00,2022-07-15 16:20:00+00:00,,2022-07-15 20:00:00+00:00,True,2022-07-15 16:10:00+00:00,20768.105,True,10.0,0.21679429627674154,0.06679429627674155,BLIND_F15,True,,,2022-07-15 16:10:00+00:00,20768.105,0.15,False,EXECUTED,TP_E20_DOWN,20635.559999999998,2.79107111602146,15.0,True,True,True,True,0.0,0.0,0.15,0.7000000000000154
development,2022-07-15,2022-07-15 16:05:00+00:00,H2_ARRIVAL,21090.0,20711.3,378.7000000000007,20768.105,20957.454999999998,20635.559999999998,2022-07-15 16:10:00+00:00,2022-07-15 16:20:00+00:00,,2022-07-15 20:00:00+00:00,True,2022-07-15 16:10:00+00:00,20768.105,True,10.0,0.21679429627674154,0.06679429627674155,EARLY_REJECT,True,SAME_BAR,2022-07-15 16:10:00+00:00,2022-07-15 16:15:00+00:00,20758.1,0.12358067071560386,False,EXECUTED,TP_E20_DOWN,20635.559999999998,2.55161888612161,10.0,True,True,True,True,5.0,5.0,0.12358067071560386,0.6146823505806283
development,2022-07-15,2022-07-15 16:05:00+00:00,H2_ARRIVAL,21090.0,20711.3,378.7000000000007,20768.105,20957.454999999998,20635.559999999998,2022-07-15 16:10:00+00:00,2022-07-15 16:20:00+00:00,,2022-07-15 20:00:00+00:00,True,2022-07-15 16:10:00+00:00,20768.105,True,10.0,0.21679429627674154,0.06679429627674155,SAME_BAR_REJECTION,True,SAME_BAR,2022-07-15 16:10:00+00:00,2022-07-15 16:15:00+00:00,20758.1,0.12358067071560386,False,EXECUTED,TP_E20_DOWN,20635.559999999998,2.55161888612161,10.0,True,True,True,True,5.0,5.0,0.12358067071560386,0.6146823505806283
