entry_fraction,scope,name,source_n,fills_n,fill_rate,rebreak_n,rebreak_rate,high_break_n,high_break_rate,no_boundary_n,no_boundary_rate,median_reclaim_to_fill_min,median_fill_to_rebreak_min
0.05,PARTITION,external,202,183,0.905940594059406,130,0.7103825136612022,9,0.04918032786885246,44,0.24043715846994534,0.0,15.0
0.05,PARTITION,development,333,297,0.8918918918918919,201,0.6767676767676768,23,0.07744107744107744,73,0.24579124579124578,0.0,15.0
0.05,PARTITION,reference_validation,194,173,0.8917525773195877,112,0.6473988439306358,9,0.05202312138728324,52,0.30057803468208094,0.0,15.0
0.05,POOL,POOLED_OOS,396,356,0.898989898989899,242,0.6797752808988764,18,0.05056179775280899,96,0.2696629213483146,0.0,15.0
0.05,POOL,POOLED_MAJOR,729,653,0.8957475994513031,443,0.678407350689127,41,0.06278713629402756,169,0.25880551301684535,0.0,15.0
0.05,CLOCK,00-04,112,101,0.9017857142857143,70,0.693069306930693,8,0.07920792079207921,23,0.22772277227722773,0.0,15.0
0.05,CLOCK,04-08,112,96,0.8571428571428571,70,0.7291666666666666,1,0.010416666666666666,25,0.2604166666666667,0.0,15.0
0.05,CLOCK,08-12,127,114,0.8976377952755905,73,0.6403508771929824,5,0.043859649122807015,36,0.3157894736842105,0.0,10.0
0.05,CLOCK,12-16,157,148,0.9426751592356688,106,0.7162162162162162,21,0.14189189189189189,21,0.14189189189189189,0.0,20.0
0.05,CLOCK,16-20,122,106,0.8688524590163934,69,0.6509433962264151,2,0.018867924528301886,35,0.330188679245283,0.0,20.0
0.05,CLOCK,20-00,99,88,0.8888888888888888,55,0.625,4,0.045454545454545456,29,0.32954545454545453,0.0,15.0
0.1,PARTITION,external,202,152,0.7524752475247525,99,0.6513157894736842,9,0.05921052631578947,44,0.2894736842105263,0.0,20.0
0.1,PARTITION,development,333,260,0.7807807807807807,164,0.6307692307692307,23,0.08846153846153847,73,0.28076923076923077,0.0,20.0
0.1,PARTITION,reference_validation,194,145,0.7474226804123711,84,0.5793103448275863,9,0.06206896551724138,52,0.3586206896551724,0.0,20.0
0.1,POOL,POOLED_OOS,396,297,0.75,183,0.6161616161616161,18,0.06060606060606061,96,0.32323232323232326,0.0,20.0
0.1,POOL,POOLED_MAJOR,729,557,0.7640603566529492,347,0.6229802513464991,41,0.07360861759425494,169,0.30341113105924594,0.0,20.0
0.1,CLOCK,00-04,112,83,0.7410714285714286,52,0.6265060240963856,8,0.0963855421686747,23,0.27710843373493976,0.0,20.0
0.1,CLOCK,04-08,112,74,0.6607142857142857,48,0.6486486486486487,1,0.013513513513513514,25,0.33783783783783783,0.0,27.5
0.1,CLOCK,08-12,127,95,0.7480314960629921,54,0.5684210526315789,5,0.05263157894736842,36,0.37894736842105264,0.0,15.0
0.1,CLOCK,12-16,157,134,0.8535031847133758,92,0.6865671641791045,21,0.15671641791044777,21,0.15671641791044777,0.0,25.0
0.1,CLOCK,16-20,122,97,0.7950819672131147,60,0.6185567010309279,2,0.020618556701030927,35,0.36082474226804123,0.0,22.5
0.1,CLOCK,20-00,99,74,0.7474747474747475,41,0.5540540540540541,4,0.05405405405405406,29,0.3918918918918919,0.0,20.0
0.15,PARTITION,external,202,124,0.6138613861386139,73,0.5887096774193549,9,0.07258064516129033,42,0.3387096774193548,0.0,25.0
0.15,PARTITION,development,333,217,0.6516516516516516,122,0.5622119815668203,23,0.10599078341013825,72,0.3317972350230415,0.0,30.0
0.15,PARTITION,reference_validation,194,122,0.6288659793814433,61,0.5,9,0.07377049180327869,52,0.4262295081967213,0.0,20.0
0.15,POOL,POOLED_OOS,396,246,0.6212121212121212,134,0.5447154471544715,18,0.07317073170731707,94,0.3821138211382114,0.0,25.0
0.15,POOL,POOLED_MAJOR,729,463,0.635116598079561,256,0.5529157667386609,41,0.08855291576673865,166,0.35853131749460043,0.0,25.0
0.15,CLOCK,00-04,112,67,0.5982142857142857,37,0.5522388059701493,8,0.11940298507462686,22,0.3283582089552239,0.0,25.0
0.15,CLOCK,04-08,112,60,0.5357142857142857,35,0.5833333333333334,1,0.016666666666666666,24,0.4,0.0,30.0
0.15,CLOCK,08-12,127,76,0.5984251968503937,35,0.4605263157894737,5,0.06578947368421052,36,0.47368421052631576,0.0,20.0
0.15,CLOCK,12-16,157,114,0.7261146496815286,73,0.6403508771929824,21,0.18421052631578946,20,0.17543859649122806,0.0,25.0
0.15,CLOCK,16-20,122,81,0.6639344262295082,44,0.5432098765432098,2,0.024691358024691357,35,0.43209876543209874,0.0,35.0
0.15,CLOCK,20-00,99,65,0.6565656565656566,32,0.49230769230769234,4,0.06153846153846154,29,0.4461538461538462,0.0,22.5
0.25,PARTITION,external,202,85,0.4207920792079208,37,0.43529411764705883,9,0.10588235294117647,39,0.4588235294117647,10.0,50.0
0.25,PARTITION,development,333,162,0.4864864864864865,75,0.46296296296296297,23,0.1419753086419753,64,0.3950617283950617,5.0,35.0
0.25,PARTITION,reference_validation,194,86,0.44329896907216493,32,0.37209302325581395,9,0.10465116279069768,45,0.5232558139534884,5.0,30.0
0.25,POOL,POOLED_OOS,396,171,0.4318181818181818,69,0.40350877192982454,18,0.10526315789473684,84,0.49122807017543857,5.0,35.0
0.25,POOL,POOLED_MAJOR,729,333,0.4567901234567901,144,0.43243243243243246,41,0.12312312312312312,148,0.4444444444444444,5.0,35.0
0.25,CLOCK,00-04,112,47,0.41964285714285715,18,0.3829787234042553,8,0.1702127659574468,21,0.44680851063829785,10.0,47.5
0.25,CLOCK,04-08,112,39,0.3482142857142857,16,0.41025641025641024,1,0.02564102564102564,22,0.5641025641025641,15.0,55.0
0.25,CLOCK,08-12,127,61,0.48031496062992124,20,0.32786885245901637,5,0.08196721311475409,36,0.5901639344262295,5.0,22.5
0.25,CLOCK,12-16,157,90,0.5732484076433121,52,0.5777777777777777,21,0.23333333333333334,17,0.18888888888888888,0.0,35.0
0.25,CLOCK,16-20,122,53,0.4344262295081967,23,0.4339622641509434,2,0.03773584905660377,28,0.5283018867924528,10.0,40.0
0.25,CLOCK,20-00,99,43,0.43434343434343436,15,0.3488372093023256,4,0.09302325581395349,24,0.5581395348837209,5.0,40.0
0.5,PARTITION,external,202,47,0.23267326732673269,9,0.19148936170212766,9,0.19148936170212766,29,0.6170212765957447,35.0,50.0
0.5,PARTITION,development,333,84,0.25225225225225223,26,0.30952380952380953,23,0.27380952380952384,35,0.4166666666666667,20.0,52.5
0.5,PARTITION,reference_validation,194,51,0.26288659793814434,14,0.27450980392156865,9,0.17647058823529413,28,0.5490196078431373,20.0,55.0
0.5,POOL,POOLED_OOS,396,98,0.2474747474747475,23,0.23469387755102042,18,0.1836734693877551,57,0.5816326530612245,25.0,55.0
0.5,POOL,POOLED_MAJOR,729,182,0.2496570644718793,49,0.2692307692307692,41,0.22527472527472528,92,0.5054945054945055,22.5,55.0
0.5,CLOCK,00-04,112,28,0.25,7,0.25,8,0.2857142857142857,13,0.4642857142857143,27.5,55.0
0.5,CLOCK,04-08,112,16,0.14285714285714285,3,0.1875,1,0.0625,12,0.75,62.5,85.0
0.5,CLOCK,08-12,127,31,0.2440944881889764,3,0.0967741935483871,5,0.16129032258064516,23,0.7419354838709677,35.0,70.0
0.5,CLOCK,12-16,157,57,0.3630573248407643,25,0.43859649122807015,21,0.3684210526315789,11,0.19298245614035087,5.0,45.0
0.5,CLOCK,16-20,122,26,0.21311475409836064,6,0.23076923076923078,2,0.07692307692307693,18,0.6923076923076923,35.0,27.5
0.5,CLOCK,20-00,99,24,0.24242424242424243,5,0.20833333333333334,4,0.16666666666666666,15,0.625,37.5,55.0
