local_date,partition,feature,value,flag,winner_min,winner_p25,winner_median,winner_p75,winner_max
2022-02-14,development,minutes_leave_to_signal,125.0,ABOVE_WINNER_P75,0.0,1.25,10.0,38.75,250.0
2022-02-14,development,minutes_leave_to_entry,130.0,ABOVE_WINNER_P75,5.0,6.25,15.0,43.75,255.0
2022-02-14,development,signal_open_depth_R,0.06984969053934283,INSIDE_WINNER_IQR,0.0337078651685404,0.06846230512017887,0.0892259189044669,0.12840075215556473,0.19805825242718622
2022-02-14,development,signal_low_depth_R,0.09018567639257177,BELOW_WINNER_P25,0.056204379562042515,0.09727940548390071,0.11619459742984606,0.16819519927536955,0.23688394276629293
2022-02-14,development,signal_close_depth_R,0.041556145004418454,INSIDE_WINNER_IQR,0.010869565217389692,0.019906716056672755,0.03578899216102356,0.0442720248080896,0.049479166666665665
2022-02-14,development,signal_range_R,0.05658709106984876,BELOW_WINNER_P25,0.03430656934306564,0.08050337821649212,0.09505555935839036,0.14162382939738574,0.22734499205087125
2022-02-14,development,signal_body_R,0.02829354553492438,BELOW_WINNER_P25,-0.009363295880151886,0.036440457310579204,0.058792290137519604,0.09230781909282701,0.16350947158524334
2022-02-14,development,signal_body_ratio,0.5,INSIDE_WINNER_IQR,0.17021276595741336,0.4372822299651753,0.6556082148499222,0.8345281306714127,0.9523809523809953
2022-02-14,development,signal_close_position,0.8593750000000361,INSIDE_WINNER_IQR,0.31914893617016515,0.7886775303512404,0.8939810189810243,0.9437327425672503,1.0
2022-02-14,development,reclaim_overshoot_R,0.00844385499558054,INSIDE_WINNER_IQR,0.0005208333333358159,0.005727975191913589,0.014211007838976124,0.030093283943326665,0.03913043478261031
2022-02-14,development,wick_below_F95_R,0.040185676392572776,BELOW_WINNER_P25,0.006204379562042307,0.04727940548390338,0.0661945974298429,0.11819519927536394,0.18688394276629136
2022-02-14,development,pre_entry_max_depth_R,0.439434129089301,ABOVE_WINNER_P75,0.06325301204819227,0.13053069053708252,0.1922845087402089,0.33906660130926164,1.027310924369747
2022-02-14,development,pre_entry_min_close_depth_R,0.041556145004418454,INSIDE_WINNER_IQR,0.010869565217389692,0.019906716056672755,0.03578899216102356,0.0442720248080896,0.049479166666665665
2022-02-14,development,pre_entry_max_close_depth_R,0.3872679045092853,ABOVE_WINNER_P75,0.010869565217389692,0.04991272611869004,0.1311354180449598,0.30548527877043946,0.8382352941176386
2022-02-14,development,pre_entry_bar_count,26.0,ABOVE_WINNER_P75,1.0,1.25,3.0,8.75,51.0
2022-02-14,development,entry_depth_R,0.04067197170645285,INSIDE_WINNER_IQR,0.010869565217389692,0.01953021003257671,0.03610868525565243,0.0455650004619778,0.051612903225803516
2025-06-11,reference_validation,minutes_leave_to_signal,20.0,INSIDE_WINNER_IQR,0.0,1.25,10.0,38.75,250.0
2025-06-11,reference_validation,minutes_leave_to_entry,25.0,INSIDE_WINNER_IQR,5.0,6.25,15.0,43.75,255.0
2025-06-11,reference_validation,signal_open_depth_R,0.22857142857142662,ABOVE_WINNER_MAX,0.0337078651685404,0.06846230512017887,0.0892259189044669,0.12840075215556473,0.19805825242718622
2025-06-11,reference_validation,signal_low_depth_R,0.2556390977443686,ABOVE_WINNER_MAX,0.056204379562042515,0.09727940548390071,0.11619459742984606,0.16819519927536955,0.23688394276629293
2025-06-11,reference_validation,signal_close_depth_R,0.04511278195489763,ABOVE_WINNER_P75,0.010869565217389692,0.019906716056672755,0.03578899216102356,0.0442720248080896,0.049479166666665665
2025-06-11,reference_validation,signal_range_R,0.22857142857142662,ABOVE_WINNER_MAX,0.03430656934306564,0.08050337821649212,0.09505555935839036,0.14162382939738574,0.22734499205087125
2025-06-11,reference_validation,signal_body_R,0.183458646616529,ABOVE_WINNER_MAX,-0.009363295880151886,0.036440457310579204,0.058792290137519604,0.09230781909282701,0.16350947158524334
2025-06-11,reference_validation,signal_body_ratio,0.8026315789473212,INSIDE_WINNER_IQR,0.17021276595741336,0.4372822299651753,0.6556082148499222,0.8345281306714127,0.9523809523809953
2025-06-11,reference_validation,signal_close_position,0.9210526315789435,INSIDE_WINNER_IQR,0.31914893617016515,0.7886775303512404,0.8939810189810243,0.9437327425672503,1.0
2025-06-11,reference_validation,reclaim_overshoot_R,0.004887218045099806,BELOW_WINNER_P25,0.0005208333333358159,0.005727975191913589,0.014211007838976124,0.030093283943326665,0.03913043478261031
2025-06-11,reference_validation,wick_below_F95_R,0.20563909774437117,ABOVE_WINNER_MAX,0.006204379562042307,0.04727940548390338,0.0661945974298429,0.11819519927536394,0.18688394276629136
2025-06-11,reference_validation,pre_entry_max_depth_R,0.31428571428572016,INSIDE_WINNER_IQR,0.06325301204819227,0.13053069053708252,0.1922845087402089,0.33906660130926164,1.027310924369747
2025-06-11,reference_validation,pre_entry_min_close_depth_R,0.04511278195489763,ABOVE_WINNER_P75,0.010869565217389692,0.019906716056672755,0.03578899216102356,0.0442720248080896,0.049479166666665665
2025-06-11,reference_validation,pre_entry_max_close_depth_R,0.23308270676692835,INSIDE_WINNER_IQR,0.010869565217389692,0.04991272611869004,0.1311354180449598,0.30548527877043946,0.8382352941176386
2025-06-11,reference_validation,pre_entry_bar_count,5.0,INSIDE_WINNER_IQR,1.0,1.25,3.0,8.75,51.0
2025-06-11,reference_validation,entry_depth_R,0.04511278195489763,INSIDE_WINNER_IQR,0.010869565217389692,0.01953021003257671,0.03610868525565243,0.0455650004619778,0.051612903225803516
