partition,k,entry_name,stop_name,setups,fills,fill_rate,wins,losses,wr,tp_rate,pf,net_exp,total_net,median_rr,screen_pass
external,1,F75,D10,101,40,0.39603960396039606,15,25,0.375,0.375,1.0376676906041382,0.03493267841316492,1.3973071365265968,2.5,False
external,1,F75,D15,101,40,0.39603960396039606,18,22,0.45,0.45,1.1928236816194577,0.20212556884030053,8.085022753612021,1.6666666666666667,False
external,1,F80,D10,101,45,0.44554455445544555,16,29,0.35555555555555557,0.35555555555555557,0.5608623264891869,-0.4584277513825984,-20.62924881221693,2.0,False
external,1,F80,D15,101,45,0.44554455445544555,24,21,0.5333333333333333,0.5333333333333333,0.9701679924413573,-0.03007982712526432,-1.3535922206368944,1.3333333333333455,False
external,1,F85,D10,101,55,0.5445544554455446,21,34,0.38181818181818183,0.38181818181818183,0.6777059252469811,-0.3142076002780276,-17.281418015291518,1.5,False
external,1,F85,D15,101,55,0.5445544554455446,29,26,0.5272727272727272,0.5272727272727272,0.7623985692626832,-0.2538695287782234,-13.962824082802285,1.0,False
external,2,F75,D10,27,6,0.2222222222222222,2,4,0.3333333333333333,0.3333333333333333,0.7709812866731667,-0.1424896595979622,-0.8549379575877732,2.4999999999999862,False
external,2,F75,D15,27,6,0.2222222222222222,4,2,0.6666666666666666,0.6666666666666666,5.976108471710801,0.9704094851050193,5.822456910630116,1.6666666666666667,False
external,2,F80,D10,27,8,0.2962962962962963,3,5,0.375,0.375,0.606744813347644,-0.31477913780143346,-2.5182331024114677,2.0,False
external,2,F80,D15,27,8,0.2962962962962963,4,4,0.5,0.5,0.9636392221365067,-0.02739264158091681,-0.21914113264733448,1.3333333333333333,False
external,2,F85,D10,27,12,0.4444444444444444,6,6,0.5,0.5,1.2117227680634746,0.1491303421509553,1.7895641058114635,1.5,False
external,2,F85,D15,27,12,0.4444444444444444,7,5,0.5833333333333334,0.5833333333333334,1.1116423478583473,0.08624202493436273,1.0349042992123527,1.0,False
development,1,F75,D10,164,99,0.6036585365853658,22,77,0.2222222222222222,0.2222222222222222,0.38619390130025216,-0.6392488175997387,-63.285632942374136,2.5,False
development,1,F75,D15,164,99,0.6036585365853658,30,69,0.30303030303030304,0.29292929292929293,0.4165388012240896,-0.7388535739069189,-73.14650381678497,1.6666666666666667,False
