hour_wib,dev_rule,dev_lb,dev_hold,dev_n,dev_wr,dev_exp,dev_pf,dev_dd,dev_ls,stageB_verdict,test_exact_n,test_exact_wr,test_exact_exp,test_exact_pf,test_exact_net,local_viable,local_stable,stable_lb,stable_hold
15,DRIVE_UP__STR_B40_60,180,480,62,0.5967741935483871,2.7660106117283085,2.014294791880181,71.73940896399088,6,TEST_DEGRADATION_FAIL,72,0.4861111111111111,2.005500455628239,1.8784630537111624,144.39603280523323,1,0,,
16,EFF_LOW__RV_MID,120,360,76,0.631578947368421,3.943795045076369,2.2542947633000585,118.92267987846908,10,TEST_DEGRADATION_FAIL,74,0.3918918918918919,-1.363408232853983,0.6036134543073672,-100.89220923119474,0,0,,
17,EFF_LOW__RANGE_HIGH,120,240,60,0.6,5.494175922897663,3.019203006606318,41.67503988002898,5,TEST_DEGRADATION_FAIL,52,0.2884615384615384,-2.078450373395732,0.1999903214222518,-108.07941941657802,0,0,,
18,DRIVE_DOWN__STR_B80_100,120,240,80,0.575,2.8766274331815134,1.958486852665704,124.0894139530682,12,TEST_DEGRADATION_FAIL,113,0.3628318584070796,-1.5966380338065906,0.4461001026727351,-180.42009782014475,0,0,,
19,RV_LOW__RANGE_MID,60,240,76,0.5921052631578947,3.679606122412871,2.412547085275252,34.59779223702833,7,TEST_DEGRADATION_FAIL,59,0.5084745762711864,0.9688339650791156,1.5229041255549776,57.16120393966782,1,0,,
20,DRIVE_DOWN__STR_B80_100,120,120,69,0.6521739130434783,4.530261577405681,3.2954079473241418,34.78014359474244,4,TEST_DEGRADATION_FAIL,91,0.3516483516483517,-1.3349388028747535,0.3880783551856469,-121.47943106160258,0,0,,
21,DRIVE_UP__STR_B60_80,60,480,72,0.5555555555555556,3.472131861254047,1.9483174420566136,66.99923633080162,8,TEST_DEGRADATION_FAIL,68,0.3970588235294117,-0.9468712028351848,0.7553760027648446,-64.38724179279257,0,0,,
22,DRIVE_UP__EFF_HIGH,360,480,153,0.5882352941176471,5.06762055997666,2.5273499437057394,99.71207890030075,12,TEST_DEGRADATION_FAIL,144,0.4375,-1.1343601576901343,0.7211760530523598,-163.34786270737936,0,0,,
23,DRIVE_UP__RV_MID,120,240,101,0.6633663366336634,2.578955516200254,2.490176241746855,62.94954756482099,5,TEST_DEGRADATION_FAIL,99,0.4141414141414141,-0.4909630596937676,0.7514631684417448,-48.60534290968299,0,0,,
