partition,date_utc,signal_ts,entry_start,entry_px,H,L,range,F65,E20_DOWN,session_end,e20_reached,e20_bar_start,ratchets,final_ceiling,exit_bar_start,exit_ts,exit_px,exit_reason,net_pnl_usd,win,hold_minutes,trough_extension_r,realized_exit_extension_r,capture_ratio,giveback_r
august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:10:00+00:00,62618.335,62974.4,62555.5,418.90000000000146,62827.785,62471.72,2026-08-14 20:00:00+00:00,False,,0,,2026-08-14 15:30:00+00:00,2026-08-14 15:35:00+00:00,62871.3,PRE_E20_CLOSE_INVALIDATION_F65,-2.41989561044702,False,85.0,,,,
development,2022-01-03,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,46896.733,47575.22,46777.0,798.2200000000012,47295.843,46617.356,2022-01-03 20:00:00+00:00,True,2022-01-03 15:55:00+00:00,0,46617.356,2022-01-03 16:00:00+00:00,2022-01-03 16:00:00+00:00,46689.99,PROFIT_CEILING_GAP_OPEN,1.804236700240947,True,45.0,0.6471899977449799,0.10900503620555976,0.16842818428184725,0.5381849615394201
development,2022-01-17,2022-01-17 15:15:00+00:00,2022-01-17 15:30:00+00:00,42490.1445,42887.63,42420.0,467.6299999999974,42723.9595,42326.474,2022-01-17 20:00:00+00:00,True,2022-01-17 16:05:00+00:00,0,42326.474,2022-01-17 16:10:00+00:00,2022-01-17 16:10:00+00:00,42368.89,PROFIT_CEILING_GAP_OPEN,1.0268544085558888,True,40.0,1.2702350148621844,0.10929581079058416,0.08604377104377202,1.1609392040716002
development,2022-03-14,2022-03-14 13:35:00+00:00,2022-03-14 14:50:00+00:00,38728.61,39287.4,38630.0,657.4000000000015,39057.31,38498.52,2022-03-14 20:00:00+00:00,False,,0,,2022-03-14 14:55:00+00:00,2022-03-14 15:00:00+00:00,39101.0,PRE_E20_CLOSE_INVALIDATION_F65,-5.207686100792186,False,10.0,,,,
development,2022-03-24,2022-03-24 13:35:00+00:00,2022-03-24 13:50:00+00:00,42793.854999999996,43206.7,42721.0,485.6999999999971,43036.705,42623.86,2022-03-24 20:00:00+00:00,False,,0,,2022-03-24 14:00:00+00:00,2022-03-24 14:05:00+00:00,43063.3,PRE_E20_CLOSE_INVALIDATION_F65,-3.5481739609577896,False,15.0,,,,
development,2022-04-15,2022-04-15 14:00:00+00:00,2022-04-15 14:10:00+00:00,40064.76,40400.0,40005.6,394.40000000000146,40261.96,39926.72,2022-04-15 20:00:00+00:00,True,2022-04-15 14:25:00+00:00,0,39926.72,2022-04-15 14:30:00+00:00,2022-04-15 14:30:00+00:00,39975.7,PROFIT_CEILING_GAP_OPEN,0.7114505615409387,True,20.0,0.39655172413793327,0.07581135902637258,0.19117647058824283,0.3207403651115607
development,2022-05-03,2022-05-03 13:35:00+00:00,2022-05-03 13:40:00+00:00,38311.455,38659.7,38250.0,409.6999999999971,38516.305,38168.06,2022-05-03 20:00:00+00:00,True,2022-05-03 13:45:00+00:00,0,38168.06,2022-05-03 13:50:00+00:00,2022-05-03 13:50:00+00:00,38201.5,PROFIT_CEILING_GAP_OPEN,1.0350146711995527,True,10.0,1.830363680742023,0.11837930192824102,0.0646752900386717,1.7119843788137818
development,2022-05-16,2022-05-16 13:55:00+00:00,2022-05-16 14:00:00+00:00,29547.905,30288.0,29417.3,870.7000000000007,29983.255,29243.16,2022-05-16 20:00:00+00:00,True,2022-05-16 16:40:00+00:00,0,29243.16,2022-05-16 16:45:00+00:00,2022-05-16 16:45:00+00:00,29243.16,PROFIT_CEILING_HIT,4.75679538024777,True,165.0,0.41920294016308685,0.19999999999999915,0.4770958904109573,0.2192029401630877
development,2022-06-10,2022-06-10 13:35:00+00:00,2022-06-10 13:45:00+00:00,29418.010000000002,30177.4,29284.0,893.4000000000015,29864.71,29105.32,2022-06-10 20:00:00+00:00,True,2022-06-10 16:25:00+00:00,0,29105.32,2022-06-10 16:30:00+00:00,2022-06-10 16:30:00+00:00,29105.32,PROFIT_CEILING_HIT,4.914601497518056,True,165.0,0.5361540183568382,0.2,0.3730271398747396,0.33615401835683817
development,2022-06-13,2022-06-13 13:45:00+00:00,2022-06-13 13:50:00+00:00,23579.06,24934.3,23339.9,1594.3999999999978,24376.26,23021.02,2022-06-13 20:00:00+00:00,True,2022-06-13 14:40:00+00:00,0,23021.02,2022-06-13 14:45:00+00:00,2022-06-13 14:45:00+00:00,23047.8,PROFIT_CEILING_GAP_OPEN,10.865504222814693,True,55.0,0.48933768188660426,0.18320371299548582,0.37439118174827213,0.30613396889111844
