lane,window_min,n,wr,pf,expectancy,net,wr_5bps,pf_5bps,expectancy_5bps,net_5bps,rescue_rate,rescue_rate_5bps,baseline_overlay_pf,baseline_overlay_net,candidate_overlay_pf,candidate_overlay_net,overlay_net_improvement,baseline_overlay_pf_5bps,baseline_overlay_net_5bps,candidate_overlay_pf_5bps,candidate_overlay_net_5bps,overlay_net_improvement_5bps,adequate_blocks,positive_blocks,eligible,b1_n,b1_net,b1_net_5bps,b2_n,b2_net,b2_net_5bps,b3_n,b3_net,b3_net_5bps,b4_n,b4_net,b4_net_5bps,b5_n,b5_net,b5_net_5bps,b6_n,b6_net,b6_net_5bps
RC10,10,62,0.25806451612903225,1.1487112762018539,0.19235850473177343,11.926227293369953,0.25806451612903225,0.9610263685119147,-0.057641495268226636,-3.5737727066300513,0.1935483870967742,0.1935483870967742,1.3064354291509468,448.8184127547937,1.2982475031330052,460.7446400481636,11.926227293369891,1.151280715633054,240.56841275479363,1.1409081046261673,236.99464004816357,-3.573772706630052,6,3,False,8,3.328067100854259,1.328067100854259,10,-2.2571753997636113,-4.757175399763611,8,21.490211915807688,19.490211915807688,14,-9.943164221931923,-13.443164221931921,10,-17.261448302076765,-19.76144830207677,12,16.569736200480296,13.5697362004803
RC15,15,73,0.3150684931506849,1.5496075052933287,0.6576397365518688,48.007700768286426,0.3150684931506849,1.2980268395690355,0.40763973655186864,29.75770076828641,0.2602739726027397,0.2602739726027397,1.3064354291509468,448.8184127547937,1.3201216185003646,496.82611352308015,48.00770076828644,1.151280715633054,240.56841275479363,1.159950498720529,270.32611352308015,29.757700768286526,6,4,True,9,7.627771957307183,5.377771957307183,11,8.105822258316076,5.355822258316076,9,19.416718078692163,17.166718078692163,15,-5.624640371902523,-9.374640371902522,13,-12.681595181961216,-15.931595181961216,16,31.16362402783474,27.163624027834736
RC30,30,91,0.32967032967032966,1.577612846706067,0.6809424645678079,61.96576427567052,0.32967032967032966,1.3200527589210846,0.43094246456780794,39.21576427567052,0.27472527472527475,0.27472527472527475,1.3064354291509468,448.8184127547937,1.32494249466621,510.7841770304642,61.965764275670494,1.151280715633054,240.56841275479363,1.1633546247092075,279.7841770304642,39.21576427567058,6,4,True,10,15.801811644181427,13.301811644181427,11,8.105822258316076,5.355822258316076,14,30.540690003750097,27.040690003750097,18,-11.423958426987069,-15.923958426987072,17,-19.342904736219026,-23.592904736219026,21,38.284303532629025,33.03430353262901
RC60,60,110,0.32727272727272727,1.3975687884792447,0.4728548862266126,52.014037484927385,0.32727272727272727,1.1641598531597397,0.22285488622661245,24.51403748492737,0.2636363636363636,0.2545454545454545,1.3064354291509468,448.8184127547937,1.3139084502777345,500.8324502397211,52.01403748492737,1.151280715633054,240.56841275479363,1.1523863198237903,265.0824502397211,24.514037484927456,6,4,True,10,15.801811644181427,13.301811644181427,15,6.102010740008657,2.352010740008655,16,31.918526518042114,27.918526518042114,24,-14.485234025431115,-20.48523402543112,21,-24.143043631334848,-29.393043631334848,24,36.81996623946115,30.819966239461152
