scope,name,outcome,n,causal_n,mae_r4_p50,mae_r4_p75,mae_r4_p90,mae_lr_p50,mae_lr_p75,mae_lr_p90,mfe_r4_p50,mfe_r4_p75,mfe_r4_p90,mfe_lr_p50,mfe_lr_p75,mfe_lr_p90,filladv_lr_p50,filladv_lr_p75,filladv_lr_p90,mae_gt1r,mae_gt2r,mae_gt3r,mae_gt4r,median_terminal_min
PARTITION,external,WINNER_STRUCTURAL,165,165,0.1334770586842433,0.2416245310715919,0.36297666662399936,2.2646617728314,4.074154307615347,7.0802472168916335,0.19604150653342864,0.2761214953271035,0.38972487924823446,3.352695735105623,5.200053777898469,7.159264546398171,2.3653846153845857,3.1298580442928805,4.02720951824725,0.7696969696969697,0.5818181818181818,0.40606060606060607,0.2545454545454545,25.0
PARTITION,external,FAILURE_STRUCTURAL,85,85,0.5483422939068057,0.7877506179620968,1.0879323191731907,9.63726912290845,13.45976527551166,20.461377176015464,0.026213785550726832,0.0742130750605318,0.12934497260099784,0.3879959178465853,1.25,1.937494715619048,2.0915943589637145,2.9084287200830703,3.7414635508857326,1.0,0.9882352941176471,0.8823529411764706,0.8235294117647058,150.0
PARTITION,development,WINNER_STRUCTURAL,253,253,0.1117722823286584,0.22385831381732393,0.309612422233014,1.9354660783234738,3.8540540540542114,5.464328258638158,0.17513904338153452,0.2732775730082172,0.3965587671777601,3.0242914979756064,4.42640795077985,7.648400369212408,1.973105134474893,3.0534171249035613,4.808739842270786,0.7351778656126482,0.4980237154150198,0.33992094861660077,0.23715415019762845,25.0
PARTITION,development,FAILURE_STRUCTURAL,127,125,0.4495239058503933,0.7511790182868224,0.9946871641719822,7.271604938271448,12.7163995067814,19.06373548829426,0.05029280433350547,0.1126210458360203,0.23264204143240907,0.7861420017108733,1.8377541998229396,3.4818169505892462,1.7871789767069695,3.0269130788596676,4.7685577524624225,0.976,0.912,0.832,0.784,145.0
PARTITION,reference_validation,WINNER_STRUCTURAL,120,120,0.12606178559868209,0.2402074347458698,0.3413975227101803,1.8658100956806556,4.2849330162130475,6.7507465535371995,0.1524461359750106,0.24978771962533675,0.38562965487866707,2.703428808167967,4.338957426322257,7.400297102316065,1.5552761328760645,2.7591589561848053,4.320305053919866,0.7083333333333334,0.48333333333333334,0.375,0.2916666666666667,20.0
PARTITION,reference_validation,FAILURE_STRUCTURAL,57,54,0.4861275059524536,0.8784633211313153,1.0228862089366193,8.552979774977121,12.734550183685354,20.248650262418032,0.03973346946379,0.08031383640066438,0.1447085128757896,0.647547981790048,1.4668254387260764,2.595786134752224,1.7783890845069,2.6489203601708473,3.293572969180515,0.9814814814814815,0.9814814814814815,0.9444444444444444,0.8703703703703703,145.0
POOL,POOLED_OOS,WINNER_STRUCTURAL,285,285,0.1300759861437017,0.2416245310715919,0.3596563215017216,2.1833972074677774,4.25792092170739,6.884883641267356,0.177008496476491,0.26640515583830077,0.3868885665630914,2.986710062381199,4.848691853710687,7.225383230136501,2.09601567602883,3.0059034366440645,4.194986173690269,0.743859649122807,0.5403508771929825,0.3929824561403509,0.27017543859649124,20.0
POOL,POOLED_OOS,FAILURE_STRUCTURAL,142,139,0.5437369519832985,0.8008721457049637,1.0565999452068453,8.801493585242149,13.310883303299827,20.37492218369784,0.030132450331131336,0.07589245316021428,0.13842637792833756,0.5170360146205395,1.2964796221116532,2.151255336747844,1.925564753024076,2.8051477869057386,3.677960130621135,0.9928057553956835,0.9856115107913669,0.9064748201438849,0.841726618705036,147.5
POOL,POOLED_MAJOR,WINNER_STRUCTURAL,538,538,0.12210850656272869,0.23294721100360993,0.34162122288505875,2.0776219713800006,4.061868135482379,6.123617343210184,0.17689380894240425,0.2702359451340924,0.3916178770513543,3.014205750008895,4.673418566630386,7.394122005311657,2.0459667991583643,3.0343689957969127,4.381402368606056,0.7397769516728625,0.5204460966542751,0.3680297397769517,0.25464684014869887,25.0
POOL,POOLED_MAJOR,FAILURE_STRUCTURAL,269,264,0.4867623540136077,0.7836922465819474,1.052848579471007,8.01760786314009,12.95957260034056,19.846975305694944,0.03916628050809199,0.09743895600959604,0.16109927189970552,0.6526777099756917,1.4482615693845007,2.7849364072879648,1.866728797762362,2.900279589934955,4.017950248755813,0.9848484848484849,0.9507575757575758,0.8712121212121212,0.8143939393939394,145.0
