scope,name,outcome,n,causal_n,mae_r4_p50,mae_r4_p75,mae_r4_p90,mae_lr_p50,mae_lr_p75,mae_lr_p90,mfe_r4_p50,mfe_r4_p75,mfe_r4_p90,mfe_lr_p50,mfe_lr_p75,mfe_lr_p90,filladv_lr_p50,filladv_lr_p75,filladv_lr_p90,mae_gt1r,mae_gt2r,mae_gt3r,mae_gt4r,median_terminal_min
CLOCK_MAJOR,00-04,WINNER_STRUCTURAL,77,77,0.10176913955062603,0.20848663000189088,0.33448612673689876,2.0353827910125757,4.169732600037012,6.689722534738065,0.18000834724541298,0.26328391290580755,0.3984063561276264,3.60016694490785,5.265678258116293,7.9681271225526835,2.2100052110469552,3.3056875254513995,4.237187199038524,0.7402597402597403,0.5064935064935064,0.42857142857142855,0.2597402597402597,20.0
CLOCK_MAJOR,00-04,FAILURE_STRUCTURAL,32,32,0.446590919745529,0.6894477840513138,0.7648576072121479,8.931818394910852,13.788955681027529,15.297152144243976,0.025205743809740146,0.05007320108337637,0.09518288007266593,0.5041148761947778,1.001464021667526,1.9036576014532585,1.9510714937254865,2.5976590334784078,3.2085936154107078,0.96875,0.96875,0.9375,0.875,157.5
CLOCK_OOS,00-04,WINNER_STRUCTURAL,40,40,0.14997352555643767,0.2343592133212227,0.3917116214206039,2.999470511128509,4.687184266424246,7.834232428413012,0.20513535090432175,0.2769847583967132,0.41315456692457736,4.102707018086316,5.539695167935042,8.263091338490753,2.3457744228011874,3.4419632557879516,4.8085361998322735,0.8,0.65,0.5,0.3,20.0
CLOCK_OOS,00-04,FAILURE_STRUCTURAL,15,15,0.4841611509217224,0.7073621424136163,0.9315985016520376,9.683223018435603,14.147242848273155,18.631970033035824,0.025851800731026733,0.046551347388591985,0.06935483870968785,0.5170360146205395,0.9310269477717179,1.3870967741938356,2.334938985228018,3.1082720571241387,3.6034164804678275,1.0,1.0,1.0,0.9333333333333333,155.0
CLOCK_MAJOR,04-08,WINNER_STRUCTURAL,90,90,0.12090204736772543,0.21290408595592583,0.27427356842097245,2.4180409473544353,4.258081719118209,5.485471368419108,0.14974692558865127,0.20678122621380488,0.2822031469745336,2.9949385117724616,4.135624524276439,5.644062939490657,2.168532186323313,2.9689547045112548,4.305194977410157,0.7666666666666667,0.5666666666666667,0.4444444444444444,0.2777777777777778,25.0
CLOCK_MAJOR,04-08,FAILURE_STRUCTURAL,38,38,0.38060730312198604,0.57764867734626,0.8621950691134369,7.612146062440134,11.55297354692517,17.243901382267683,0.0386205532439537,0.09526467375681155,0.18654691699136472,0.772411064879178,1.9052934751359958,3.730938339827148,1.7165704630359804,3.035549980585227,3.3623044726447056,0.9736842105263158,0.8421052631578947,0.7631578947368421,0.6842105263157895,107.5
CLOCK_OOS,04-08,WINNER_STRUCTURAL,55,55,0.14633057851239478,0.21469341770207073,0.2707678324271,2.9266115702478954,4.293868354041807,5.415356648542044,0.14324236517218802,0.20403673085361307,0.2678829730675223,2.8648473034436472,4.08073461707255,5.357659461349451,2.088487394957973,3.0280338527801334,4.258027279467817,0.8181818181818182,0.6,0.4909090909090909,0.2909090909090909,25.0
CLOCK_OOS,04-08,FAILURE_STRUCTURAL,21,21,0.4903634291503106,0.6317888626101885,0.9245889698230997,9.80726858300627,12.635777252204182,18.491779396460874,0.034139784946231884,0.052294408887815926,0.10319148936169763,0.6827956989246489,1.045888177756346,2.0638297872341522,2.462897526501856,3.0093585939279492,3.1299430038790805,1.0,0.9523809523809523,0.9523809523809523,0.9047619047619048,110.0
CLOCK_MAJOR,08-12,WINNER_STRUCTURAL,114,114,0.14129187102158558,0.2533758213142493,0.324693746055125,1.4129187102155072,2.533758213142354,3.2469374605515076,0.2142253008674448,0.3003251657304739,0.38674747019900946,2.1422530086744467,3.00325165730432,3.8674747019899622,1.1066891237608516,1.6316080468127938,2.283351115059303,0.6052631578947368,0.38596491228070173,0.15789473684210525,0.07017543859649122,25.0
CLOCK_MAJOR,08-12,FAILURE_STRUCTURAL,72,70,0.6065017016668902,0.7888708730479698,0.9952357613818443,6.065017016668744,7.888708730479668,9.952357613818677,0.06076068290322224,0.1269622093023139,0.21461104269946238,0.6076068290322114,1.2696220930232403,2.14611042699462,1.351391580217824,1.6880695614791241,2.178108161190014,0.9714285714285714,0.9285714285714286,0.7714285714285715,0.7142857142857143,137.5
CLOCK_OOS,08-12,WINNER_STRUCTURAL,64,64,0.13687745102747356,0.25021872861028105,0.31504501654801387,1.3687745102747277,2.502187286102695,3.1504501654797337,0.20354029142304564,0.27270443583225423,0.36727550540189985,2.0354029142305308,2.727044358322619,3.672755054018798,1.0419258267767173,1.5930372657233403,2.0704115967748273,0.609375,0.359375,0.15625,0.046875,30.0
CLOCK_OOS,08-12,FAILURE_STRUCTURAL,37,36,0.6335847843690439,0.7950582185574456,1.0297982258870544,6.335847843690518,7.950582185574417,10.297982258871365,0.03604336058832529,0.10820755539748483,0.17980464659345652,0.36043360588328033,1.0820755539748892,1.7980464659345796,1.4576546475474172,1.6297169811321728,2.1300449377309585,0.9722222222222222,0.9722222222222222,0.75,0.6388888888888888,135.0
CLOCK_MAJOR,12-16,WINNER_STRUCTURAL,94,94,0.11835093409073028,0.2974945467556776,0.5490475737793986,2.3670186818147365,5.949890935113229,10.98095147558838,0.18944566408516217,0.3037771480601252,0.4611923119373063,3.7889132817029783,6.075542961202606,9.223846238746304,2.7509315321867414,4.011695036325492,5.528606235635171,0.7872340425531915,0.574468085106383,0.43617021276595747,0.3829787234042553,20.0
CLOCK_MAJOR,12-16,FAILURE_STRUCTURAL,46,46,0.7659847728570117,1.1025208348311675,1.2333416651075533,15.319695457140355,22.050416696623497,24.66683330215288,0.04253383398886992,0.0927840323641524,0.17442657693285468,0.850676679777453,1.8556806472831484,3.4885315386573232,3.1224004800299365,4.863491238802419,6.780705339525312,1.0,0.9782608695652174,0.9565217391304348,0.9565217391304348,125.0
CLOCK_OOS,12-16,WINNER_STRUCTURAL,51,51,0.11323308864156839,0.2924680242079884,0.6551943584451521,2.2646617728314,5.849360484157998,13.10388716890632,0.20454166666666726,0.30250211302991936,0.38643602108332065,4.090833333333346,6.050042260598287,7.728720421666886,2.784515573215752,3.8229897691231303,4.483693786474288,0.7647058823529411,0.5882352941176471,0.39215686274509803,0.35294117647058826,20.0
CLOCK_OOS,12-16,FAILURE_STRUCTURAL,22,22,0.6775823542174642,1.0132087724813892,1.1064881743356563,13.551647084349085,20.26417544962893,22.129763486713184,0.009378054140429002,0.06846319376561144,0.12929561692418506,0.18756108280856207,1.3692638753123183,2.5859123384834564,2.6750704989433984,3.9126396549070677,7.539528783206733,1.0,1.0,0.9545454545454546,0.9545454545454546,147.5
CLOCK_MAJOR,16-20,WINNER_STRUCTURAL,102,102,0.14258151603798866,0.23869431732535457,0.308031871619821,2.8516303207597837,4.773886346507245,6.160637432396606,0.15240810846768665,0.25827366087200415,0.4067135107227581,3.0481621693540033,5.165473217439817,8.134270214457455,2.4988452751238652,3.373648911743239,4.998850454152781,0.7941176470588235,0.6176470588235294,0.47058823529411764,0.3333333333333333,25.0
CLOCK_MAJOR,16-20,FAILURE_STRUCTURAL,44,42,0.41426322182536346,0.64187038208118,0.8843978214394276,8.285264436507028,12.837407641624509,17.687956428787977,0.019948822346899348,0.06308996060948159,0.11470952770738992,0.3989764469380304,1.2617992121895696,2.2941905541479057,1.9370731184231464,2.878124229078893,4.448855113419391,1.0,1.0,0.9523809523809523,0.8571428571428571,165.0
CLOCK_OOS,16-20,WINNER_STRUCTURAL,43,43,0.16053853296192988,0.27342217273104896,0.3574926467276096,3.210770659238489,5.468443454620726,7.149852934552367,0.1459911732254487,0.27924604935071384,0.42021586368417985,2.919823464508739,5.584920987013994,8.404317273684356,2.4934967012251006,3.2966516500350145,4.425604239208772,0.7674418604651163,0.5581395348837209,0.5348837209302325,0.4418604651162791,20.0
CLOCK_OOS,16-20,FAILURE_STRUCTURAL,24,23,0.4682026894063519,0.7682645473634431,1.123446473201475,9.364053788125474,15.365290947267852,22.46892946402756,0.02575466340483229,0.0674080505116363,0.11524749346987245,0.5150932680966392,1.3481610102326331,2.304949869397615,1.9208279706439908,2.737709250265302,3.5308373699082014,1.0,1.0,0.9565217391304348,0.9130434782608695,165.0
CLOCK_MAJOR,20-00,WINNER_STRUCTURAL,61,61,0.09677330391616748,0.1761904761904636,0.28333333333332816,1.9354660783234738,3.5238095238083837,5.666666666667041,0.16235003528582742,0.2600026888948662,0.391917451358177,3.2470007057162817,5.200053777898469,7.838349027162999,2.2242806464326934,3.0059034366440645,3.7247474747476117,0.7868852459016393,0.47540983606557374,0.29508196721311475,0.22950819672131148,15.0
CLOCK_MAJOR,20-00,FAILURE_STRUCTURAL,37,36,0.40468017633158837,0.6264925172362549,0.9870880626771471,8.093603526631576,12.529850344724895,19.741761253542244,0.03895730851513962,0.09753048494119956,0.1493831771560735,0.7791461703028267,1.950609698823947,2.987663543121771,2.3566314250021985,3.0680061823803544,3.589863665472548,1.0,1.0,0.9166666666666666,0.8611111111111112,160.0
CLOCK_OOS,20-00,WINNER_STRUCTURAL,32,32,0.10608052155413461,0.219908708522214,0.3371728642605454,2.1216104310825883,4.398174170444415,6.743457285211386,0.1733139803550487,0.273336783638086,0.3889564754531289,3.4662796071009856,5.4667356727619065,7.779129509062158,2.3933206705150196,3.00948258789037,3.283194222691133,0.75,0.5625,0.375,0.28125,20.0
CLOCK_OOS,20-00,FAILURE_STRUCTURAL,23,22,0.4296104173307818,0.6716391154718996,0.9831227191823291,8.59220834661556,13.432782309437679,19.66245438364705,0.0361391268915917,0.08661200548920275,0.11313645408318349,0.7227825378318475,1.7322401097841509,2.262729081663455,2.3566314250021985,2.9674381109556913,3.3899417782493972,1.0,1.0,0.9545454545454546,0.8636363636363636,135.0
