period,lookback_min,hold_min,dimension,bucket,n,wr,net,exp,pf,dd
DEV_2022,120,240,rv_60,LOW,24,0.5,6.415408285549702,0.2673086785645709,1.132007359085564,16.119889637310536
DEV_2022,120,240,rv_60,MID,24,0.5833333333333334,73.25670278963298,3.0523626162347077,1.9547175175692892,52.67785241225167
DEV_2022,120,240,rv_60,HIGH,35,0.6857142857142857,224.51464576947342,6.414704164842098,4.733053201382589,22.112707502806202
DEV_2022,120,240,atr_pct_60,LOW,24,0.4166666666666667,-15.273185163878443,-0.6363827151616018,0.7192123790121143,27.914313124768714
DEV_2022,120,240,atr_pct_60,MID,24,0.625,84.46963018785546,3.5195679244939773,2.1860155621396204,51.92189927082275
DEV_2022,120,240,atr_pct_60,HIGH,35,0.7142857142857143,234.9903118206791,6.71400890916226,4.925856251568723,22.112707502806202
DEV_2022,120,240,composite_energy,LOW_ENERGY,21,0.42857142857142855,-9.564903931009777,-0.45547161576237033,0.8031866949631654,25.800239090319184
DEV_2022,120,240,composite_energy,MIXED,31,0.6451612903225806,112.85273892251114,3.64041093298423,2.4653047528441636,50.56377837780214
DEV_2022,120,240,composite_energy,HIGH_ENERGY,31,0.6774193548387096,200.89892185315472,6.48061038235983,4.356309807752758,22.112707502806202
DEV_2022,180,240,rv_60,LOW,24,0.4583333333333333,3.3883625046203845,0.14118177102584936,1.0647388696196103,21.676826967221956
DEV_2022,180,240,rv_60,MID,26,0.5769230769230769,48.73830739393316,1.8745502843820447,1.5029131296366798,52.79279052532009
DEV_2022,180,240,rv_60,HIGH,34,0.6764705882352942,231.70336107888224,6.814804737614184,4.754015127285688,19.81081445337965
DEV_2022,180,240,atr_pct_60,LOW,25,0.36,-36.1097126397021,-1.444388505588084,0.5339886726359144,46.090663233721465
DEV_2022,180,240,atr_pct_60,MID,25,0.64,77.76071648704996,3.1104286594819985,2.0792693135319427,49.20400166994662
DEV_2022,180,240,atr_pct_60,HIGH,34,0.7058823529411765,242.17902713008795,7.1229125626496455,4.941959838546149,19.81081445337965
DEV_2022,180,240,composite_energy,LOW_ENERGY,19,0.42105263157894735,-5.240675419599884,-0.27582502208420445,0.8865228207354189,20.954674202325844
DEV_2022,180,240,composite_energy,MIXED,35,0.6,80.98306923447213,2.313801978127775,1.783553882873496,50.67871649087056
