partition,clock_block,blocks,k1_opp0_n,low_break_n,high_break_n,no_break_n,low_break_prob,high_break_prob,no_break_prob,second_low_n,second_low_prob,low_break_after_second_n,low_break_after_second_prob
august,00-04,19,9,5,1,3,0.5555555555555556,0.1111111111111111,0.3333333333333333,0,0.0,0,
august,04-08,20,3,3,0,0,1.0,0.0,0.0,1,0.3333333333333333,1,1.0
august,08-12,20,3,3,0,0,1.0,0.0,0.0,0,0.0,0,
august,12-16,20,2,2,0,0,1.0,0.0,0.0,0,0.0,0,
august,16-20,20,3,2,0,1,0.6666666666666666,0.0,0.3333333333333333,0,0.0,0,
august,20-00,20,3,2,0,1,0.6666666666666666,0.0,0.3333333333333333,0,0.0,0,
development,00-04,1095,184,136,7,41,0.7391304347826086,0.03804347826086957,0.22282608695652173,48,0.2608695652173913,36,0.75
development,04-08,1096,190,136,4,50,0.7157894736842105,0.021052631578947368,0.2631578947368421,52,0.2736842105263158,39,0.75
development,08-12,1096,213,137,13,63,0.6431924882629108,0.06103286384976526,0.29577464788732394,54,0.2535211267605634,33,0.6111111111111112
development,12-16,1096,272,195,33,44,0.7169117647058824,0.1213235294117647,0.16176470588235295,86,0.3161764705882353,57,0.6627906976744186
development,16-20,1096,232,174,11,47,0.75,0.04741379310344827,0.2025862068965517,57,0.24568965517241378,43,0.7543859649122807
development,20-00,1096,173,115,6,52,0.6647398843930635,0.03468208092485549,0.30057803468208094,43,0.24855491329479767,28,0.6511627906976745
external,00-04,730,155,103,16,36,0.6645161290322581,0.1032258064516129,0.23225806451612904,29,0.1870967741935484,25,0.8620689655172413
external,04-08,731,159,105,11,43,0.660377358490566,0.06918238993710692,0.27044025157232704,38,0.2389937106918239,28,0.7368421052631579
external,08-12,731,159,108,17,34,0.6792452830188679,0.1069182389937107,0.2138364779874214,37,0.23270440251572327,25,0.6756756756756757
external,12-16,731,158,103,16,39,0.6518987341772152,0.10126582278481013,0.2468354430379747,38,0.24050632911392406,32,0.8421052631578947
external,16-20,731,118,76,10,32,0.6440677966101694,0.0847457627118644,0.2711864406779661,28,0.23728813559322035,19,0.6785714285714286
external,20-00,731,113,73,8,32,0.6460176991150443,0.07079646017699115,0.2831858407079646,31,0.2743362831858407,19,0.6129032258064516
reference_validation,00-04,574,105,81,9,15,0.7714285714285715,0.08571428571428572,0.14285714285714285,22,0.20952380952380953,19,0.8636363636363636
reference_validation,04-08,575,106,88,3,15,0.8301886792452831,0.02830188679245283,0.14150943396226415,25,0.2358490566037736,20,0.8
reference_validation,08-12,575,104,79,9,16,0.7596153846153846,0.08653846153846154,0.15384615384615385,18,0.17307692307692307,16,0.8888888888888888
reference_validation,12-16,575,127,105,12,10,0.8267716535433071,0.09448818897637795,0.07874015748031496,29,0.2283464566929134,22,0.7586206896551724
reference_validation,16-20,575,111,84,2,25,0.7567567567567568,0.018018018018018018,0.22522522522522523,26,0.23423423423423423,21,0.8076923076923077
reference_validation,20-00,575,88,66,6,16,0.75,0.06818181818181818,0.18181818181818182,17,0.19318181818181818,12,0.7058823529411765
POOLED_MAJOR,00-04,2399,444,320,32,92,0.7207207207207207,0.07207207207207207,0.2072072072072072,99,0.22297297297297297,80,0.8080808080808081
POOLED_MAJOR,04-08,2402,455,329,18,108,0.7230769230769231,0.03956043956043956,0.23736263736263735,115,0.25274725274725274,87,0.7565217391304347
POOLED_MAJOR,08-12,2402,476,324,39,113,0.680672268907563,0.0819327731092437,0.23739495798319327,109,0.22899159663865545,74,0.6788990825688074
POOLED_MAJOR,12-16,2402,557,403,61,93,0.7235188509874326,0.10951526032315978,0.16696588868940754,153,0.2746858168761221,111,0.7254901960784313
POOLED_MAJOR,16-20,2402,461,334,23,104,0.7245119305856833,0.049891540130151846,0.22559652928416485,111,0.24078091106290672,83,0.7477477477477478
POOLED_MAJOR,20-00,2402,374,254,20,100,0.679144385026738,0.053475935828877004,0.26737967914438504,91,0.24331550802139038,59,0.6483516483516484
