exec_min,clock_utc,ref_min,reference_start_min,reference_start_utc,development_positive_probes,development_pass,development_median_pf,development_median_expectancy,development_total_n,external_positive_probes,external_n_probes,external_pass,reference_validation_positive_probes,reference_validation_n_probes,reference_validation_pass,supported
840,14:00,240,600,10:00,0,False,0.831459854314471,-0.3578998195423981,230,2,3,True,0,3,False,False
840,14:00,270,570,09:30,0,False,0.7523929127365843,-0.6396928489561158,221,1,3,False,0,3,False,False
840,14:00,300,540,09:00,0,False,0.6705719292255146,-0.8742819056409976,218,3,3,True,0,3,False,False
840,14:00,330,510,08:30,0,False,0.7961367801041157,-0.5240059613975718,236,0,3,False,0,3,False,False
840,14:00,360,480,08:00,0,False,0.670444298040935,-0.8727541645160051,226,2,3,True,0,3,False,False
840,14:00,390,450,07:30,0,False,0.7517832018950125,-0.7019062100332218,228,0,3,False,0,3,False,False
840,14:00,420,420,07:00,0,False,0.8392351176970426,-0.43447175350510986,220,1,3,False,0,3,False,False
870,14:30,240,630,10:30,0,False,0.62930584427083,-0.8549239152945268,199,1,3,False,1,3,False,False
870,14:30,270,600,10:00,0,False,0.6319225326235567,-0.9435976206697196,195,3,3,True,1,3,False,False
870,14:30,300,570,09:30,0,False,0.5624997834333173,-1.2148819150621055,188,2,3,True,1,3,False,False
870,14:30,330,540,09:00,0,False,0.5687148071182948,-1.2163937408741021,195,1,3,False,3,3,True,False
870,14:30,360,510,08:30,0,False,0.7629806027486262,-0.55784190549293,210,0,3,False,3,3,True,False
870,14:30,390,480,08:00,0,False,0.5408157794672818,-1.3403150540033555,198,1,3,False,2,3,True,False
870,14:30,420,450,07:30,0,False,0.5916231673189157,-1.2018536309971903,193,0,3,False,1,3,False,False
900,15:00,240,660,11:00,0,False,1.0236088262436978,0.04377825663084483,196,2,3,True,1,3,False,False
900,15:00,270,630,10:30,0,False,1.043141261801355,0.08093427511689023,186,1,3,False,1,3,False,False
900,15:00,300,600,10:00,0,False,1.0330433399074141,0.07005358733459456,178,2,3,True,1,3,False,False
900,15:00,330,570,09:30,0,False,0.9244693422367081,-0.17868423066090408,171,2,3,True,1,3,False,False
900,15:00,360,540,09:00,1,False,0.8898460943731,-0.25621053646118874,176,1,3,False,1,3,False,False
900,15:00,390,510,08:30,0,False,0.9814157232853826,-0.04017554396793927,192,1,3,False,1,3,False,False
900,15:00,420,480,08:00,0,False,0.8416243922960531,-0.38238448613711074,185,3,3,True,3,3,True,False
930,15:30,240,690,11:30,3,True,1.4087767728214253,0.6735479185860997,165,2,3,True,1,3,False,False
930,15:30,270,660,11:00,3,True,1.7258198368271143,0.8235562514334809,158,3,3,True,1,3,False,False
930,15:30,300,630,10:30,3,True,1.801578208597384,0.9126858698707475,153,2,3,True,1,3,False,False
930,15:30,330,600,10:00,3,True,2.0059811330999917,1.04585353415752,147,2,3,True,1,3,False,False
930,15:30,360,570,09:30,3,True,1.9008476985804788,0.9284505767790233,145,1,3,False,1,3,False,False
930,15:30,390,540,09:00,3,True,1.4937847489310245,0.7864716062694049,144,0,3,False,1,3,False,False
930,15:30,420,510,08:30,3,True,1.5891161642646565,0.760052327817833,158,1,3,False,1,3,False,False
960,16:00,240,720,12:00,2,True,1.2850714334620044,0.5506102792585366,184,3,3,True,3,3,True,True
960,16:00,270,690,11:30,2,True,1.3025389670601684,0.5648200477442172,188,3,3,True,3,3,True,True
960,16:00,300,660,11:00,2,True,1.2751516870556459,0.5131599591210216,183,3,3,True,2,3,True,True
960,16:00,330,630,10:30,2,True,1.3028584188748753,0.5776078565905937,175,2,3,True,3,3,True,True
960,16:00,360,600,10:00,2,True,1.1708414661308701,0.33624940433410294,168,2,3,True,3,3,True,True
960,16:00,390,570,09:30,2,True,1.2850552956278476,0.5296734212742107,165,2,3,True,3,3,True,True
960,16:00,420,540,09:00,1,False,1.0842599392380143,0.17992470395781904,167,2,3,True,3,3,True,False
990,16:30,240,750,12:30,3,True,1.2049410228771678,0.4263314104596913,168,1,3,False,0,3,False,False
990,16:30,270,720,12:00,3,True,1.3816885407303074,0.7684378429135301,157,0,3,False,0,3,False,False
990,16:30,300,690,11:30,3,True,1.3409608829388422,0.7028341943557165,154,0,3,False,0,3,False,False
990,16:30,330,660,11:00,3,True,1.2967964830242038,0.6249539899403036,156,2,3,True,0,3,False,False
990,16:30,360,630,10:30,3,True,1.2794518059895945,0.6265948374234637,144,1,3,False,1,3,False,False
990,16:30,390,600,10:00,2,True,1.2108707387144162,0.4424557896594859,140,0,3,False,1,3,False,False
990,16:30,420,570,09:30,2,True,1.2452833269270325,0.39125211558911926,138,0,3,False,1,3,False,False
1020,17:00,240,780,13:00,1,False,0.6666218168957035,-0.8403182364232836,163,3,3,True,0,3,False,False
1020,17:00,270,750,12:30,1,False,0.790724716799618,-0.4431730812352185,153,3,3,True,0,3,False,False
1020,17:00,300,720,12:00,1,False,1.0122995103433996,0.02594621815690569,141,3,3,True,0,3,False,False
1020,17:00,330,690,11:30,1,False,0.9402874861448227,-0.13433581660355465,133,2,3,True,0,3,False,False
1020,17:00,360,660,11:00,1,False,0.9120280785741774,-0.19831280733841627,130,3,3,True,0,3,False,False
1020,17:00,390,630,10:30,1,False,0.8751273953111588,-0.30266048814235513,122,3,3,True,0,3,False,False
1020,17:00,420,600,10:00,1,False,0.9029221205788173,-0.23193456744912444,124,2,3,True,0,3,False,False
1050,17:30,240,810,13:30,0,False,0.7387897926767438,-0.6022889183964799,162,0,3,False,0,3,False,False
1050,17:30,270,780,13:00,1,False,0.7393224415284204,-0.5823572812601439,167,0,3,False,0,3,False,False
1050,17:30,300,750,12:30,1,False,0.9064977131951109,-0.18013281717140892,157,0,3,False,0,3,False,False
1050,17:30,330,720,12:00,1,False,1.0868331650140215,0.1659647795127436,143,0,3,False,0,3,False,False
1050,17:30,360,690,11:30,1,False,1.0845586400004497,0.16719431060813542,127,0,3,False,0,3,False,False
1050,17:30,390,660,11:00,1,False,0.9842165434028797,-0.03329283919688926,128,0,3,False,0,3,False,False
1050,17:30,420,630,10:30,1,False,0.9842434906105897,-0.03693127539998715,119,0,3,False,0,3,False,False
1080,18:00,240,840,14:00,1,False,0.9553138538873791,-0.08818335917905766,163,0,3,False,0,3,False,False
1080,18:00,270,810,13:30,1,False,0.7784291675214392,-0.47394267771390824,157,0,3,False,0,3,False,False
1080,18:00,300,780,13:00,1,False,0.7797560045944142,-0.4697225307568809,160,0,3,False,0,3,False,False
1080,18:00,330,750,12:30,1,False,0.9471046798928208,-0.10343961655014086,150,1,3,False,0,3,False,False
1080,18:00,360,720,12:00,1,False,1.0156463188930323,0.030528383536763362,135,0,3,False,0,3,False,False
1080,18:00,390,690,11:30,1,False,0.9733591749370551,-0.05182601001636885,122,0,3,False,0,3,False,False
1080,18:00,420,660,11:00,1,False,0.8706670166040119,-0.26382629935994334,126,2,3,True,0,3,False,False
