partition,zone,n,wins,wr,pf,expectancy,total_net,max_loss_streak
external,LONDON,22,16,0.7272727272727273,0.6650456819815072,-1.0230873028963008,-22.507920663718618,3
external,ALT_0330,28,22,0.7857142857142857,2.5399205902822155,1.823299221960926,51.05237821490593,2
external,RAW_0530,18,9,0.5,0.5112167590292882,-1.6198282285067935,-29.156908113122284,3
external,RAW_2330,12,9,0.75,2.718721407868276,1.7930025083182757,21.516030099819307,1
development,LONDON,23,11,0.4782608695652174,0.48778084562804996,-1.7535119421295586,-40.33077466897985,5
development,ALT_0330,31,22,0.7096774193548387,1.0796600348915721,0.141413363808714,4.383814278070134,2
development,RAW_0530,30,15,0.5,0.942800481145915,-0.12033693697834892,-3.6101081093504677,4
development,RAW_2330,22,15,0.6818181818181818,0.6768308974096431,-0.7017906751307076,-15.439394852875566,3
reference_validation,LONDON,10,6,0.6,2.13658144870909,0.7599760725128861,7.599760725128861,3
reference_validation,ALT_0330,13,11,0.8461538461538461,3.117342911707131,1.6064966774202682,20.884456806463486,1
reference_validation,RAW_0530,10,6,0.6,0.9319034239481458,-0.18564481121797188,-1.8564481121797187,3
reference_validation,RAW_2330,10,6,0.6,1.5704693870214115,0.5559451126324781,5.559451126324781,2
august,LONDON,0,0,,,,0.0,0
august,ALT_0330,0,0,,,,0.0,0
august,RAW_0530,0,0,,,,0.0,0
august,RAW_2330,0,0,,,,0.0,0
POOLED_MAJOR,LONDON,55,33,0.6,0.6380642635318367,-1.004344265592175,-55.238934607569625,5
POOLED_MAJOR,ALT_0330,72,55,0.7638888888888888,1.7784035439345753,1.0600090180477713,76.32064929943954,2
POOLED_MAJOR,RAW_0530,58,30,0.5172413793103449,0.7692204740982637,-0.5969562816319391,-34.62346433465247,4
POOLED_MAJOR,RAW_2330,44,30,0.6818181818181818,1.1661372534164856,0.2644565084833754,11.636086373268517,3
