entry_ts,exit_ts,clock_min_utc,clock_utc,clock_wib,votes,active_lbs,entry_price,exit_price,gross_pnl,wib_day,year,implementation_cost_0bps,net_0bps,implementation_cost_2bps,net_2bps,implementation_cost_5bps,net_5bps,implementation_cost_10bps,net_10bps
2022-01-14 15:30:00+00:00,2022-01-15 03:30:00+00:00,930,15:30,22:30,2,180;360,479.33,486.87,7.865145098366491,2022-01-14,2022,0.75,7.115145098366491,0.95,6.915145098366491,1.25,6.615145098366491,1.75,6.115145098366491
2022-01-25 15:00:00+00:00,2022-01-26 03:00:00+00:00,900,15:00,22:00,3,180;240;360,367.94,377.28,12.69228678588897,2022-01-25,2022,0.75,11.94228678588897,0.95,11.74228678588897,1.25,11.44228678588897,1.75,10.94228678588897
2022-01-28 15:00:00+00:00,2022-01-29 03:00:00+00:00,900,15:00,22:00,3,180;240;360,379.95,386.35,8.422160810633024,2022-01-28,2022,0.75,7.672160810633024,0.95,7.4721608106330235,1.25,7.172160810633024,1.75,6.672160810633024
2022-02-18 15:15:00+00:00,2022-02-19 03:15:00+00:00,915,15:15,22:15,2,180;240,401.58,402.71,1.4069425768215493,2022-02-18,2022,0.75,0.6569425768215493,0.95,0.4569425768215494,1.25,0.15694257682154933,1.75,-0.34305742317845067
2022-02-25 15:45:00+00:00,2022-02-26 03:45:00+00:00,945,15:45,22:45,2,180;240,367.24,379.57,16.78738699488071,2022-02-25,2022,0.75,16.03738699488071,0.95,15.83738699488071,1.25,15.537386994880709,1.75,15.037386994880709
2022-03-01 15:00:00+00:00,2022-03-02 03:00:00+00:00,900,15:00,22:00,2,180;240,404.13,410.16,7.460470640635475,2022-03-01,2022,0.75,6.710470640635475,0.95,6.510470640635475,1.25,6.210470640635475,1.75,5.710470640635475
2022-03-02 15:00:00+00:00,2022-03-03 03:00:00+00:00,900,15:00,22:00,2,180;240,412.9,407.48,-6.56333252603531,2022-03-02,2022,0.75,-7.31333252603531,0.95,-7.5133325260353105,1.25,-7.81333252603531,1.75,-8.31333252603531
2022-03-04 15:00:00+00:00,2022-03-05 03:00:00+00:00,900,15:00,22:00,2,180;240,389.87,371.29,-23.82845563905915,2022-03-04,2022,0.75,-24.57845563905915,0.95,-24.77845563905915,1.25,-25.07845563905915,1.75,-25.57845563905915
2022-03-10 15:30:00+00:00,2022-03-11 03:30:00+00:00,930,15:30,22:30,2,240;360,366.49,367.19,0.9550055936041756,2022-03-10,2022,0.75,0.20500559360417558,0.95,0.005005593604175629,1.25,-0.2949944063958244,1.75,-0.7949944063958244
2022-04-13 15:00:00+00:00,2022-04-14 03:00:00+00:00,900,15:00,22:00,2,180;240,413.79,424.27,12.663428309045605,2022-04-13,2022,0.75,11.913428309045605,0.95,11.713428309045606,1.25,11.413428309045605,1.75,10.913428309045605
2022-04-27 15:00:00+00:00,2022-04-28 03:00:00+00:00,900,15:00,22:00,3,180;240;360,386.63,391.03,5.690194759847887,2022-04-27,2022,0.75,4.940194759847887,0.95,4.740194759847887,1.25,4.440194759847887,1.75,3.940194759847887
