local_date,candidate,ext_R,target_px,hit,first_hit_bar_start,minutes_entry_to_target_complete
2022-01-03,E0_NEXT_OPEN,0.0,532.54,False,,
2022-01-03,E0_NEXT_OPEN,0.05,532.967,False,,
2022-01-03,E0_NEXT_OPEN,0.1,533.394,False,,
2022-01-03,E0_NEXT_OPEN,0.2,534.2479999999999,False,,
2022-01-03,E0_NEXT_OPEN,0.3,535.102,False,,
2022-01-03,E0_NEXT_OPEN,0.5,536.81,False,,
2022-01-11,E0_NEXT_OPEN,0.0,458.0,True,2022-01-11 16:30:00+00:00,10.0
2022-01-11,E0_NEXT_OPEN,0.05,458.782,True,2022-01-11 16:30:00+00:00,10.0
2022-01-11,E0_NEXT_OPEN,0.1,459.564,True,2022-01-11 16:30:00+00:00,10.0
2022-01-11,E0_NEXT_OPEN,0.2,461.128,True,2022-01-11 16:30:00+00:00,10.0
2022-01-11,E0_NEXT_OPEN,0.3,462.692,True,2022-01-11 16:35:00+00:00,15.0
2022-01-11,E0_NEXT_OPEN,0.5,465.82,True,2022-01-11 17:05:00+00:00,45.0
2022-01-12,E0_NEXT_OPEN,0.0,482.69,True,2022-01-12 15:10:00+00:00,35.0
2022-01-12,E0_NEXT_OPEN,0.05,483.9345,True,2022-01-12 16:40:00+00:00,125.0
2022-01-12,E0_NEXT_OPEN,0.1,485.179,True,2022-01-12 17:30:00+00:00,175.0
2022-01-12,E0_NEXT_OPEN,0.2,487.668,False,,
2022-01-12,E0_NEXT_OPEN,0.3,490.157,False,,
2022-01-12,E0_NEXT_OPEN,0.5,495.135,False,,
2022-01-27,E0_NEXT_OPEN,0.0,376.94,True,2022-01-27 14:50:00+00:00,15.0
2022-01-27,E0_NEXT_OPEN,0.05,377.5485,False,,
2022-01-27,E0_NEXT_OPEN,0.1,378.157,False,,
2022-01-27,E0_NEXT_OPEN,0.2,379.374,False,,
2022-01-27,E0_NEXT_OPEN,0.3,380.591,False,,
2022-01-27,E0_NEXT_OPEN,0.5,383.025,False,,
2022-02-01,E0_NEXT_OPEN,0.0,387.66,False,,
2022-02-01,E0_NEXT_OPEN,0.05,388.096,False,,
2022-02-01,E0_NEXT_OPEN,0.1,388.53200000000004,False,,
2022-02-01,E0_NEXT_OPEN,0.2,389.40400000000005,False,,
2022-02-01,E0_NEXT_OPEN,0.3,390.276,False,,
2022-02-01,E0_NEXT_OPEN,0.5,392.02000000000004,False,,
2022-02-14,E0_NEXT_OPEN,0.0,404.03,False,,
2022-02-14,E0_NEXT_OPEN,0.05,404.59549999999996,False,,
2022-02-14,E0_NEXT_OPEN,0.1,405.16099999999994,False,,
2022-02-14,E0_NEXT_OPEN,0.2,406.292,False,,
2022-02-14,E0_NEXT_OPEN,0.3,407.42299999999994,False,,
