hour_wib,component_rank,character_rule,component_size,component_cells,dev_component_wr_min,dev_component_wr_mean,dev_component_exp_floor,dev_component_exp_mean,test_viable_cells,test_stable_cells,test_viable_fraction,test_positive_net_cells,test_positive_exp_cells,test_median_wr,test_median_exp,test_median_pf,test_max_dd,verdict
0,1,EFF_HIGH__RANGE_LOW,3,LB360/H240;LB360/H360;LB360/H480,0.578125,0.625,2.246606457197112,2.9297193995748976,0,0,0.0,0,0,0.4358974358974359,-0.9513292984221008,0.6787893669107444,96.3293398615812,PLATEAU_DEGRADATION_FAIL
0,2,DRIVE_DOWN__STR_B40_60,2,LB180/H240;LB240/H240,0.6122448979591837,0.6160398043514927,1.2067890186179986,1.2604838438544472,0,0,0.0,1,1,0.5041119156163404,0.022502561800562593,1.058205201541492,153.33766406455527,PLATEAU_DEGRADATION_FAIL
1,1,RV_LOW__RANGE_MID,3,LB60/H240;LB120/H240;LB180/H240,0.5692307692307692,0.5925914628510158,1.5314609741501606,1.7133951882139062,1,1,0.3333333333333333,2,2,0.603448275862069,0.3184351877499577,1.12080637011689,124.20834750427417,PLATEAU_DEGRADATION_FAIL
1,2,EFF_HIGH__EXT_MID,3,LB360/H120;LB360/H240;LB360/H360,0.5614035087719298,0.5730994152046783,1.276212773339038,1.4711660953860513,1,1,0.3333333333333333,3,3,0.5328467153284672,0.3050264361381579,1.109808954110253,154.5871986656799,PLATEAU_DEGRADATION_FAIL
2,1,DRIVE_UP__STR_B80_100,4,LB60/H480;LB120/H480;LB180/H360;LB180/H480,0.5915492957746479,0.6124543637747863,4.127831573745003,5.372438484716066,1,0,0.25,4,4,0.5231380337636544,2.8500685660717604,1.5880770204556232,187.09818344545167,PLATEAU_DEGRADATION_FAIL
2,2,EFF_HIGH__RV_LOW,3,LB240/H240;LB240/H360;LB240/H480,0.5566037735849056,0.5691823899371069,0.9267077224613648,1.260371835845125,0,0,0.0,0,0,0.5,-1.7602748649526594,0.5459136750937196,195.1441235379942,PLATEAU_DEGRADATION_FAIL
2,3,DRIVE_DOWN__RV_LOW,3,LB120/H120;LB180/H120;LB240/H120,0.5525114155251142,0.568289649289226,0.5565573492619392,0.6955245059768501,0,0,0.0,0,0,0.4028776978417266,-0.7628403958341892,0.6273460777471686,185.74363326977144,PLATEAU_DEGRADATION_FAIL
3,1,DRIVE_UP__STR_B60_80,2,LB360/H240;LB360/H360,0.5522388059701493,0.5671641791044777,2.944681071920461,3.3066044155922647,2,2,1.0,2,2,0.6708860759493671,5.9787701497872,5.399959272512371,35.99105181153075,STABLE_PLATEAU_FROZEN
3,2,DRIVE_UP__STR_B40_60,2,LB360/H360;LB360/H480,0.620253164556962,0.6329113924050633,2.7726899215457563,2.7815719732042616,1,0,0.5,2,2,0.5,1.2532108874801242,1.2661072628074903,129.85699507991328,PLATEAU_DEGRADATION_FAIL
3,3,EFF_HIGH__RANGE_LOW,2,LB120/H120;LB120/H240,0.6,0.6,0.7443773356922001,0.940683932047408,0,0,0.0,0,0,0.3979591836734694,-0.2881692546471578,0.8338287868135452,53.178490703594576,PLATEAU_DEGRADATION_FAIL
4,1,EFF_MID__RANGE_MID,2,LB120/H360;LB120/H480,0.5918367346938775,0.596938775510204,2.743610123444652,2.914125394087433,2,2,1.0,2,2,0.5909090909090908,2.4755835671400988,1.9327943764347644,47.38390275152652,STABLE_PLATEAU_FROZEN
5,1,DRIVE_DOWN__STR_B80_100,4,LB180/H120;LB180/H240;LB240/H120;LB360/H120,0.5760869565217391,0.6192539372728496,7.29046467139505,8.85701506325605,3,1,0.75,4,4,0.5968614718614719,1.6562939179424228,2.0163128910302945,93.19293658609655,STABLE_PLATEAU_FROZEN
