date_wib,decision_t_utc,label,label_reason,first_hit_min
2023-12-05,2023-12-04 23:00:00+00:00,SELL_COMPATIBLE,down_first,140.0
2023-12-12,2023-12-11 23:00:00+00:00,BUY_COMPATIBLE,up_first,85.0
2023-12-19,2023-12-18 23:00:00+00:00,BUY_COMPATIBLE,up_first,20.0
2023-12-26,2023-12-25 23:00:00+00:00,SELL_COMPATIBLE,down_first,115.0
2024-01-02,2024-01-01 23:00:00+00:00,BUY_COMPATIBLE,up_first,20.0
2024-01-09,2024-01-08 23:00:00+00:00,SELL_COMPATIBLE,down_first,95.0
2024-01-16,2024-01-15 23:00:00+00:00,BUY_COMPATIBLE,up_first,265.0
2024-01-23,2024-01-22 23:00:00+00:00,SELL_COMPATIBLE,down_first,30.0
2024-01-30,2024-01-29 23:00:00+00:00,BUY_COMPATIBLE,up_first,40.0
2024-02-06,2024-02-05 23:00:00+00:00,BUY_COMPATIBLE,up_first,40.0
2024-02-13,2024-02-12 23:00:00+00:00,BUY_COMPATIBLE,up_first,160.0
2024-02-20,2024-02-19 23:00:00+00:00,SELL_COMPATIBLE,down_first,105.0
2024-02-27,2024-02-26 23:00:00+00:00,BUY_COMPATIBLE,up_first,165.0
2024-03-05,2024-03-04 23:00:00+00:00,BUY_COMPATIBLE,up_first,10.0
2024-03-12,2024-03-11 23:00:00+00:00,SELL_COMPATIBLE,down_first,55.0
2024-03-19,2024-03-18 23:00:00+00:00,BUY_COMPATIBLE,up_first,80.0
2024-03-26,2024-03-25 23:00:00+00:00,SELL_COMPATIBLE,down_first,40.0
2024-04-02,2024-04-01 23:00:00+00:00,SELL_COMPATIBLE,down_first,85.0
2024-04-09,2024-04-08 23:00:00+00:00,SELL_COMPATIBLE,down_first,85.0
2024-04-16,2024-04-15 23:00:00+00:00,SELL_COMPATIBLE,down_first,100.0
2024-04-23,2024-04-22 23:00:00+00:00,SELL_COMPATIBLE,down_first,235.0
2024-04-30,2024-04-29 23:00:00+00:00,BUY_COMPATIBLE,up_first,10.0
2024-05-07,2024-05-06 23:00:00+00:00,SELL_COMPATIBLE,down_first,40.0
2024-05-14,2024-05-13 23:00:00+00:00,BUY_COMPATIBLE,up_first,95.0
2024-05-21,2024-05-20 23:00:00+00:00,BUY_COMPATIBLE,up_first,15.0
2024-05-28,2024-05-27 23:00:00+00:00,SELL_COMPATIBLE,down_first,100.0
2024-06-04,2024-06-03 23:00:00+00:00,SELL_COMPATIBLE,down_first,80.0
2024-06-11,2024-06-10 23:00:00+00:00,SELL_COMPATIBLE,down_first,175.0
2024-06-18,2024-06-17 23:00:00+00:00,SELL_COMPATIBLE,down_first,85.0
2024-06-25,2024-06-24 23:00:00+00:00,BUY_COMPATIBLE,up_first,45.0
2024-07-02,2024-07-01 23:00:00+00:00,BUY_COMPATIBLE,up_first,285.0
2024-07-09,2024-07-08 23:00:00+00:00,SELL_COMPATIBLE,down_first,90.0
2024-07-16,2024-07-15 23:00:00+00:00,BUY_COMPATIBLE,up_first,20.0
2024-07-23,2024-07-22 23:00:00+00:00,SELL_COMPATIBLE,down_first,15.0
2024-07-30,2024-07-29 23:00:00+00:00,SELL_COMPATIBLE,down_first,15.0
2024-08-06,2024-08-05 23:00:00+00:00,BUY_COMPATIBLE,up_first,10.0
2024-08-13,2024-08-12 23:00:00+00:00,BUY_COMPATIBLE,up_first,15.0
2024-08-20,2024-08-19 23:00:00+00:00,BUY_COMPATIBLE,up_first,30.0
2024-08-27,2024-08-26 23:00:00+00:00,SELL_COMPATIBLE,down_first,115.0
2024-09-03,2024-09-02 23:00:00+00:00,SELL_COMPATIBLE,down_first,80.0
2024-09-10,2024-09-09 23:00:00+00:00,SELL_COMPATIBLE,down_first,65.0
2024-09-17,2024-09-16 23:00:00+00:00,BUY_COMPATIBLE,up_first,30.0
2024-09-24,2024-09-23 23:00:00+00:00,SELL_COMPATIBLE,down_first,105.0
2024-10-01,2024-09-30 23:00:00+00:00,SELL_COMPATIBLE,down_first,40.0
2024-10-08,2024-10-07 23:00:00+00:00,SELL_COMPATIBLE,down_first,5.0
2024-10-15,2024-10-14 23:00:00+00:00,SELL_COMPATIBLE,down_first,20.0
2024-10-22,2024-10-21 23:00:00+00:00,SELL_COMPATIBLE,down_first,5.0
2024-10-29,2024-10-28 23:00:00+00:00,BUY_COMPATIBLE,up_first,180.0
2024-11-05,2024-11-04 23:00:00+00:00,SELL_COMPATIBLE,down_first,155.0
2024-11-12,2024-11-11 23:00:00+00:00,BUY_COMPATIBLE,up_first,5.0
2024-11-19,2024-11-18 23:00:00+00:00,SELL_COMPATIBLE,down_first,15.0
