partition,seed_ts,anchor_4h_ts,on_1d,stage_index,ret72,eventually_d1,positive72,good_d1_72h,m15_fast_gap,m15_slow_gap,m15_price_pos,m15_bull,h1_fast_gap,h1_slow_gap,h1_price_pos,h1_bull,h4_fast_gap,h4_slow_gap,h4_price_pos,h4_bull,d1_fast_gap,d1_slow_gap,d1_price_pos,d1_bull,score
external,2020-01-10 14:10:00+00:00,2020-01-17 12:00:00+00:00,,3,0.025380054564139387,0,1,0,-0.0009408288926064647,0.018652502855717564,-0.0035386801966680688,0.0,0.01651382809759424,0.01809820736137497,0.015022519465455809,1.0,0.018968349674535437,0.07822802476983147,0.032958222044733754,1.0,,,,0.0,
external,2020-01-10 16:30:00+00:00,2020-01-17 12:00:00+00:00,,3,0.009141798960285774,0,1,0,-0.0009408288926064647,0.018652502855717564,-0.0035386801966680688,0.0,0.01651382809759424,0.01809820736137497,0.015022519465455809,1.0,0.018968349674535437,0.07822802476983147,0.032958222044733754,1.0,,,,0.0,
external,2020-01-10 18:20:00+00:00,2020-01-17 12:00:00+00:00,,3,0.0006472004258677444,0,1,0,-0.0009408288926064647,0.018652502855717564,-0.0035386801966680688,0.0,0.01651382809759424,0.01809820736137497,0.015022519465455809,1.0,0.018968349674535437,0.07822802476983147,0.032958222044733754,1.0,,,,0.0,
external,2020-01-10 19:15:00+00:00,2020-01-17 12:00:00+00:00,,3,0.006094369065960059,0,1,0,-0.0009408288926064647,0.018652502855717564,-0.0035386801966680688,0.0,0.01651382809759424,0.01809820736137497,0.015022519465455809,1.0,0.018968349674535437,0.07822802476983147,0.032958222044733754,1.0,,,,0.0,
external,2020-01-10 20:45:00+00:00,2020-01-17 12:00:00+00:00,,3,0.007127915276525343,0,1,0,-0.0009408288926064647,0.018652502855717564,-0.0035386801966680688,0.0,0.01651382809759424,0.01809820736137497,0.015022519465455809,1.0,0.018968349674535437,0.07822802476983147,0.032958222044733754,1.0,,,,0.0,
external,2020-01-11 16:00:00+00:00,2020-01-17 12:00:00+00:00,,3,0.07212198936271319,0,1,0,-0.0009408288926064647,0.018652502855717564,-0.0035386801966680688,0.0,0.01651382809759424,0.01809820736137497,0.015022519465455809,1.0,0.018968349674535437,0.07822802476983147,0.032958222044733754,1.0,,,,0.0,
external,2020-01-11 16:10:00+00:00,2020-01-17 12:00:00+00:00,,3,0.06257279596915244,0,1,0,-0.0009408288926064647,0.018652502855717564,-0.0035386801966680688,0.0,0.01651382809759424,0.01809820736137497,0.015022519465455809,1.0,0.018968349674535437,0.07822802476983147,0.032958222044733754,1.0,,,,0.0,
external,2020-01-12 12:05:00+00:00,2020-01-17 12:00:00+00:00,,3,0.07821616021929523,0,1,0,-0.0009408288926064647,0.018652502855717564,-0.0035386801966680688,0.0,0.01651382809759424,0.01809820736137497,0.015022519465455809,1.0,0.018968349674535437,0.07822802476983147,0.032958222044733754,1.0,,,,0.0,
external,2020-01-12 12:55:00+00:00,2020-01-17 12:00:00+00:00,,3,0.07656701764388574,0,1,0,-0.0009408288926064647,0.018652502855717564,-0.0035386801966680688,0.0,0.01651382809759424,0.01809820736137497,0.015022519465455809,1.0,0.018968349674535437,0.07822802476983147,0.032958222044733754,1.0,,,,0.0,
external,2020-01-12 21:10:00+00:00,2020-01-17 12:00:00+00:00,,3,0.08591868736669017,0,1,0,-0.0009408288926064647,0.018652502855717564,-0.0035386801966680688,0.0,0.01651382809759424,0.01809820736137497,0.015022519465455809,1.0,0.018968349674535437,0.07822802476983147,0.032958222044733754,1.0,,,,0.0,
external,2020-01-12 23:05:00+00:00,2020-01-17 12:00:00+00:00,,3,0.08653040320327787,0,1,0,-0.0009408288926064647,0.018652502855717564,-0.0035386801966680688,0.0,0.01651382809759424,0.01809820736137497,0.015022519465455809,1.0,0.018968349674535437,0.07822802476983147,0.032958222044733754,1.0,,,,0.0,
external,2020-01-13 00:40:00+00:00,2020-01-17 12:00:00+00:00,,3,0.06993235551181387,0,1,0,-0.0009408288926064647,0.018652502855717564,-0.0035386801966680688,0.0,0.01651382809759424,0.01809820736137497,0.015022519465455809,1.0,0.018968349674535437,0.07822802476983147,0.032958222044733754,1.0,,,,0.0,
external,2020-01-13 10:15:00+00:00,2020-01-17 12:00:00+00:00,,3,0.061609003956971,0,1,0,-0.0009408288926064647,0.018652502855717564,-0.0035386801966680688,0.0,0.01651382809759424,0.01809820736137497,0.015022519465455809,1.0,0.018968349674535437,0.07822802476983147,0.032958222044733754,1.0,,,,0.0,
external,2020-01-13 10:35:00+00:00,2020-01-17 12:00:00+00:00,,3,0.06693768707617109,0,1,0,-0.0009408288926064647,0.018652502855717564,-0.0035386801966680688,0.0,0.01651382809759424,0.01809820736137497,0.015022519465455809,1.0,0.018968349674535437,0.07822802476983147,0.032958222044733754,1.0,,,,0.0,
external,2020-01-13 11:00:00+00:00,2020-01-17 12:00:00+00:00,,3,0.06650182949567962,0,1,0,-0.0009408288926064647,0.018652502855717564,-0.0035386801966680688,0.0,0.01651382809759424,0.01809820736137497,0.015022519465455809,1.0,0.018968349674535437,0.07822802476983147,0.032958222044733754,1.0,,,,0.0,
external,2020-01-13 17:40:00+00:00,2020-01-17 12:00:00+00:00,,3,0.07440052502633776,0,1,0,-0.0009408288926064647,0.018652502855717564,-0.0035386801966680688,0.0,0.01651382809759424,0.01809820736137497,0.015022519465455809,1.0,0.018968349674535437,0.07822802476983147,0.032958222044733754,1.0,,,,0.0,
external,2020-01-13 19:15:00+00:00,2020-01-17 12:00:00+00:00,,3,0.07292994651483364,0,1,0,-0.0009408288926064647,0.018652502855717564,-0.0035386801966680688,0.0,0.01651382809759424,0.01809820736137497,0.015022519465455809,1.0,0.018968349674535437,0.07822802476983147,0.032958222044733754,1.0,,,,0.0,
external,2020-01-13 21:50:00+00:00,2020-01-17 12:00:00+00:00,,3,0.07027193117222308,0,1,0,-0.0009408288926064647,0.018652502855717564,-0.0035386801966680688,0.0,0.01651382809759424,0.01809820736137497,0.015022519465455809,1.0,0.018968349674535437,0.07822802476983147,0.032958222044733754,1.0,,,,0.0,
