role,partition,dev_block,execution_start,loss_class,visit_n,lane,H,L,R,parent_entry_ts,parent_exit_ts,parent_pnl,parent_pnl_5bps,recovery_entry_ts,recovery_entry_price,recovery_break_ts,recovery_exit_ts,recovery_exit_price,recovery_exit_reason,recovery_pnl,recovery_pnl_5bps,recovery_won,recovery_won_5bps,combined_episode_pnl,combined_episode_pnl_5bps,rescued,rescued_5bps
CENTRAL,development,0.0,2022-01-07 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,2,REC_H2,140.65,132.98,7.670000000000016,2022-01-07 20:00:00+00:00,2022-01-07 20:10:00+00:00,-0.8531816565944261,-1.103181656594426,2022-01-08 01:00:00+00:00,140.65,2022-01-08 01:00:00+00:00,2022-01-08 01:25:00+00:00,140.45,FAILED_BREAK,-0.7109847138286884,-0.9609847138286884,False,False,-1.5641663704231146,-2.0641663704231146,False,False
CENTRAL,development,0.0,2022-01-08 18:00:00+00:00,L4_BREAK_FAIL_30M,2,REC_H2,146.15,135.0,11.150000000000006,2022-01-08 22:00:00+00:00,2022-01-08 22:35:00+00:00,-3.284296955183064,-3.534296955183064,2022-01-08 22:40:00+00:00,146.15,2022-01-08 22:40:00+00:00,2022-01-08 22:50:00+00:00,144.95,FAILED_BREAK,-4.105371193978858,-4.355371193978858,False,False,-7.389668149161922,-7.889668149161922,False,False
CENTRAL,development,0.0,2022-01-09 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,2,REC_H2,144.71,137.83,6.879999999999996,2022-01-09 18:00:00+00:00,2022-01-09 18:25:00+00:00,-0.0691037246908221,-0.3191037246908221,2022-01-09 19:25:00+00:00,144.71,2022-01-09 19:25:00+00:00,2022-01-09 19:50:00+00:00,144.74,FAILED_BREAK,0.10365558703617772,-0.14634441296382228,True,False,0.03455186234535562,-0.4654481376546444,True,False
CENTRAL,development,0.0,2022-01-10 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,2,REC_H2,137.5,129.45,8.050000000000011,2022-01-11 04:00:00+00:00,2022-01-11 04:10:00+00:00,-1.5999999999999903,-1.8499999999999903,2022-01-11 08:00:00+00:00,137.5,2022-01-11 08:00:00+00:00,2022-01-11 08:30:00+00:00,137.16,FAILED_BREAK,-1.2363636363636465,-1.4863636363636465,False,False,-2.836363636363637,-3.336363636363637,False,False
CENTRAL,development,0.0,2022-01-12 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,2,REC_H2,152.13,145.52,6.609999999999985,2022-01-12 19:50:00+00:00,2022-01-12 20:05:00+00:00,-0.3943995267206013,-0.6443995267206013,2022-01-12 20:25:00+00:00,152.13,2022-01-12 20:25:00+00:00,2022-01-12 20:40:00+00:00,151.84,FAILED_BREAK,-0.953132189574657,-1.203132189574657,False,False,-1.3475317162952583,-1.8475317162952583,False,False
CENTRAL,development,0.0,2022-01-15 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,2,REC_H2,148.83,145.0,3.830000000000013,2022-01-15 20:10:00+00:00,2022-01-15 20:25:00+00:00,-0.4367399045892006,-0.6867399045892006,2022-01-16 07:05:00+00:00,148.83,2022-01-16 07:10:00+00:00,2022-01-16 07:20:00+00:00,148.61,FAILED_BREAK,-0.7390983000739038,-0.9890983000739038,False,False,-1.1758382046631044,-1.6758382046631044,False,False
CENTRAL,development,0.0,2022-01-24 18:00:00+00:00,L3_BREAK_FAST_FAIL_10M,2,REC_H2,90.14,80.83,9.310000000000002,2022-01-24 18:05:00+00:00,2022-01-24 18:25:00+00:00,-4.714887952074531,-4.964887952074531,2022-01-24 18:45:00+00:00,90.14,2022-01-24 18:45:00+00:00,2022-01-24 18:55:00+00:00,90.05,FAILED_BREAK,-0.4992234302196863,-0.7492234302196863,False,False,-5.214111382294218,-5.714111382294218,False,False
CENTRAL,development,0.0,2022-01-28 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,2,REC_H2,92.7,88.16,4.540000000000006,2022-01-28 18:30:00+00:00,2022-01-28 18:40:00+00:00,-3.721682847896424,-3.971682847896424,2022-01-28 20:40:00+00:00,92.7,2022-01-28 21:15:00+00:00,2022-01-28 21:40:00+00:00,92.61,FAILED_BREAK,-0.4854368932039055,-0.7354368932039055,False,False,-4.20711974110033,-4.70711974110033,False,False
CENTRAL,development,0.0,2022-01-31 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,2,REC_H2,98.77,91.13,7.640000000000001,2022-01-31 20:00:00+00:00,2022-01-31 20:10:00+00:00,-4.45479396577908,-4.70479396577908,2022-01-31 21:05:00+00:00,98.77,2022-01-31 21:10:00+00:00,2022-01-31 21:20:00+00:00,98.62,FAILED_BREAK,-0.7593398805305074,-1.0093398805305074,False,False,-5.214133846309588,-5.714133846309588,False,False
CENTRAL,development,0.0,2022-02-22 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,2,REC_H2,87.6,83.71,3.890000000000001,2022-02-23 00:15:00+00:00,2022-02-23 00:25:00+00:00,-0.5136986301369495,-0.7636986301369495,2022-02-23 00:50:00+00:00,87.6,2022-02-23 02:00:00+00:00,2022-02-23 02:25:00+00:00,87.57,FAILED_BREAK,-0.171232876712335,-0.421232876712335,False,False,-0.6849315068492845,-1.1849315068492845,False,False
CENTRAL,development,0.0,2022-03-08 18:00:00+00:00,L4_BREAK_FAIL_30M,2,REC_H2,84.37,81.3,3.0700000000000074,2022-03-08 18:05:00+00:00,2022-03-08 18:25:00+00:00,-1.185255422543552,-1.435255422543552,2022-03-09 02:25:00+00:00,84.37,2022-03-09 03:05:00+00:00,2022-03-09 03:20:00+00:00,85.59800000000001,TARGET,7.277468294417444,7.027468294417444,True,True,6.092212871873892,5.592212871873892,True,True
CENTRAL,development,0.0,2022-03-18 18:00:00+00:00,L1_NEVER_BREAK_TIME,2,REC_H2,92.31,85.35,6.960000000000008,2022-03-19 00:50:00+00:00,2022-03-19 05:55:00+00:00,-13.649658758531023,-13.899658758531023,2022-03-19 14:30:00+00:00,92.31,2022-03-19 14:35:00+00:00,2022-03-19 17:50:00+00:00,93.16,TIME,4.604051565377465,4.354051565377465,True,True,-9.045607193153558,-9.545607193153558,False,False
CENTRAL,development,0.0,2022-03-21 18:00:00+00:00,L4_BREAK_FAIL_30M,2,REC_H2,90.1,87.39,2.7099999999999937,2022-03-22 02:25:00+00:00,2022-03-22 03:00:00+00:00,-0.2219755826858849,-0.4719755826858849,2022-03-22 07:00:00+00:00,90.1,2022-03-22 07:05:00+00:00,2022-03-22 08:45:00+00:00,91.184,TARGET,6.015538290788047,5.765538290788047,True,True,5.793562708102162,5.293562708102162,True,True
CENTRAL,development,0.0,2022-03-24 18:00:00+00:00,L5_BREAK_FAIL_LATE,2,REC_H2,102.73,99.82,2.910000000000011,2022-03-24 19:05:00+00:00,2022-03-24 19:50:00+00:00,-0.2433563710697583,-0.4933563710697584,2022-03-24 22:25:00+00:00,102.73,2022-03-24 22:40:00+00:00,2022-03-24 22:50:00+00:00,102.74,FAILED_BREAK,0.04867127421392947,-0.20132872578607053,True,False,-0.19468509685582883,-0.6946850968558289,False,False
CENTRAL,development,0.0,2022-04-03 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,2,REC_H2,137.99,134.01,3.980000000000018,2022-04-03 22:00:00+00:00,2022-04-03 22:15:00+00:00,-0.1087035292412497,-0.3587035292412497,2022-04-04 07:40:00+00:00,137.99,,2022-04-04 10:10:00+00:00,135.04,TIME,-10.689180375389572,-10.939180375389574,False,False,-10.797883904630822,-11.297883904630824,False,False
CENTRAL,development,0.0,2022-04-04 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,2,REC_H2,133.75,125.69,8.060000000000002,2022-04-05 03:25:00+00:00,2022-04-05 03:40:00+00:00,-1.345794392523414,-1.595794392523414,2022-04-05 04:10:00+00:00,133.75,2022-04-05 05:00:00+00:00,2022-04-05 05:15:00+00:00,133.54,FAILED_BREAK,-0.7850467289720053,-1.0350467289720053,False,False,-2.1308411214954193,-2.6308411214954193,False,False
CENTRAL,development,0.0,2022-04-06 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,2,REC_H2,119.39,114.39,5.0,2022-04-06 18:00:00+00:00,2022-04-06 18:10:00+00:00,-5.653739844208028,-5.903739844208028,2022-04-06 19:00:00+00:00,119.39,,2022-04-06 23:45:00+00:00,113.96,REFERENCE_INVALIDATION,-22.740598040036865,-22.990598040036865,False,False,-28.39433788424489,-28.89433788424489,False,False
