partition,timeframe,n,wr,pf,mean_ret,median_ret,median_winner_ret,median_loser_ret,median_mfe,median_mae,p10_mae,median_bars,median_hold_minutes,max_losing_streak,mean_gross_usd,fee_sensitive_wr,fee_sensitive_pf,mean_fee_sensitive_usd,mae_le_0p5,mae_le_1p0,mae_le_1p5,mae_le_1p8,exit_deterioration,exit_reversal,exit_forced
august,15m,53,0.3584905660377358,1.775180580306209,0.0009877998628528928,-0.0008303963082229027,0.0018710611318655257,-0.0015544980357625748,0.0017212346243369314,-0.001438045637954355,-0.004274209736651602,9.0,135.0,9,0.4938999314264465,0.2641509433962264,1.1021787263065572,0.09389993142644648,0.05660377358490566,0.0,0.0,0.0,0.7358490566037735,0.2641509433962264,0.0
august,1h,11,0.5454545454545454,5.8210935031102204,0.01076900229417181,0.0008208753728078388,0.0019462734885351551,-0.0040177948824826615,0.008469489624142401,-0.004889744155967102,-0.0052870171632724006,10.0,600.0,3,5.384501147085905,0.5454545454545454,4.838125216940696,4.984501147085905,0.2727272727272727,0.0,0.0,0.0,0.7272727272727273,0.18181818181818182,0.09090909090909091
august,4h,2,0.5,98.08313849689065,0.06403960662951458,0.06403960662951458,0.12939848677286525,-0.0013192735138360945,0.07576875875908196,-0.004581315598069957,-0.00523053057870142,22.0,5280.0,1,32.01980331475729,0.5,60.680457681976726,31.619803314757288,0.5,0.0,0.0,0.0,0.0,0.5,0.5
august,5m,145,0.30344827586206896,1.666862846276706,0.0005317939638891233,-0.0004924631390564871,0.0017690476318422688,-0.0008835780044005315,0.001262911440323533,-0.0008549715009499304,-0.002593067575703034,9.0,45.0,9,0.26589698194456163,0.2206896551724138,0.8080476384779456,-0.13410301805543834,0.006896551724137931,0.0,0.0,0.0,0.7586206896551724,0.23448275862068965,0.006896551724137931
development,15m,2748,0.2631004366812227,1.0506492294323964,0.00012923008482695303,-0.0015055501311805886,0.004307112839381455,-0.002408222937762994,0.0030823312171263106,-0.002776585111744667,-0.008181382306969076,7.0,105.0,19,0.06461504241347653,0.21397379912663755,0.7878800150977529,-0.3353849575865235,0.2601892285298399,0.06404657933042213,0.02438136826783115,0.015283842794759825,0.6892285298398836,0.31077147016011647,0.0
development,1h,603,0.28524046434494194,1.230487679997788,0.001320693391682292,-0.003687973432868641,0.012143075329960507,-0.006053962953928349,0.00855502358427862,-0.007215552198457487,-0.020342946233346513,8.0,480.0,12,0.6603466958411458,0.263681592039801,1.0824965642693518,0.2603466958411459,0.6533996683250415,0.3482587064676617,0.17744610281923714,0.12935323383084577,0.6716417910447762,0.3283582089552239,0.0
development,4h,135,0.32592592592592595,1.466055213930938,0.005283155746379909,-0.007380205150718799,0.023285715683443065,-0.014030819140308237,0.01917177914110435,-0.01610429447852757,-0.03787101553468588,11.0,2640.0,9,2.6415778731899544,0.2962962962962963,1.3771464050578681,2.241577873189955,0.8592592592592593,0.7481481481481481,0.5407407407407407,0.42962962962962964,0.6370370370370371,0.362962962962963,0.0
development,5m,8628,0.26228558182661105,0.9922970539817269,-1.0662418932541273e-05,-0.00089143991769014,0.002081418962004644,-0.001323137483872916,0.0016369229951481712,-0.0014539288947080786,-0.004234183874398578,7.0,35.0,23,-0.005331209466270638,0.18660176170607326,0.5960932406147512,-0.4053312094662706,0.07127955493741307,0.011706073249884099,0.0037088548910523874,0.0023180343069077423,0.6933240611961057,0.3066759388038943,0.0
external,15m,1822,0.27991218441273324,1.1337388514938913,0.0004649009950773945,-0.0022214566098502364,0.007397336045908864,-0.0033512987382309234,0.005199571126293989,-0.003994259393300004,-0.011461665953626243,8.0,120.0,20,0.23245049753869731,0.24753018660812295,0.9176415650020796,-0.16754950246130276,0.40285400658616904,0.1394072447859495,0.05598243688254665,0.03732162458836443,0.6997804610318331,0.30021953896816683,0.0
external,1h,398,0.3391959798994975,1.5836797459981886,0.0038483867510536183,-0.004143190355683224,0.01726434719777692,-0.008041777418779095,0.012889755780509105,-0.009388710860962934,-0.021768921718376452,10.0,600.0,9,1.9241933755268088,0.3341708542713568,1.42789878727377,1.5241933755268093,0.7437185929648241,0.4723618090452261,0.2663316582914573,0.18090452261306533,0.7462311557788944,0.2537688442211055,0.0
