tf,transition,partition,setup_status,exit_reason,n
15m,ASIA_TO_LONDON,reference_validation,SIGNAL,TIME_EXIT_SESSION_END,49
15m,ASIA_TO_LONDON,reference_validation,SIGNAL,TP_RANGE_EDGE,20
15m,LONDON_TO_NEWYORK,august,BREAK_BEFORE_RETEST,BREAK_BEFORE_RETEST,3
15m,LONDON_TO_NEWYORK,august,SIGNAL,RANGE_BROKE_BEFORE_FILL,6
15m,LONDON_TO_NEWYORK,august,SIGNAL,SL_RANGE_EDGE,1
15m,LONDON_TO_NEWYORK,august,SIGNAL,TIME_EXIT_SESSION_END,2
15m,LONDON_TO_NEWYORK,august,SIGNAL,TP_RANGE_EDGE,2
15m,LONDON_TO_NEWYORK,development,AMBIGUOUS_BOTH_ZONES,AMBIGUOUS_BOTH_ZONES,10
15m,LONDON_TO_NEWYORK,development,BREAK_BEFORE_RETEST,BREAK_BEFORE_RETEST,132
15m,LONDON_TO_NEWYORK,development,NO_RETEST,NO_RETEST,20
15m,LONDON_TO_NEWYORK,development,SIGNAL,NO_FILL_MIDPOINT,10
15m,LONDON_TO_NEWYORK,development,SIGNAL,RANGE_BROKE_BEFORE_FILL,338
15m,LONDON_TO_NEWYORK,development,SIGNAL,SL_FILL_5M_CONSERVATIVE,2
15m,LONDON_TO_NEWYORK,development,SIGNAL,SL_RANGE_EDGE,132
15m,LONDON_TO_NEWYORK,development,SIGNAL,TIME_EXIT_SESSION_END,39
15m,LONDON_TO_NEWYORK,development,SIGNAL,TP_RANGE_EDGE,99
15m,LONDON_TO_NEWYORK,external,BREAK_BEFORE_RETEST,BREAK_BEFORE_RETEST,91
15m,LONDON_TO_NEWYORK,external,NO_RETEST,NO_RETEST,63
15m,LONDON_TO_NEWYORK,external,SIGNAL,NO_FILL_MIDPOINT,11
15m,LONDON_TO_NEWYORK,external,SIGNAL,RANGE_BROKE_BEFORE_FILL,251
15m,LONDON_TO_NEWYORK,external,SIGNAL,SL_FILL_5M_CONSERVATIVE,2
15m,LONDON_TO_NEWYORK,external,SIGNAL,SL_RANGE_EDGE,34
15m,LONDON_TO_NEWYORK,external,SIGNAL,TIME_EXIT_SESSION_END,31
15m,LONDON_TO_NEWYORK,external,SIGNAL,TP_RANGE_EDGE,40
15m,LONDON_TO_NEWYORK,reference_validation,AMBIGUOUS_BOTH_ZONES,AMBIGUOUS_BOTH_ZONES,6
15m,LONDON_TO_NEWYORK,reference_validation,BREAK_BEFORE_RETEST,BREAK_BEFORE_RETEST,69
15m,LONDON_TO_NEWYORK,reference_validation,NO_RETEST,NO_RETEST,3
15m,LONDON_TO_NEWYORK,reference_validation,SIGNAL,NO_FILL_MIDPOINT,4
15m,LONDON_TO_NEWYORK,reference_validation,SIGNAL,RANGE_BROKE_BEFORE_FILL,174
15m,LONDON_TO_NEWYORK,reference_validation,SIGNAL,SL_FILL_5M_CONSERVATIVE,2
15m,LONDON_TO_NEWYORK,reference_validation,SIGNAL,SL_RANGE_EDGE,70
15m,LONDON_TO_NEWYORK,reference_validation,SIGNAL,TIME_EXIT_SESSION_END,7
15m,LONDON_TO_NEWYORK,reference_validation,SIGNAL,TP_RANGE_EDGE,76
1h,ASIA_TO_LONDON,august,NO_RETEST,NO_RETEST,1
1h,ASIA_TO_LONDON,august,SIGNAL,RANGE_BROKE_BEFORE_FILL,7
1h,ASIA_TO_LONDON,august,SIGNAL,SL_RANGE_EDGE,4
1h,ASIA_TO_LONDON,august,SIGNAL,TIME_EXIT_SESSION_END,2
1h,ASIA_TO_LONDON,development,AMBIGUOUS_BOTH_ZONES,AMBIGUOUS_BOTH_ZONES,3
1h,ASIA_TO_LONDON,development,BREAK_BEFORE_RETEST,BREAK_BEFORE_RETEST,61
1h,ASIA_TO_LONDON,development,NO_RETEST,NO_RETEST,111
1h,ASIA_TO_LONDON,development,SIGNAL,NO_FILL_MIDPOINT,65
1h,ASIA_TO_LONDON,development,SIGNAL,RANGE_BROKE_BEFORE_FILL,330
1h,ASIA_TO_LONDON,development,SIGNAL,SL_RANGE_EDGE,65
1h,ASIA_TO_LONDON,development,SIGNAL,SL_SAME_5M_CONSERVATIVE,1
1h,ASIA_TO_LONDON,development,SIGNAL,TIME_EXIT_SESSION_END,95
