partition,signal_ts,entry_start,horizon_bars,horizon_minutes,horizon_end,outcome,eventual_e20,adverse_wick_r,favorable_wick_r,adverse_close_r,favorable_close_r,net_close_progress_r,wrong_side_close_fraction,lower_low_step_fraction,higher_high_step_fraction,close_path_efficiency,adverse_favorable_ratio
development,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,1,5,2022-01-03 15:25:00+00:00,LATER_H2,True,0.06159580065646214,0.08109669013555171,0.0,0.039303700734132876,0.039303700734132876,0.0,,,0.0,0.7595353220150641
development,2022-01-17 15:15:00+00:00,2022-01-17 15:30:00+00:00,1,5,2022-01-17 15:40:00+00:00,LATER_H2,True,0.2912035155999365,0.0,0.25183478391036074,0.0,-0.25183478391036074,1.0,,,0.0,291203515599.9365
development,2022-03-24 13:35:00+00:00,2022-03-24 13:50:00+00:00,1,5,2022-03-24 14:00:00+00:00,PRE_H2_FAILURE,False,0.5273728639077586,0.0,0.36039736462836997,0.0,-0.36039736462836997,1.0,,,0.0,527372863907.7586
development,2022-04-15 14:00:00+00:00,2022-04-15 14:10:00+00:00,1,5,2022-04-15 14:20:00+00:00,LATER_H2,True,0.08326572008112673,0.009533468559842858,0.04117647058822997,0.0,-0.04117647058822997,1.0,,,0.0,8.734042553185828
development,2022-05-16 13:55:00+00:00,2022-05-16 14:00:00+00:00,1,5,2022-05-16 14:10:00+00:00,LATER_H2,True,0.20534627311358877,0.0,0.1550419202940192,0.0,-0.1550419202940192,1.0,,,0.0,205346273113.58878
development,2022-06-10 13:35:00+00:00,2022-06-10 13:45:00+00:00,1,5,2022-06-10 13:55:00+00:00,LATER_H2,True,0.007824042981868803,0.0638124020595459,0.0,0.026091336467425154,0.026091336467425154,0.0,,,0.0,0.12261006840908255
development,2022-06-13 13:45:00+00:00,2022-06-13 13:50:00+00:00,1,5,2022-06-13 14:00:00+00:00,LATER_H2,True,0.10094079277471081,0.0,0.039914701455092516,0.0,-0.039914701455092516,1.0,,,0.0,100940792774.71082
development,2022-07-05 13:35:00+00:00,2022-07-05 13:40:00+00:00,1,5,2022-07-05 13:50:00+00:00,PRE_H2_FAILURE,False,0.10296964364276165,0.016146062472503605,0.04709634843818705,0.0,-0.04709634843818705,1.0,,,0.0,6.37738419618509
development,2022-07-15 16:05:00+00:00,2022-07-15 16:10:00+00:00,1,5,2022-07-15 16:20:00+00:00,LATER_H2,True,0.021639820438340885,0.13257195669394775,0.0,0.06866913123844988,0.06866913123844988,0.0,,,0.0,0.16323075390897357
development,2022-07-25 13:40:00+00:00,2022-07-25 13:45:00+00:00,1,5,2022-07-25 13:55:00+00:00,LATER_H2,True,0.27230408573342835,0.0,0.20365036838580577,0.0,-0.20365036838580577,1.0,,,0.0,272304085733.42834
development,2022-09-01 14:20:00+00:00,2022-09-01 14:35:00+00:00,1,5,2022-09-01 14:45:00+00:00,LATER_H2,True,0.14311475409836544,0.01918032786884769,0.027377049180335025,0.0,-0.027377049180335025,1.0,,,0.0,7.461538461540567
development,2022-09-27 14:05:00+00:00,2022-09-27 14:10:00+00:00,1,5,2022-09-27 14:20:00+00:00,LATER_H2,True,0.1978260869565266,0.04498327759196351,0.1319397993311061,0.0,-0.1319397993311061,1.0,,,0.0,4.397769516729684
development,2022-10-10 16:25:00+00:00,2022-10-10 16:50:00+00:00,1,5,2022-10-10 17:00:00+00:00,PRE_H2_FAILURE,False,0.010923174201701285,0.09909895668669376,0.0,0.07665191274106556,0.07665191274106556,0.0,,,0.0,0.11022491625452162
development,2022-10-27 13:55:00+00:00,2022-10-27 16:25:00+00:00,1,5,2022-10-27 16:35:00+00:00,PRE_H2_FAILURE,False,0.15238316310739958,0.03146084803466703,0.08924481584648486,0.0,-0.08924481584648486,1.0,,,0.0,4.8435809149037246
development,2022-12-15 13:50:00+00:00,2022-12-15 14:00:00+00:00,1,5,2022-12-15 14:10:00+00:00,LATER_H2,True,0.11669167291823238,0.0,0.10881470367592722,0.0,-0.10881470367592722,1.0,,,0.0,116691672918.23238
development,2022-12-16 14:20:00+00:00,2022-12-16 14:25:00+00:00,1,5,2022-12-16 14:35:00+00:00,LATER_H2,True,0.08663613655286898,0.0,0.02535387177351964,0.0,-0.02535387177351964,1.0,,,0.0,86636136552.86897
