role,partition,feature,recovery_n,staller_n,recovery_value,staller_value,gap,material
CENTRAL,development,entry_to_e20_min,31,51,25.0,10.0,15.0,True
CENTRAL,development,break_to_e20_min,31,51,0.0,5.0,-5.0,True
CENTRAL,development,e20_bar_close_R,31,51,0.13721804511278268,0.12767561049140944,0.009542434621373247,False
CENTRAL,development,e20_bar_close_vs_E20_R,31,51,-0.06278195488721733,-0.07232438950859058,0.009542434621373247,False
CENTRAL,development,running_mae_R_to_e20,31,51,0.3215686274509706,0.22613065326633147,0.09543797418463912,True
CENTRAL,development,closes_gt_H_to_e20,31,51,1.0,2.0,-1.0,True
CENTRAL,development,trigger_close_R,31,51,0.03260869565216737,0.04826732673267511,-0.01565863108050774,False
CENTRAL,development,trigger_close_vs_E10_R,31,51,-0.06739130434783264,-0.0517326732673249,-0.01565863108050774,False
CENTRAL,development,trigger_high_R,31,51,0.17755102040816267,0.1715686274509813,0.005982392957181365,False
CENTRAL,development,trigger_low_R,31,51,-0.004936747917306736,0.0033057851239651076,-0.008242533041271843,False
CENTRAL,development,trigger_body_R,31,51,0.12418300653594845,0.09217877094972404,0.03200423558622441,True
CENTRAL,development,trigger_upper_wick_R,31,51,0.042212518195045796,0.03440860215053768,0.0078039160445081135,False
CENTRAL,development,trigger_lower_wick_R,31,51,0.05098039215685559,0.036792452830187415,0.014187939326668175,False
CENTRAL,development,post_e20_peak_R,31,51,0.2651585820895517,0.24333719582850633,0.02182138626104535,False
CENTRAL,development,giveback_peak_to_trigger_close_R,31,51,0.22524028416213715,0.21296296296296696,0.012277321199170188,False
CENTRAL,development,running_mfe_R_to_trigger,31,51,0.2651585820895517,0.24333719582850633,0.02182138626104535,False
CENTRAL,development,trigger_traded_E25,31,51,0.16129032258064516,0.13725490196078433,0.02403542061986083,False
CENTRAL,development,trigger_traded_E30,31,51,0.0967741935483871,0.0392156862745098,0.05755850727387729,False
CENTRAL,external,entry_to_e20_min,13,31,15.0,5.0,10.0,True
CENTRAL,external,break_to_e20_min,13,31,5.0,5.0,0.0,False
CENTRAL,external,e20_bar_close_R,13,31,0.14200946195172753,0.15620328849028514,-0.014193826538557608,False
CENTRAL,external,e20_bar_close_vs_E20_R,13,31,-0.05799053804827248,-0.04379671150971487,-0.014193826538557608,False
CENTRAL,external,running_mae_R_to_e20,13,31,0.1703821656050944,0.1475046210720889,0.0228775445330055,False
CENTRAL,external,closes_gt_H_to_e20,13,31,2.0,2.0,0.0,False
CENTRAL,external,trigger_close_R,13,31,0.08191440404970003,0.0472418670438477,0.03467253700585233,True
CENTRAL,external,trigger_close_vs_E10_R,13,31,-0.018085595950299974,-0.0527581329561523,0.03467253700585233,True
CENTRAL,external,trigger_high_R,13,31,0.20397489539749053,0.18743563336766222,0.016539262029828306,False
CENTRAL,external,trigger_low_R,13,31,0.039808917197452214,-0.003972900635662275,0.04378181783311449,True
CENTRAL,external,trigger_body_R,13,31,0.05689488910317952,0.11310133060388763,-0.05620644150070812,True
CENTRAL,external,trigger_upper_wick_R,13,31,0.050144648023143015,0.031012658227847812,0.019131989795295203,False
CENTRAL,external,trigger_lower_wick_R,13,31,0.02196652719665265,0.03504043126684506,-0.013073904070192408,False
CENTRAL,external,post_e20_peak_R,13,31,0.22854387656701391,0.232006773920408,-0.0034628973533940843,False
CENTRAL,external,giveback_peak_to_trigger_close_R,13,31,0.16520938794293727,0.19602977667493945,-0.030820388732002185,True
CENTRAL,external,running_mfe_R_to_trigger,13,31,0.22854387656701391,0.232006773920408,-0.0034628973533940843,False
CENTRAL,external,trigger_traded_E25,13,31,0.07692307692307693,0.1935483870967742,-0.11662531017369726,False
CENTRAL,external,trigger_traded_E30,13,31,0.0,0.06451612903225806,-0.06451612903225806,False
CENTRAL,reference_validation,entry_to_e20_min,17,33,25.0,5.0,20.0,True
CENTRAL,reference_validation,break_to_e20_min,17,33,2.5,5.0,-2.5,False
CENTRAL,reference_validation,e20_bar_close_R,17,33,0.0747663551401858,0.1333333333333322,-0.05856697819314639,True
CENTRAL,reference_validation,e20_bar_close_vs_E20_R,17,33,-0.1252336448598142,-0.06666666666666782,-0.05856697819314638,True
CENTRAL,reference_validation,running_mae_R_to_e20,17,33,0.26168224299065695,0.15175097276264102,0.10993127022801594,True
CENTRAL,reference_validation,closes_gt_H_to_e20,17,33,2.0,2.0,0.0,False
CENTRAL,reference_validation,trigger_close_R,17,33,0.049900199600798494,0.05194805194807975,-0.002047852347281255,False
CENTRAL,reference_validation,trigger_close_vs_E10_R,17,33,-0.05009980039920151,-0.04805194805192026,-0.002047852347281255,False
CENTRAL,reference_validation,trigger_high_R,17,33,0.13363028953229245,0.17383177570093603,-0.04020148616864358,True
CENTRAL,reference_validation,trigger_low_R,17,33,0.0,0.01785714285714346,-0.01785714285714346,False
CENTRAL,reference_validation,trigger_body_R,17,33,0.06569343065693659,0.0817120622568016,-0.01601863159986501,False
CENTRAL,reference_validation,trigger_upper_wick_R,17,33,0.04624277456647576,0.033644859813085425,0.012597914753390338,False
CENTRAL,reference_validation,trigger_lower_wick_R,17,33,0.05109489051095466,0.020560747663553973,0.030534142847400685,True
CENTRAL,reference_validation,post_e20_peak_R,17,33,0.23809523809524882,0.24489795918367327,-0.006802721088424446,False
CENTRAL,reference_validation,giveback_peak_to_trigger_close_R,17,33,0.18971061093247615,0.1978021978021904,-0.008091586869714257,False
CENTRAL,reference_validation,running_mfe_R_to_trigger,17,33,0.23809523809524882,0.24489795918367327,-0.006802721088424446,False
CENTRAL,reference_validation,trigger_traded_E25,17,33,0.058823529411764705,0.030303030303030304,0.0285204991087344,False
CENTRAL,reference_validation,trigger_traded_E30,17,33,0.0,0.0,0.0,False
CLOCK_SUPPORT,external,entry_to_e20_min,10,27,15.0,10.0,5.0,True
CLOCK_SUPPORT,external,break_to_e20_min,10,27,10.0,5.0,5.0,True
CLOCK_SUPPORT,external,e20_bar_close_R,10,27,0.16621535948865052,0.13263525305409582,0.033580106434554696,True
CLOCK_SUPPORT,external,e20_bar_close_vs_E20_R,10,27,-0.03378464051134948,-0.06736474694590419,0.03358010643455471,True
CLOCK_SUPPORT,external,running_mae_R_to_e20,10,27,0.1823486741588614,0.17312709653373085,0.009221577625130567,False
CLOCK_SUPPORT,external,closes_gt_H_to_e20,10,27,2.0,2.0,0.0,False
CLOCK_SUPPORT,external,trigger_close_R,10,27,0.05752675099316866,0.04559625876851059,0.01193049222465807,False
CLOCK_SUPPORT,external,trigger_close_vs_E10_R,10,27,-0.042473249006831346,-0.054403741231489416,0.01193049222465807,False
CLOCK_SUPPORT,external,trigger_high_R,10,27,0.189885736102343,0.17710826411375627,0.012777471988586725,False
CLOCK_SUPPORT,external,trigger_low_R,10,27,0.03879759415191526,-0.004212945231715769,0.04301053938363103,True
CLOCK_SUPPORT,external,trigger_body_R,10,27,0.10305729499704033,0.09746835443038204,0.00558894056665829,False
CLOCK_SUPPORT,external,trigger_upper_wick_R,10,27,0.048592616098181544,0.024471635150164265,0.02412098094801728,False
CLOCK_SUPPORT,external,trigger_lower_wick_R,10,27,0.019095953499701564,0.0334855403348566,-0.014389586835155038,False
CLOCK_SUPPORT,external,post_e20_peak_R,10,27,0.24095836767793363,0.24360400444938962,-0.002645636771455989,False
CLOCK_SUPPORT,external,giveback_peak_to_trigger_close_R,10,27,0.20491847992853884,0.19685438863520918,0.008064091293329662,False
CLOCK_SUPPORT,external,running_mfe_R_to_trigger,10,27,0.24095836767793363,0.24360400444938962,-0.002645636771455989,False
CLOCK_SUPPORT,external,trigger_traded_E25,10,27,0.2,0.1111111111111111,0.0888888888888889,False
CLOCK_SUPPORT,external,trigger_traded_E30,10,27,0.1,0.0,0.1,False
CLOCK_SUPPORT,reference_validation,entry_to_e20_min,16,33,10.0,5.0,5.0,True
CLOCK_SUPPORT,reference_validation,break_to_e20_min,16,33,0.0,5.0,-5.0,True
CLOCK_SUPPORT,reference_validation,e20_bar_close_R,16,33,0.11678844815588074,0.1190476190476118,-0.002259170891731055,False
CLOCK_SUPPORT,reference_validation,e20_bar_close_vs_E20_R,16,33,-0.08321155184411927,-0.08095238095238821,-0.002259170891731055,False
CLOCK_SUPPORT,reference_validation,running_mae_R_to_e20,16,33,0.20815215783713395,0.16455696202531236,0.043595195811821585,True
CLOCK_SUPPORT,reference_validation,closes_gt_H_to_e20,16,33,2.0,2.0,0.0,False
CLOCK_SUPPORT,reference_validation,trigger_close_R,16,33,0.055459471924365844,0.06920415224913427,-0.01374468032476843,False
CLOCK_SUPPORT,reference_validation,trigger_close_vs_E10_R,16,33,-0.04454052807563416,-0.030795847750865732,-0.01374468032476843,False
CLOCK_SUPPORT,reference_validation,trigger_high_R,16,33,0.1612524461839526,0.18644067796610628,-0.02518823178215368,False
CLOCK_SUPPORT,reference_validation,trigger_low_R,16,33,0.018918817755194977,0.03797468354430562,-0.01905586578911064,False
CLOCK_SUPPORT,reference_validation,trigger_body_R,16,33,0.06969557576400678,0.06465517241379574,0.00504040335021104,False
