kind,feature,op,threshold,source_q,rule,trades,wins,wr,tpd,avg_net,net_sum,value,eligible
num,ema20_dist,>=,0.0057260027375182,0.8,ema20_dist >= 0.0057260027,470,254,0.5404255319148936,1.2876712328767124,-0.0006914893617021271,-0.32499999999999973,,True
num,ema20_slope,>=,0.0006031006417118069,0.8,ema20_slope >= 0.00060310064,470,254,0.5404255319148936,1.2876712328767124,-0.0006914893617021271,-0.32499999999999973,,True
num,prev1h_ret,<=,-0.006611419033494492,0.2,prev1h_ret <= -0.006611419,540,282,0.5222222222222223,1.4794520547945205,-0.001055555555555555,-0.5699999999999997,,True
num,ret15,<=,-0.0038177812174682523,0.2,ret15 <= -0.0038177812,541,282,0.5212569316081331,1.4821917808219178,-0.0010748613678373377,-0.5814999999999997,,True
num,cci_delta15,<=,-55.14395967517604,0.2,cci_delta15 <= -55.14396,506,261,0.5158102766798419,1.3863013698630138,-0.0011837944664031615,-0.5989999999999998,,True
num,ema20_dist,<=,-0.016073803234439875,0.2,ema20_dist <= -0.016073803,518,266,0.5135135135135135,1.4191780821917808,-0.0012297297297297293,-0.6369999999999998,,True
num,ema20_slope,<=,-0.0016891213295004092,0.2,ema20_slope <= -0.0016891213,518,266,0.5135135135135135,1.4191780821917808,-0.0012297297297297293,-0.6369999999999998,,True
num,prev1h_ret,<=,-0.0035074570586755673,0.35,prev1h_ret <= -0.0035074571,907,461,0.5082690187431091,2.484931506849315,-0.0013346196251378167,-1.2104999999999997,,True
num,ema20_dist,>=,-0.00046124673216350014,0.65,ema20_dist >= -0.00046124673,738,375,0.508130081300813,2.021917808219178,-0.0013373983739837392,-0.9869999999999995,,True
num,ema20_slope,>=,-4.8549930230201664e-05,0.65,ema20_slope >= -4.854993e-05,738,375,0.508130081300813,2.021917808219178,-0.0013373983739837392,-0.9869999999999995,,True
num,ema8_dist,<=,-0.003389658183272126,0.2,ema8_dist <= -0.0033896582,544,276,0.5073529411764706,1.4904109589041097,-0.0013529411764705878,-0.7359999999999998,,True
num,postshock_rebound,>=,0.009506710144032616,0.8,postshock_rebound >= 0.0095067101,548,278,0.5072992700729927,1.5013698630136987,-0.0013540145985401456,-0.7419999999999998,,True
num,postshock_mae,<=,-0.004489338889430083,0.2,postshock_mae <= -0.0044893389,556,282,0.5071942446043165,1.5232876712328767,-0.0013561151079136686,-0.7539999999999998,,True
num,vol15_vs_prev45,>=,1.497472416771366,0.8,vol15_vs_prev45 >= 1.4974724,516,261,0.5058139534883721,1.4136986301369863,-0.0013837209302325576,-0.7139999999999997,,True
num,rsi4_delta15,<=,-6.545403825748343,0.35,rsi4_delta15 <= -6.5454038,807,408,0.5055762081784386,2.210958904109589,-0.001388475836431226,-1.1204999999999994,,True
num,hour_ret,<=,-0.010866524990741856,0.2,hour_ret <= -0.010866525,556,280,0.5035971223021583,1.5232876712328767,-0.001428057553956834,-0.7939999999999997,,True
num,rsi4_delta15,<=,-16.09343506935101,0.2,rsi4_delta15 <= -16.093435,495,249,0.503030303030303,1.356164383561644,-0.0014393939393939387,-0.7124999999999997,,True
bool,rising_lows3,,,,rising_lows3 == True,704,354,0.5028409090909091,1.9287671232876713,-0.0014431818181818178,-1.0159999999999998,True,True
num,cci_delta15,<=,-5.617175166236611,0.35,cci_delta15 <= -5.6171752,808,406,0.5024752475247525,2.213698630136986,-0.00145049504950495,-1.1719999999999997,,True
num,ema20_dist,<=,-0.009808475387851323,0.35,ema20_dist <= -0.0098084754,836,420,0.5023923444976076,2.2904109589041095,-0.0014521531100478464,-1.2139999999999995,,True
num,ema20_slope,<=,-0.0010314061963005773,0.35,ema20_slope <= -0.0010314062,836,420,0.5023923444976076,2.2904109589041095,-0.0014521531100478464,-1.2139999999999995,,True
num,ret15,<=,-0.0019191682086275197,0.35,ret15 <= -0.0019191682,879,441,0.5017064846416383,2.408219178082192,-0.001465870307167235,-1.2884999999999995,,True
num,close_from_hour_high,<=,-0.01024820663736008,0.35,close_from_hour_high <= -0.010248207,959,481,0.5015641293013556,2.627397260273973,-0.001468717413972888,-1.4084999999999994,,True
num,hour_range,>=,0.016996493845288674,0.65,hour_range >= 0.016996494,968,485,0.5010330578512396,2.652054794520548,-0.001479338842975206,-1.4319999999999995,,True
num,hour_range,>=,0.013511293634496768,0.5,hour_range >= 0.013511294,1346,674,0.5007429420505201,3.6876712328767125,-0.0014851411589895983,-1.9989999999999992,,True
num,postshock_rebound,>=,0.0062539336536368674,0.65,postshock_rebound >= 0.0062539337,941,471,0.5005313496280552,2.578082191780822,-0.0014893730074388941,-1.4014999999999993,,True
num,rsi4_delta15,<=,2.2146472703973643,0.5,rsi4_delta15 <= 2.2146473,1100,550,0.5,3.0136986301369864,-0.0014999999999999996,-1.6499999999999995,,True
num,rsi14_end,<=,34.65674044633468,0.2,rsi14_end <= 34.65674,522,261,0.5,1.4301369863013698,-0.0014999999999999996,-0.7829999999999998,,True
num,postshock_mae,<=,-0.0013281124318943237,0.65,postshock_mae <= -0.0013281124,1560,778,0.4987179487179487,4.273972602739726,-0.001525641025641025,-2.379999999999999,,True
num,prev1h_ret,<=,-1.855890131316934e-05,0.65,prev1h_ret <= -1.8558901e-05,1425,710,0.4982456140350877,3.904109589041096,-0.0015350877192982454,-2.1874999999999996,,True
num,ret30,<=,-0.003934320001773717,0.35,ret30 <= -0.00393432,912,454,0.49780701754385964,2.4986301369863013,-0.0015438596491228064,-1.4079999999999995,,True
num,vol15_vs_prev45,<=,0.5674733405142309,0.2,vol15_vs_prev45 <= 0.56747334,519,258,0.49710982658959535,1.4219178082191781,-0.001557803468208092,-0.8084999999999998,,True
