mode,partition,direction,impulse_threshold,n,p_expand_50bp_1h,p_expand_100bp_1h,p_expand_200bp_1h,p_expand_300bp_1h,median_same_mfe_1h,p75_same_mfe_1h,median_adverse_1h,p_expand_50bp_2h,p_expand_100bp_2h,p_expand_200bp_2h,p_expand_300bp_2h,median_same_mfe_2h,p75_same_mfe_2h,median_adverse_2h,p_expand_50bp_4h,p_expand_100bp_4h,p_expand_200bp_4h,p_expand_300bp_4h,median_same_mfe_4h,p75_same_mfe_4h,median_adverse_4h,p_expand_50bp_8h,p_expand_100bp_8h,p_expand_200bp_8h,p_expand_300bp_8h,median_same_mfe_8h,p75_same_mfe_8h,median_adverse_8h,p_reversal_1pct_4h,median_time_same_1pct_min
all_events,development,UP,0.005,7470,0.6878179384203481,0.45555555555555555,0.1895582329317269,0.0823293172690763,0.008963709774877704,0.016793570514670064,0.008744666945044555,0.7669344042838019,0.5694779116465863,0.2914323962516734,0.15435073627844711,0.012125681497852425,0.022378584719123018,0.011861824021342504,0.8338688085676037,0.6768406961178045,0.420615796519411,0.2599732262382865,0.016582605113507065,0.030660671134332074,0.0157530566951804,0.8792503346720214,0.7605087014725569,0.5570281124497992,0.39558232931726905,0.02309765989632684,0.04361722456269107,0.02169570413012173,0.6680053547523427,40.0
all_events,validation_2025,UP,0.005,2849,0.6479466479466479,0.396981396981397,0.15022815022815023,0.06844506844506844,0.00765612028410656,0.014566780174044558,0.008374287399252944,0.747981747981748,0.5310635310635311,0.24219024219024218,0.11934011934011934,0.010775534982546464,0.019609700644183325,0.011352273395682455,0.8122148122148122,0.6423306423306423,0.36925236925236926,0.20147420147420148,0.014793616918077346,0.026249462101186616,0.015454733789102892,0.8634608634608635,0.7385047385047385,0.5135135135135135,0.3366093366093366,0.020623178659493258,0.03707876677250854,0.020280573345532238,0.6553176553176553,50.0
all_events,validation_2026,UP,0.005,1168,0.5881849315068494,0.351027397260274,0.12157534246575342,0.045376712328767124,0.006713052337232961,0.013526814381170982,0.0071818710099794125,0.6840753424657534,0.4460616438356164,0.2011986301369863,0.08904109589041095,0.008703915942964602,0.017290716528649497,0.009408314487103109,0.7542808219178082,0.553082191780822,0.2996575342465753,0.14897260273972604,0.011856668442689844,0.022577738982317963,0.012956712135935633,0.815068493150685,0.646404109589041,0.413527397260274,0.23544520547945205,0.015587241447235778,0.029058459374980194,0.016861480952165442,0.5993150684931506,55.0
all_events,development,UP,0.0075,2766,0.734996384671005,0.5216919739696312,0.2534345625451916,0.12147505422993492,0.0106898519260894,0.020202668998679174,0.010316021063271008,0.797180043383948,0.6254519161243673,0.35900216919739697,0.20462762111352134,0.014186845091760825,0.026550652886754678,0.013871405256456804,0.8506869125090383,0.7169197396963124,0.47758496023138103,0.31127982646420826,0.01901212775090655,0.03593800405092462,0.01800355562390943,0.8908170643528561,0.7870571221981201,0.6030368763557483,0.4493853940708604,0.026271068407139775,0.04960804510250999,0.02436446588753588,0.7172812725958062,30.0
all_events,validation_2025,UP,0.0075,1000,0.716,0.483,0.221,0.112,0.00944438433107675,0.01860390476701318,0.010209006340080595,0.797,0.611,0.316,0.165,0.013031839921582966,0.023756107146992056,0.013487793715389718,0.852,0.703,0.421,0.24,0.017374179618419583,0.02917748034682377,0.017512353475000186,0.892,0.781,0.555,0.372,0.023207512193343494,0.0412554716015362,0.022426392951527818,0.701,35.0
all_events,validation_2026,UP,0.0075,402,0.6517412935323383,0.42039800995024873,0.15920398009950248,0.06467661691542288,0.008020913530051188,0.015923256986769885,0.008318368202429538,0.7164179104477612,0.5024875621890548,0.24875621890547264,0.11194029850746269,0.010154717195422491,0.019815030409069123,0.011004060085885337,0.7786069651741293,0.5870646766169154,0.3407960199004975,0.16417910447761194,0.013231871535330897,0.024023678580736063,0.014774331497481641,0.8283582089552238,0.6766169154228856,0.44527363184079605,0.26119402985074625,0.016731947383357926,0.031175587155812368,0.018597564068394967,0.6567164179104478,40.0
all_events,development,UP,0.01,1236,0.7872168284789643,0.5817152103559871,0.32362459546925565,0.16828478964401294,0.012668760998326034,0.02499874010721348,0.0115098919966658,0.8389967637540453,0.6844660194174758,0.4231391585760518,0.2621359223300971,0.016114755875724085,0.03057741114606588,0.01518996947488882,0.872168284789644,0.7588996763754046,0.5275080906148867,0.3705501618122977,0.021600556564871254,0.04074053917561532,0.01946862473447164,0.9053398058252428,0.8074433656957929,0.6375404530744336,0.49838187702265374,0.029896322815519127,0.056096702796089026,0.02620683958855352,0.7411003236245954,20.0
all_events,validation_2025,UP,0.01,447,0.7404921700223713,0.5391498881431768,0.2953020134228188,0.15436241610738255,0.011428117931828075,0.022488150525014516,0.011962310528471853,0.8120805369127517,0.6487695749440716,0.38926174496644295,0.22371364653243847,0.015430755091181636,0.0280399754516788,0.015986029016657688,0.8612975391498882,0.727069351230425,0.47874720357941836,0.2930648769574944,0.018748276812792897,0.033222269858196096,0.019277299591448194,0.8881431767337807,0.7829977628635347,0.6040268456375839,0.41834451901565994,0.02545559733873315,0.048460523409832645,0.024544870421931875,0.7248322147651006,25.0
all_events,validation_2026,UP,0.01,171,0.7426900584795322,0.47953216374269003,0.2222222222222222,0.0935672514619883,0.009198221677142238,0.018173264012882773,0.009773434029320294,0.7953216374269005,0.543859649122807,0.29239766081871343,0.14035087719298245,0.011797150298759052,0.02147164701194826,0.012572428118508894,0.8596491228070176,0.6198830409356725,0.38596491228070173,0.18128654970760233,0.013228101378390589,0.024516403313157298,0.01715511079342391,0.8947368421052632,0.7076023391812866,0.5029239766081871,0.30994152046783624,0.020048309178744006,0.034596929459965176,0.02032596478081683,0.7017543859649122,30.0
all_events,development,UP,0.015,361,0.8116343490304709,0.6592797783933518,0.4487534626038781,0.2770083102493075,0.017247911964812124,0.032602009432027845,0.013930497303774714,0.853185595567867,0.739612188365651,0.556786703601108,0.40443213296398894,0.022580922125869263,0.04277056277056279,0.01719271234282782,0.8864265927977839,0.7950138504155124,0.6565096952908587,0.4986149584487535,0.029900332225913706,0.05560389475864924,0.02219833629311152,0.9196675900277008,0.8337950138504155,0.7091412742382271,0.5761772853185596,0.035806396579927124,0.06949634835843277,0.029195045206516168,0.7562326869806094,15.0
